CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,2.333333333333333,27,7,1.961449891399537,1.961449891399537,0.0,1.0
2.0,2.333333333333333,3,3,1.9702231422710188,1.970223142271019,2.003661519061467e-16,1.0
3.0,2.0,9,2,1.8820644851096548,1.8848879804765777,0.00389646116440758,1.0
4.0,2.0,96,36,1.9953096606950136,2.013536695547199,0.01656446385605127,0.4897959183673469
4.0,2.5,78,7,1.9124489433506067,1.9422162745121792,0.026911159500218045,0.3979591836734694
4.0,3.0,17,8,1.84796167340986,1.881878331920495,0.03797469581142512,0.08673469387755102
4.0,4.0,4,2,1.8282796368592873,1.8586878727391216,0.034868887985234895,0.02040816326530612
4.0,3.333333333333333,1,1,,,,0.00510204081632653
5.0,2.0,145,63,2.013972156027477,2.0690469143252375,0.04693447283670411,0.8238636363636364
5.0,3.0,22,10,1.948319688158874,1.9831240323573933,0.03316965035516022,0.125
5.0,2.6666666666666665,6,1,1.9279771027121881,1.9737680041746837,0.038856393468072986,0.03409090909090909
5.0,2.333333333333333,2,2,,,,0.011363636363636364
5.0,1.6666666666666667,1,1,,,,0.005681818181818182
6.0,2.5,1976,157,1.9969746706684546,2.05175401968718,0.048814605875895895,0.3146496815286624
6.0,2.0,1963,495,2.035268449127842,2.0975913313177736,0.05622269289616517,0.3125796178343949
6.0,3.5,1366,103,1.893057962924568,1.9504938096771096,0.05337220753520014,0.217515923566879
6.0,3.0,538,129,1.9500918474222146,2.0084645540724444,0.055445265311011925,0.08566878980891719
6.0,3.33,54,6,1.9086543197361654,1.9532848180936189,0.03990393603240684,0.008598726114649681
6.0,2.6666666666666665,44,3,1.9608385659684122,2.014779492949366,0.054425239922282494,0.0070063694267515925
6.0,4.0,41,12,1.923516200784154,1.9501153196836556,0.023578804611627268,0.006528662420382166
6.0,2.333333333333333,36,2,1.9847925757197737,2.1042726163006122,0.14511161212597234,0.005732484076433121
6.0,3.11,36,2,1.9189526492128641,1.9745677168625941,0.06744269932384221,0.005732484076433121
6.0,3.333333333333333,28,1,1.8899799515926323,1.990661707879673,0.11306149220788453,0.0044585987261146496
6.0,3.38,24,2,1.8659941930334412,1.930878257866692,0.05218668638356427,0.003821656050955414
6.0,3.27,22,1,1.873801124613882,1.9435817660804005,0.05872055974073736,0.0035031847133757963
6.0,2.86,21,1,1.9339425920133664,2.0011801419676236,0.059759501578488056,0.0033439490445859874
6.0,2.13,15,1,2.0483553545022555,2.0925729045791717,0.03472962439901061,0.0023885350318471337
6.0,3.6,15,1,1.9133631686159709,2.0037710515524085,0.07123914321450796,0.0023885350318471337
6.0,2.71,14,1,1.874103068380269,1.9627825898448685,0.08661571356784047,0.0022292993630573248
6.0,2.33,12,1,1.888370744177202,1.9496241344459426,0.0479678976445356,0.001910828025477707
6.0,3.08,12,1,1.9144305793036374,1.9788626400552844,0.05193026288850544,0.001910828025477707
6.0,3.42,12,1,1.8707024953697087,1.9318120122259088,0.05592223795916698,0.001910828025477707
6.0,3.3,10,1,1.8685645402636442,1.940809438962639,0.05966946324280274,0.0015923566878980893
6.0,1.6666666666666667,8,1,2.0210808591065623,2.2274565106802884,0.2873912544240853,0.0012738853503184713
6.0,2.17,8,1,2.026643879428165,2.1027969592238933,0.05223330704032683,0.0012738853503184713
6.0,3.12,8,1,1.8793165638817375,1.9438745610451815,0.06765613121969309,0.0012738853503184713
6.0,3.17,6,1,1.8849545239532206,1.9546619319120637,0.08474257478484824,0.0009554140127388535
6.0,2.25,4,1,2.0347883699164817,2.073253949943698,0.021294267979079462,0.0006369426751592356
6.0,3.25,4,1,1.8934054002344158,1.9332525041837008,0.04176800182465956,0.0006369426751592356
6.0,1.0,3,2,2.145485716070827,2.189373059034695,0.06048994036229021,0.00047770700636942675
8.0,2.0,6,2,2.1472241351879755,2.285477078885616,0.1407669510367968,1.0
