material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,P_wyckoff,num_P_chemenvs,CN,element,charge_range,is_single_charge
mp-10070,BaAg(PO3)3,1.62885392818523,0.3096613963489203,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,P,0.0,True
mp-1011858,Na2CoP2O7,1.642102560816762,0.3906561907651391,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,P,0.0,True
mp-1012678,NaMo3P3O13,1.5537243785667356,-0.0078760830210868,[4.0],5.0,5.0,5.0,Tetrahedron,2e,1,4.0,P,0.0,True
mp-1013565,Na2CoP2O7,1.637430162847482,0.3539464507991652,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,P,0.0,True
mp-1013762,LiTi2P2O9,1.6284576103505262,0.35169367080667,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,P,0.0,True
mp-1013850,LiV2P2O9,1.6205020874217866,0.3125136673243767,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,P,0.0,True
mp-1013898,LiMo3P3O13,1.5433336319290587,-0.0554268408412432,[4.0],5.0,5.0,5.0,Tetrahedron,2e,1,4.0,P,0.0,True
mp-1013922,LiCr2P2O9,1.6402547900420164,0.3961905198232086,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,P,0.0,True
mp-1019377,Al(PO3)3,1.5886969582964603,0.2747369188029137,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-1019525,Ba3ZnB5PO14,1.4739474412858633,-0.3757373605968305,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1019530,Ba2P2O7,1.6268741505200253,0.3156843357870326,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,P,0.0,True
mp-1019551,BaNa2Mg(PO4)2,1.6678670443952874,0.5138596644070328,[4.0],5.0,5.0,5.0,Tetrahedron,2d,1,4.0,P,0.0,True
mp-1019593,Ce(PO3)4,1.6081313818916556,0.2616981030826104,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,P,0.0,True
mp-1019609,Cs2Sr2Li3B3(PO4)6,1.662448848060614,0.4951506965330218,[4.0],5.0,5.0,5.0,no_data,no_data,1,4.0,P,0.0,True
mp-1019614,Cs3Y(PO4)2,1.7219571447359567,0.7245545679187504,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
