CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Tetrahedron,5.0,25,6,1.5508597667834363,1.5508597667834363,0.0,1.0,1.0
1.0,"Tetrahedron, Triangular non-coplanar",3.5,1,1,,,,,1.0
2.0,"Angular, Triangular non-coplanar",3.5,1,1,,,,,1.0
2.0,Tetrahedron,5.0,126,23,1.510062597828525,1.5168323945987925,0.00676979677026757,0.967741935483871,1.0
2.0,"Tetrahedron, Triangular non-coplanar",4.333333333333333,2,1,,,,,1.0
2.0,no_data,5.0,4,1,1.4888217757981859,1.5681099137006964,0.0792881379025106,0.5,1.0
3.0,"Angular, Triangular non-coplanar",3.5,1,1,,,,,1.0
3.0,Tetrahedron,5.0,285,59,1.5171223797288043,1.5401870316342894,0.02003053472198256,0.9712230215827338,1.0
3.0,"Tetrahedron, Dodecahedron with triangular faces - p2345 plane normalized",5.0,4,1,1.5347044150427422,1.546258616840501,0.010059733152809627,1.0,1.0
3.0,"Tetrahedron, Triangular non-coplanar",4.0,32,3,1.6561142871942482,1.6799155682947051,0.017166274335919,1.0,0.4383561643835616
3.0,"Tetrahedron, Triangular non-coplanar",3.6666666666666665,24,1,1.6573490597991618,1.672206645853169,0.019004702715507724,1.0,0.3287671232876712
3.0,"Tetrahedron, Triangular non-coplanar",4.333333333333333,12,1,1.679755055475569,1.6811544887285796,0.0015279122855226181,1.0,0.1643835616438356
3.0,"Tetrahedron, Triangular non-coplanar",4.5,5,2,1.5510258573744646,1.5520357943708845,0.0009517957128395519,1.0,0.0684931506849315
3.0,Triangular non-coplanar,4.0,10,10,,,,,1.0
3.0,no_data,5.0,26,7,1.5253252810887898,1.5427240575690984,0.016223872974388834,1.0,1.0
4.0,"Bicapped octahedron (cap faces with one atom in common), Tetrahedron",5.0,6,1,1.536163395335925,1.5612758171334855,0.02510896350352945,1.0,1.0
4.0,"Bicapped octahedron (cap faces with one atom in common), Tetrahedron, Pentagonal bipyramid, Square antiprism",5.0,4,1,1.4932326993991814,1.5440722483675495,0.050109236001556944,0.875,1.0
4.0,"Bicapped octahedron (cap faces with one atom in common), Tetrahedron, Square pyramid, Octahedron",5.0,8,1,1.52954935309327,1.5435398787583696,0.009637812593380212,1.0,1.0
4.0,"Cube, Tetrahedron",5.0,8,1,1.518241268490897,1.552244919494232,0.03495217819632668,1.0,1.0
4.0,"Cube, Tetrahedron, Hexagonal bipyramid",5.0,4,1,1.5278436382036151,1.537168642016479,0.007974113847332992,1.0,1.0
4.0,"Cube, Tetrahedron, Trigonal prism",5.0,8,1,1.5429326456537271,1.5555916310574605,0.009156219258550154,1.0,1.0
4.0,"End-trigonal-face capped trigonal prism, Tetrahedron",5.0,8,1,1.5328245336719648,1.5499442249863773,0.019834604400076145,1.0,1.0
4.0,"End-trigonal-face capped trigonal prism, Tetrahedron, Cube",5.0,1,1,,,,,1.0
4.0,"End-trigonal-face capped trigonal prism, Tetrahedron, Square antiprism",5.0,8,1,1.5498118600428086,1.5553296671855732,0.0069746696970219195,1.0,1.0
4.0,"Square-face bicapped trigonal prism, Tetrahedron",5.0,31,5,1.5217816722254587,1.5523947771607849,0.027137633004942586,0.9666666666666667,0.96875
4.0,"Square-face bicapped trigonal prism, Tetrahedron",4.67,1,1,1.5085957686620843,1.5637958474703855,0.05026914677716783,0.5,0.03125
4.0,"Square-face bicapped trigonal prism, Tetrahedron, Square-face capped trigonal prism",5.0,12,1,1.5330041763039561,1.5491849489548581,0.010755385017443992,1.0,1.0
4.0,"Square-face bicapped trigonal prism, Tetrahedron, Tricapped triangular prism (three square-face caps)",5.0,9,2,1.553702277308758,1.563186734924913,0.007041175350817487,0.4166666666666667,1.0
4.0,"Square-face capped trigonal prism, Tetrahedron, Square antiprism, Trigonal prism",5.0,12,1,1.5395868139333408,1.5616729532756326,0.012886807155146703,0.75,1.0
4.0,Tetrahedron,5.0,22956,3473,1.5164462061272692,1.5529890643242414,0.030740212640951368,0.9728534795295782,0.9873973074110715
4.0,Tetrahedron,4.5,210,25,1.5188250960627871,1.555563704104356,0.030880046474451382,0.9653465346534653,0.009032646565443675
4.0,Tetrahedron,4.75,68,10,1.4983807809607397,1.55771680012039,0.05198759761727492,0.946969696969697,0.0029248569830960473
4.0,Tetrahedron,4.67,6,1,1.5508021144925115,1.5549948696160925,0.005106699300488575,1.0,0.0002580756161555336
4.0,Tetrahedron,4.8,6,1,1.513805031249782,1.5611688676553268,0.04978541718047363,1.0,0.0002580756161555336
4.0,Tetrahedron,4.0,3,2,1.5195649386146926,1.5565072554335657,0.023247820509544295,1.0,0.0001290378080777668
4.0,"Tetrahedron, Bicapped octahedron (cap faces with one edge in common)",5.0,4,1,1.5371538445259785,1.5488653350176735,0.007492388365368627,1.0,1.0
4.0,"Tetrahedron, Dodecahedron with triangular faces - p2345 plane normalized",5.0,12,3,1.4931063508817202,1.540754033286331,0.04319056925004744,1.0,1.0
