CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Tetrahedron,25,6,1.5508597667834363,1.5508597667834363,0.0,1.0,0.9615384615384616
1.0,"Tetrahedron, Triangular non-coplanar",1,1,,,,,0.038461538461538464
2.0,Tetrahedron,126,23,1.510062597828525,1.5168323945987925,0.00676979677026757,0.967741935483871,0.9473684210526315
2.0,no_data,4,1,1.4888217757981859,1.5681099137006964,0.0792881379025106,0.5,0.03007518796992481
2.0,"Tetrahedron, Triangular non-coplanar",2,1,,,,,0.015037593984962405
2.0,"Angular, Triangular non-coplanar",1,1,,,,,0.007518796992481203
3.0,Tetrahedron,285,59,1.5171223797288043,1.5401870316342894,0.02003053472198256,0.9712230215827338,0.7142857142857143
3.0,"Tetrahedron, Triangular non-coplanar",73,7,1.6546277600083406,1.670447982335182,0.014271885752766987,1.0,0.18295739348370926
3.0,no_data,26,7,1.5253252810887898,1.5427240575690984,0.016223872974388834,1.0,0.06516290726817042
3.0,Triangular non-coplanar,10,10,,,,,0.02506265664160401
3.0,"Tetrahedron, Dodecahedron with triangular faces - p2345 plane normalized",4,1,1.5347044150427422,1.546258616840501,0.010059733152809627,1.0,0.010025062656641603
3.0,"Angular, Triangular non-coplanar",1,1,,,,,0.002506265664160401
4.0,Tetrahedron,23249,3512,1.5164237058465657,1.553028376893328,0.030800302562599222,0.9727292576419214,0.9366287970348884
4.0,no_data,943,88,1.5164713667003678,1.5519414206845479,0.028976206565423004,0.9677848775292864,0.03799049230521312
4.0,"Tetrahedron, Square plane",105,13,1.5146523402554342,1.5593125481123413,0.04296263312362836,0.9230769230769231,0.004230118443316413
4.0,"Tetrahedron, Square antiprism",61,11,1.4994529661709488,1.5459003604122548,0.04230808529914331,0.8916666666666667,0.0024574973813552494
4.0,"Tetrahedron, Pentagonal pyramid, Tricapped triangular prism (three square-face caps)",42,5,1.5429846375789744,1.556458921469705,0.009542837841962692,0.875,0.001692047377326565
4.0,"Square-face bicapped trigonal prism, Tetrahedron",32,6,1.521356320497608,1.552762553622385,0.027883810868562755,0.9516129032258065,0.0012891789541535734
4.0,"Tetrahedron, Square-face capped square prism",32,3,1.5155655061934223,1.546419431964908,0.02815774036927712,0.84375,0.0012891789541535734
4.0,"Tetrahedron, Square-face capped trigonal prism",30,5,1.5061156117503192,1.5624558658108956,0.052988949446969795,0.7678571428571429,0.001208605269518975
4.0,"Tetrahedron, Octahedron",29,8,1.5320827162107913,1.5520888828162855,0.01965387151665681,1.0,0.001168318427201676
4.0,"Tetrahedron, Square-face capped trigonal prism, Square antiprism",20,1,1.4951206904246577,1.5648991665445477,0.0655209998056045,0.75,0.0008057368463459834
4.0,"Tetrahedron, Square antiprism, Tricapped triangular prism (three square-face caps)",18,3,1.5497435423466883,1.5638102810246297,0.012329474000295436,0.4166666666666667,0.0007251631617113851
4.0,"Tetrahedron, Square-face monocapped antiprism",14,2,1.5310452051804642,1.5604228009007473,0.027873366677536683,1.0,0.0005640157924421884
4.0,"Tetrahedron, Triangular non-coplanar",14,6,1.5048435589079112,1.7084342567079336,0.2949896267732982,0.85,0.0005640157924421884
4.0,"Square-face bicapped trigonal prism, Tetrahedron, Square-face capped trigonal prism",12,1,1.5330041763039561,1.5491849489548581,0.010755385017443992,1.0,0.00048344210780759005
4.0,"Square-face capped trigonal prism, Tetrahedron, Square antiprism, Trigonal prism",12,1,1.5395868139333408,1.5616729532756326,0.012886807155146703,0.75,0.00048344210780759005
4.0,"Tetrahedron, Dodecahedron with triangular faces - p2345 plane normalized",12,3,1.4931063508817202,1.540754033286331,0.04319056925004744,1.0,0.00048344210780759005
4.0,"Tetrahedron, Pentagonal bipyramid, Pentagonal pyramid, Tricapped triangular prism (three square-face caps)",12,1,1.5482282032359478,1.5623985754517997,0.011233245532588787,0.5833333333333334,0.00048344210780759005
4.0,"Tetrahedron, Pentagonal pyramid",12,1,1.5422005007069324,1.5605576317252436,0.012817414376848121,1.0,0.00048344210780759005
4.0,"Tetrahedron, Triangular cupola, Tricapped triangular prism (three square-face caps), Square-face bicapped trigonal prism, Tricapped octahedron (all 3 cap faces are sharingone edge of a face)",12,1,1.5520192598842177,1.5598322641774154,0.007320590155895331,0.75,0.00048344210780759005
4.0,"Square-face bicapped trigonal prism, Tetrahedron, Tricapped triangular prism (three square-face caps)",9,2,1.553702277308758,1.563186734924913,0.007041175350817487,0.4166666666666667,0.00036258158085569254
4.0,"Bicapped octahedron (cap faces with one atom in common), Tetrahedron, Square pyramid, Octahedron",8,1,1.52954935309327,1.5435398787583696,0.009637812593380212,1.0,0.00032229473853839335
4.0,"Cube, Tetrahedron",8,1,1.518241268490897,1.552244919494232,0.03495217819632668,1.0,0.00032229473853839335
4.0,"Cube, Tetrahedron, Trigonal prism",8,1,1.5429326456537271,1.5555916310574605,0.009156219258550154,1.0,0.00032229473853839335
4.0,"End-trigonal-face capped trigonal prism, Tetrahedron",8,1,1.5328245336719648,1.5499442249863773,0.019834604400076145,1.0,0.00032229473853839335
4.0,"End-trigonal-face capped trigonal prism, Tetrahedron, Square antiprism",8,1,1.5498118600428086,1.5553296671855732,0.0069746696970219195,1.0,0.00032229473853839335
4.0,"Tetrahedron, Octahedron, Square plane",8,1,1.5001711935936486,1.5622633309720764,0.04469793541933423,1.0,0.00032229473853839335
4.0,"Tetrahedron, Square antiprism, Face-capped octahedron",8,1,1.5301305858525893,1.5423002524355343,0.01041267104233489,1.0,0.00032229473853839335
