CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,5.0,25,6,1.5508597667834363,1.5508597667834363,0.0,0.9615384615384616
1.0,3.5,1,1,,,,0.038461538461538464
2.0,5.0,130,24,1.509398822140077,1.518434817070727,0.009035994930650165,0.9774436090225563
2.0,4.333333333333333,2,1,,,,0.015037593984962405
2.0,3.5,1,1,,,,0.007518796992481203
3.0,5.0,315,67,1.518043170561971,1.5404800479171787,0.019579702216417208,0.7894736842105263
3.0,4.0,42,13,1.6561142871942482,1.6799155682947051,0.017166274335919,0.10526315789473684
3.0,3.6666666666666665,24,1,1.6573490597991618,1.672206645853169,0.019004702715507724,0.06015037593984962
3.0,4.333333333333333,12,1,1.679755055475569,1.6811544887285796,0.0015279122855226181,0.03007518796992481
3.0,4.5,5,2,1.5510258573744646,1.5520357943708845,0.0009517957128395519,0.012531328320802004
3.0,3.5,1,1,,,,0.002506265664160401
4.0,5.0,24473,3656,1.5166682526242519,1.5530023929508037,0.03057374514995693,0.9859398920312626
4.0,4.5,255,29,1.518788819004415,1.5628657420850534,0.04297553483069493,0.010273144790911288
4.0,4.75,68,10,1.4983807809607397,1.55771680012039,0.05198759761727492,0.0027395052775763436
4.0,4.67,7,2,1.5447726365167362,1.5562521521667059,0.011558477511442755,0.0002820078962210942
4.0,3.5,6,1,1.4763010031,1.5561831242262028,0.046119964204385265,0.00024172105390379503
4.0,4.0,6,5,1.5195649386146926,1.5565072554335657,0.023247820509544295,0.00024172105390379503
4.0,4.8,6,1,1.513805031249782,1.5611688676553268,0.04978541718047363,0.00024172105390379503
4.0,3.6666666666666665,1,1,,,,4.028684231729917e-05
6.0,5.0,5,1,1.5462120173677594,1.9917306014338443,0.5709732095342132,1.0
