CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
0.0,1,1,2.603648879297805,-0.3089547120192054,2.0
1.0,3,3,1.9696541313803788,0.5027499846827296,2.0
2.0,23,13,1.9434339849378839,0.6077669531901474,2.0
3.0,92,86,2.137775705707313,0.40261879557999053,2.032608695652174
4.0,109,98,2.024705429786234,0.5283356936526209,2.168256880733945
5.0,126,126,1.954669577004921,0.7121351179293844,2.1587301587301586
6.0,198,197,2.074762585672088,0.5010270750055573,2.279141414141414
7.0,134,133,2.1883551347163412,0.3909373453614607,2.02910447761194
8.0,146,146,2.25246630594118,0.353843077017032,2.028835616438356
9.0,89,88,2.1896904304829925,0.39924852601222305,2.0114606741573033
10.0,40,40,2.280140179120862,0.34176913286960897,2.0
11.0,9,9,2.2633949644172886,0.35303923444435814,2.0
12.0,28,28,2.643443385120686,0.10878467891774926,2.0
