material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge
mp-1078392,YSb(PbO3)2,2.666183137557426,0.0109748045403294,[5.0],2.0,2.0,2.0,Diminished icosahedron,2i,1,5.0,Pb,0.0,True
mp-1079056,ZrTi(PbO3)2,2.584545715160525,0.1424697869143463,[8.0],2.0,2.0,2.0,Cuboctahedron,2c,1,8.0,Pb,0.0,True
mp-1079416,ZrTi(PbO3)2,2.6169759311873326,0.0724130213254067,[8.0],2.0,2.0,2.0,"Cuboctahedron, Square-face bicapped trigonal prism",1a,2,8.0,Pb,0.0,True
mp-1079670,TmSb(PbO3)2,2.511328236025142,0.1832686412245396,[5.0],2.0,2.0,2.0,Diminished icosahedron,2i,1,5.0,Pb,0.0,True
mp-1100803,ZrPbO3,2.142098954460408,0.4947581041933032,"[6.0, 9.0]",2.0,2.0,2.0,"Bicapped square prism (adjacent faces), Square-face monocapped antiprism, Square-face bicapped trigonal prism","1b, 1a",3,6.0,Pb,0.0,True
mp-1100803,ZrPbO3,2.142098954460408,0.4947581041933032,"[6.0, 9.0]",2.0,2.0,2.0,"Bicapped square prism (adjacent faces), Square-face monocapped antiprism, Square-face bicapped trigonal prism","1b, 1a",3,9.0,Pb,0.0,True
mp-1100812,Zr4FeBiPb4O15,2.148224432499746,0.4372616391197411,[6.0],2.0,2.0,2.0,"Diminished icosahedron, Square-face bicapped trigonal prism, Cuboctahedron, Square antiprism",2a,4,6.0,Pb,0.0,True
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,6.0,Pb,0.0,True
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,7.0,Pb,0.0,True
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,9.0,Pb,0.0,True
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,6.0,Pb,0.0,True
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,8.0,Pb,0.0,True
mp-1105235,BH(PbO2)2,2.2641515391608364,0.0913762510587356,[3.0],2.0,2.0,2.0,"Triangular non-coplanar, Octahedron",2i,2,3.0,Pb,0.0,True
mp-1105390,Mn7PbO12,3.14946326953744,-0.2255979030208985,[12.0],2.0,2.0,2.0,Icosahedron,1a,1,12.0,Pb,0.0,True
mp-1105409,YSb(PbO3)2,2.1270190898932286,0.6806677955860261,[4.0],2.0,2.0,2.0,Square-face bicapped square antiprism,4f,1,4.0,Pb,0.0,True
mp-1105700,TePb2O5,2.7426629005978747,0.0757597692317965,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4f,1,7.0,Pb,0.0,True
mp-1106215,TiPbO3,2.087747135226838,0.4786253624583573,[5.0],2.0,2.0,2.0,Square pyramid,4h,1,5.0,Pb,0.0,True
mp-1173221,Sr4Ca2TlCu4PbO14,1.7577276380137363,1.790502878365008,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Pb,0.0,True
mp-1173263,Sr2MnBiPbO6,2.7837078372764403,-1.194592085764339,[3.0],2.0,2.0,2.0,Triangular non-coplanar,2c,1,3.0,Pb,0.0,True
mp-1173474,P2Pb3O8,1.997674946821118,0.5181227619977073,"[6.0, 9.0]",2.0,2.0,2.0,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)",2a,2,6.0,Pb,0.0,True
mp-1173474,P2Pb3O8,1.997674946821118,0.5181227619977073,"[6.0, 9.0]",2.0,2.0,2.0,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)",2a,2,9.0,Pb,0.0,True
mp-1173489,Nb2Zn(PbO3)3,2.4046952052429047,0.2856076804615495,"[3.0, 4.0, 9.0]",2.0,2.0,2.0,"Diminished icosahedron, Triangular cupola, Bicapped octahedron (cap faces with one atom in common)",1a,3,3.0,Pb,0.0,True
mp-1173489,Nb2Zn(PbO3)3,2.4046952052429047,0.2856076804615495,"[3.0, 4.0, 9.0]",2.0,2.0,2.0,"Diminished icosahedron, Triangular cupola, Bicapped octahedron (cap faces with one atom in common)",1a,3,4.0,Pb,0.0,True
mp-1173489,Nb2Zn(PbO3)3,2.4046952052429047,0.2856076804615495,"[3.0, 4.0, 9.0]",2.0,2.0,2.0,"Diminished icosahedron, Triangular cupola, Bicapped octahedron (cap faces with one atom in common)",1a,3,9.0,Pb,0.0,True
mp-1173546,Nb4Pb3O13,2.1149220023937425,0.3823181649404785,"[7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Face-capped octahedron","2b, 4k",2,7.0,Pb,0.0,True
mp-1173546,Nb4Pb3O13,2.1149220023937425,0.3823181649404785,"[7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Face-capped octahedron","2b, 4k",2,8.0,Pb,0.0,True
mp-1173563,Nb8Pb6O25,2.383785280602966,0.2386791572945614,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Face-capped octahedron",2c,2,6.0,Pb,0.0,True
mp-1173563,Nb8Pb6O25,2.383785280602966,0.2386791572945614,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Face-capped octahedron",2c,2,7.0,Pb,0.0,True
mp-1179959,Pb2O3,1.0223610453342002,1.7973129426362848,"[6.0, 8.0]",3.0,3.0,3.0,"Octahedron, Square-face bicapped trigonal prism","2e, 2a",2,6.0,Pb,0.0,True
mp-1179959,Pb2O3,1.0223610453342002,1.7973129426362848,"[6.0, 8.0]",3.0,3.0,3.0,"Octahedron, Square-face bicapped trigonal prism","2e, 2a",2,8.0,Pb,0.0,True
mp-1182634,B9Pb8O21F,2.018181088070484,0.5262464546800297,"[5.0, 9.0]",2.0,2.0,2.0,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)","4c, 12f",2,5.0,Pb,0.0,True
mp-1182634,B9Pb8O21F,2.018181088070484,0.5262464546800297,"[5.0, 9.0]",2.0,2.0,2.0,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)","4c, 12f",2,9.0,Pb,0.0,True
