CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,"Octahedron, Square pyramid, Square-face bicapped trigonal prism",2.0,4,1,2.3857692751273563,2.3857692751273563,0.0,1.0,1.0
1.0,Triangular non-coplanar,2.0,8,1,2.305821893282752,2.305821893282752,0.0,1.0,1.0
1.0,"Triangular non-coplanar, Square pyramid",2.0,8,1,2.2785585917319295,2.2785585917319295,0.0,1.0,1.0
2.0,"Octahedron, Square-face capped trigonal prism, Square-face bicapped trigonal prism",2.0,8,1,2.4479281482881503,2.5925708810114383,0.1446427327232879,1.0,1.0
2.0,"Octahedron, Tricapped triangular prism (three square-face caps)",2.0,4,1,2.2666628216355993,2.3594359030750756,0.09277308143947627,1.0,1.0
2.0,Pentagonal bipyramid,2.0,1,1,,,,,1.0
2.0,"Square non-coplanar, Angular",2.0,16,1,2.2714983459808598,2.2714983459808598,1.987931391769332e-16,1.0,1.0
2.0,"Square-face bicapped trigonal prism, See-saw, Square pyramid",2.0,16,1,2.3612604795225125,2.414599718877057,0.05333923935454438,1.0,1.0
2.0,"Square-face bicapped trigonal prism, Square pyramid, Trigonal prism",2.0,16,1,2.3578829529135708,2.4026259044925267,0.04474295157895605,1.0,1.0
2.0,"Triangular non-coplanar, Square non-coplanar, See-saw",2.0,84,4,2.259138437953049,2.2628743833733864,0.003735945420337126,1.0,1.0
2.0,"Triangular non-coplanar, Square non-coplanar, See-saw, Angular",2.0,20,1,2.2071909851136096,2.2323490105772734,0.025158025463663837,1.0,1.0
2.0,"Triangular-face bicapped trigonal prism, See-saw",2.0,2,2,,,,,1.0
3.0,Anticuboctahedron,2.0,1,1,,,,,1.0
3.0,Bicapped square prism (adjacent faces),2.0,1,1,,,,,1.0
3.0,"Bicapped square prism (adjacent faces), Cuboctahedron, Pentagonal pyramid, Tricapped triangular prism (three square-face caps)",2.0,1,1,,,,,1.0
3.0,"Bicapped square prism (adjacent faces), Cuboctahedron, Triangular cupola",2.0,1,1,,,,,1.0
3.0,"Bicapped square prism (adjacent faces), Square-face monocapped antiprism, Bicapped octahedron (opposed cap faces), Metabidiminished icosahedron",2.0,1,1,,,,,1.0
3.0,"Diminished icosahedron, Cuboctahedron",2.0,1,1,,,,,1.0
3.0,"Diminished icosahedron, Triangular cupola, Bicapped octahedron (cap faces with one atom in common)",2.0,1,1,,,,,1.0
3.0,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face bicapped square antiprism, Square antiprism",2.0,1,1,,,,,1.0
3.0,"End-trigonal-face capped trigonal prism, See-saw, Square pyramid",2.0,8,1,2.3243412702514945,2.3342590107915124,0.014025803179790476,1.0,1.0
3.0,"Face-capped octahedron, Square non-coplanar, Square-face capped trigonal prism, Tricapped triangular prism (three square-face caps)",2.0,1,1,,,,,1.0
3.0,"Hexagonal bipyramid, Triangular non-coplanar, Square pyramid",2.0,8,1,2.2972592365336384,2.297259236533639,7.150941084536236e-16,1.0,1.0
3.0,Octahedron,2.0,1,1,,,,,1.0
3.0,"Octahedron, Pentagonal plane, Pentagonal pyramid, Square antiprism",2.0,1,1,,,,,1.0
3.0,"Octahedron, Pentagonal plane, Square pyramid, Trigonal bipyramid",2.0,1,1,,,,,1.0
3.0,"Octahedron, See-saw",2.0,1,1,,,,,1.0
3.0,"Octahedron, See-saw, Pentagonal plane, Square pyramid",2.0,2,2,,,,,1.0
3.0,"Octahedron, Square pyramid",2.0,1,1,,,,,1.0
3.0,"Octahedron, Square pyramid, Square-face bicapped trigonal prism",2.0,8,1,2.35070050512695,2.431470451200142,0.0822310805091069,1.0,1.0
3.0,"Octahedron, Square-face capped trigonal prism, Square-face bicapped trigonal prism",2.0,4,1,2.372443731763559,2.4962552045487496,0.09104692040516306,1.0,1.0
3.0,"Octahedron, Tricapped triangular prism (three square-face caps)",2.0,6,1,2.3596702829480867,2.4509612338136084,0.07722115371501101,1.0,1.0
3.0,Pentagonal bipyramid,2.0,6,1,2.3880468610555696,2.5969847718149963,0.2762683937021333,1.0,1.0
3.0,"Pentagonal pyramid, Square antiprism",2.0,1,1,,,,,1.0
3.0,"Pentagonal pyramid, Triangular cupola",2.0,1,1,,,,,1.0
3.0,"Pentagonal pyramid, Trigonal prism",2.0,4,1,2.384617024051204,2.530027108135542,0.19521333040493266,1.0,1.0
3.0,See-saw,2.0,3,3,,,,,1.0
3.0,"See-saw, Square pyramid, Square-face capped trigonal prism",2.0,2,1,,,,,1.0
3.0,"Square non-coplanar, See-saw, Trigonal bipyramid",2.0,2,1,,,,,1.0
3.0,"Square non-coplanar, Square pyramid, Octahedron, Pentagonal plane, See-saw, Trigonal bipyramid",2.0,1,1,,,,,1.0
3.0,"Square non-coplanar, Square pyramid, Pentagonal pyramid",2.0,2,2,,,,,1.0
3.0,"Square non-coplanar, Square pyramid, Pentagonal pyramid, Pentagonal plane, See-saw",2.0,4,1,2.271566994883692,2.3582928058240986,0.06214324614782849,1.0,1.0
3.0,"Square non-coplanar, Square pyramid, Pentagonal pyramid, Triangular non-coplanar, Octahedron, Pentagonal plane, See-saw",2.0,4,1,2.2352697211000554,2.260566425551218,0.019308157716356366,1.0,1.0
3.0,"Square non-coplanar, Square pyramid, Pentagonal pyramid, Triangular non-coplanar, Octahedron, Tetrahedron, See-saw, Trigonal bipyramid",2.0,2,1,2.2379382652654334,2.264357030305412,0.028550025715550313,1.0,1.0
3.0,Square pyramid,2.0,1,1,,,,,1.0
3.0,"Square pyramid, Trigonal prism",2.0,1,1,,,,,1.0
3.0,"Square-face bicapped trigonal prism, See-saw, Square pyramid",2.0,8,1,2.4423003064108206,2.5610723138073546,0.14907892023356945,1.0,1.0
3.0,"Square-face bicapped trigonal prism, Square pyramid, Trigonal prism",2.0,8,1,2.4283406699176338,2.5374247658783946,0.12903156103256644,1.0,1.0
3.0,"Square-face capped square prism, Square pyramid",2.0,2,2,,,,,1.0
3.0,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Trigonal bipyramid",2.0,1,1,,,,,1.0
3.0,"Square-face capped trigonal prism, Square pyramid, Pentagonal pyramid, Octahedron, Trigonal bipyramid",2.0,1,1,,,,,1.0
3.0,Square-face monocapped antiprism,2.0,6,2,2.500478583580954,2.58863866848718,0.10633791258801023,1.0,1.0
3.0,"Square-face monocapped antiprism, Square pyramid",2.0,8,1,2.2027081439648843,2.3359310202619272,0.10789672171405858,1.0,1.0
3.0,Triangular non-coplanar,2.0,78,13,2.1868680324935306,2.220422646717331,0.02658208345225884,0.6969696969696969,0.9873417721518988
3.0,Triangular non-coplanar,3.0,1,1,,,,,0.012658227848101266
3.0,"Triangular non-coplanar, Cube, Square pyramid",2.0,8,1,2.2869664432922536,2.286966443292255,9.802843705785266e-16,1.0,1.0
3.0,"Triangular non-coplanar, Cuboctahedron",2.0,6,3,2.310791147424339,2.3107912795315415,1.2830770459873998e-07,1.0,1.0
3.0,"Triangular non-coplanar, Octahedron",2.0,2,1,2.2472535920653023,2.293793083325884,0.03290838986332914,1.0,0.5
3.0,"Triangular non-coplanar, Octahedron",3.0,2,1,2.15924126854724,2.234120152218569,0.05295610770359479,1.0,0.5
3.0,"Triangular non-coplanar, Octahedron, Cuboctahedron",2.0,1,1,2.2924632413134236,2.292463381966682,9.945687268731608e-08,1.0,1.0
3.0,"Triangular non-coplanar, Octahedron, Square pyramid",2.0,4,1,2.2352391211950233,2.270964739980874,0.028509795356241232,1.0,1.0
3.0,"Triangular non-coplanar, See-saw",2.0,32,2,2.2403913956428676,2.2688852226614524,0.025274773630567515,1.0,1.0
3.0,"Triangular non-coplanar, Square non-coplanar, Pentagonal plane, Square pyramid",2.0,4,1,2.230420527926424,2.3095747303885417,0.05622528206928791,1.0,1.0
