CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,2.0,20,3,2.310906049031344,2.310906049031344,0.0,1.0
2.0,2.0,167,13,2.282998740352726,2.306867820639688,0.023869080286962278,1.0
3.0,2.0,317,83,2.2729806429191663,2.332451932594608,0.05859753506904503,0.9783950617283951
3.0,3.0,7,3,2.1920835793071087,2.2237579726565406,0.023261367124096877,0.021604938271604937
4.0,2.0,615,87,2.3112370671457323,2.4606582365702967,0.15910163623733808,0.9304084720121029
4.0,4.0,26,8,2.0866650554804544,2.097379177643657,0.00800194010951087,0.039334341906202726
4.0,2.67,16,2,2.23137833006242,2.3950574254425723,0.22624894703299422,0.024205748865355523
4.0,3.0,4,1,2.108441357963353,2.114958346537991,0.006527233702771364,0.006051437216338881
5.0,2.0,609,116,2.295930230046327,2.56391485951895,0.23145025640302805,0.9605678233438486
5.0,4.0,25,10,2.070473983474944,2.1693197723013227,0.05710221442623559,0.03943217665615142
6.0,2.0,716,162,2.364990139881284,2.6372764014460075,0.219393826996181,0.8443396226415094
6.0,4.0,52,20,2.16507687456412,2.22420128191722,0.04824826109646608,0.06132075471698113
6.0,3.33,34,5,2.197535069527234,2.2489742941874953,0.037812942075426174,0.04009433962264151
6.0,2.67,15,4,2.207498402126679,2.314242017977741,0.09940109141110273,0.01768867924528302
6.0,3.67,12,1,2.198894217127143,2.2543402650047715,0.029828268051824754,0.014150943396226415
6.0,3.5,8,1,2.2110979143305443,2.258786242399291,0.024064319976030295,0.009433962264150943
6.0,3.0,6,2,2.1704066995126703,2.213777418778149,0.0328374337823128,0.007075471698113208
6.0,2.55,4,1,2.289392959793952,2.3333166109095647,0.04533283058062873,0.0047169811320754715
6.0,2.22,1,1,,,,0.0011792452830188679
7.0,2.0,565,127,2.3895628240224474,2.677603864523473,0.20086842554304793,0.9511784511784511
7.0,2.4,12,2,2.3474828118745603,2.6426239587709257,0.20301543884969175,0.020202020202020204
7.0,2.22,6,1,2.3536073975166776,2.6465115300957405,0.22111781502874492,0.010101010101010102
7.0,2.55,6,1,2.316216640614008,2.6855993978611417,0.20796230364393764,0.010101010101010102
7.0,3.33,4,1,2.351259723244434,2.6519152122119576,0.14437927031699538,0.006734006734006734
7.0,3.0,1,1,,,,0.0016835016835016834
8.0,2.0,463,142,2.4714873282157725,2.7265505071108747,0.18631535505322053,0.9726890756302521
8.0,3.33,10,2,2.3095525818220697,2.609570641658086,0.24377574453030282,0.02100840336134454
8.0,3.0,2,1,2.367787959492996,2.7138384863717513,0.23990819074039968,0.004201680672268907
8.0,2.55,1,1,2.5230192295461493,2.7252030076752054,0.11674521863731731,0.0021008403361344537
9.0,2.0,283,85,2.5025792906196442,2.7810691901197067,0.20758866355555594,0.9625850340136054
9.0,2.4,8,2,2.6115223185083574,2.7525575197469148,0.15077893453002086,0.027210884353741496
9.0,2.22,3,1,2.582553082256554,2.751318064314372,0.14067006197655563,0.01020408163265306
10.0,2.0,123,40,2.5685478456023043,2.8247470719220438,0.17970517592209245,1.0
11.0,2.0,11,9,2.463110610562007,2.834940109313631,0.23209346992566188,1.0
12.0,2.0,54,28,2.7228347584442094,2.844821844202176,0.08323316579440293,1.0
