CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
0.0,1,1,2.0,inf,s_avg > 1,2+:1.0000
1.0,3,3,2.0,2.0,s_avg > 1,2+:1.0000
2.0,23,13,2.0,1.0,s_avg ≤ 1,2+:1.0000
3.0,92,86,2.032608695652174,0.677536231884058,s_avg ≤ 1,2+:0.9674; 3+:0.0326
4.0,107,96,2.1588785046728973,0.5397196261682243,s_avg ≤ 1,2+:0.9159; 3+:0.0093; 4+:0.0748
5.0,126,126,2.1587301587301586,0.4317460317460317,s_avg ≤ 1,2+:0.9206; 4+:0.0794
6.0,185,184,2.227027027027027,0.37117117117117115,s_avg ≤ 1,2+:0.8811; 3+:0.0108; 4+:0.1081
7.0,129,128,2.007751937984496,0.2868217054263566,s_avg ≤ 1,2+:0.9922; 3+:0.0078
8.0,143,143,2.006993006993007,0.2508741258741259,s_avg ≤ 1,2+:0.9930; 3+:0.0070
9.0,86,85,2.0,0.2222222222222222,s_avg ≤ 1,2+:1.0000
10.0,40,40,2.0,0.2,s_avg ≤ 1,2+:1.0000
11.0,9,9,2.0,0.18181818181818182,s_avg ≤ 1,2+:1.0000
12.0,28,28,2.0,0.16666666666666666,s_avg ≤ 1,2+:1.0000
