material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pd_wyckoff,num_Pd_chemenvs,CN,element,charge_range,is_single_charge
mp-1104660,Bi(PdO2)2,2.0362049997883593,-0.0109163444745104,"[4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1h, 1e, 1d, 1a",2,4.0,Pd,0.0,True
mp-1104660,Bi(PdO2)2,2.0362049997883593,-0.0109163444745104,"[4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1h, 1e, 1d, 1a",2,4.0,Pd,0.0,True
mp-1104660,Bi(PdO2)2,2.0362049997883593,-0.0109163444745104,"[4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1h, 1e, 1d, 1a",2,6.0,Pd,0.0,True
mp-1106270,BaPd(IO3)4,2.0149371256446074,0.0119542446023932,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Pd,0.0,True
mp-1190325,Ag2P2PdO7,1.968418294760901,0.1072733496202735,[4.0],2.0,2.0,2.0,Square plane,2a,1,4.0,Pd,0.0,True
mp-1195322,Rb2Pd(S4O13)2,2.807103292561026,-1.0849683913951824,[4.0],2.0,2.0,2.0,Square plane,1h,1,4.0,Pd,0.0,True
mp-1195529,Ba2H2Pd(S5O17)2,2.242247981822533,-0.2936213896730173,[4.0],2.0,2.0,2.0,Square plane,1g,1,4.0,Pd,0.0,True
mp-1195978,K2Pd(S2O7)3,2.0618859887131387,-0.0441428931246505,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Pd,0.0,True
mp-1201497,Bi2Pd(SeO3)4,2.0498187226007376,-0.0141141561553702,[4.0],2.0,2.0,2.0,Square plane,2b,1,4.0,Pd,0.0,True
mp-1201925,H2Pd(S2O7)2,2.180781076710611,0.060960783220383,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Pd,0.0,True
mp-1203991,K2Pd(S4O13)2,2.706585175400379,-0.9443924548506673,[4.0],2.0,2.0,2.0,Square plane,1h,1,4.0,Pd,0.0,True
mp-1204303,Cs2K2Pd2N8O25,1.9498629299592944,0.2978204444215271,[4.0],3.0,3.0,3.0,Square plane,4f,1,4.0,Pd,0.0,True
mp-1208908,Sm4PdO7,1.594898558887192,0.6423797970985842,[4.0],2.0,2.0,2.0,Square plane,"1b, 1a",1,4.0,Pd,0.0,True
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False
mp-1224722,K14P16Pd9O56,1.9662137027184543,0.1186035808702499,[4.0],2.0,2.0,2.0,Square plane,"2b, 1a",1,4.0,Pd,0.0,True
mp-1227497,Bi2Pd3PtO8,2.479496429582243,-0.6160422210359175,[4.0],2.0,2.0,2.0,Square plane,"1h, 1a, 1d",1,4.0,Pd,0.0,True
mp-1228152,Ba4Y2Cu5PdO14,1.9852408760663365,0.0681217455007234,[4.0],2.0,2.0,2.0,Square plane,1b,1,4.0,Pd,0.0,True
mp-1228291,Ba4Y2Cu5PdO14,2.0109491094752387,-0.5365434485092193,[4.0],4.0,4.0,4.0,Square plane,1c,1,4.0,Pd,0.0,True
mp-16415,LaPdO3,1.8144484920263673,0.4012283130779954,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Pd,0.0,True
mp-17380,Ba2Ca(PdO2)3,2.1255950493263236,-0.0812701587532069,[4.0],2.0,2.0,2.0,Square plane,"2g, 4n",1,4.0,Pd,0.0,True
mp-25257,Li15Bi4(PdO10)2,1.9909858905037077,0.0335665362371224,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,1a,1,4.0,Pd,1.0,False
mp-25257,Li15Bi4(PdO10)2,1.9909858905037077,0.0335665362371224,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,1a,1,4.0,Pd,1.0,False
mp-29352,Ba2PdO3,2.1024883286681115,-0.0615367412508591,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Pd,0.0,True
mp-29791,Nd4PdO7,1.746783647092402,0.4384613990789098,[4.0],2.0,2.0,2.0,Square plane,"1b, 1a",1,4.0,Pd,0.0,True
mp-31031,La4PdO7,2.154874370068943,-0.1499535226843814,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Pd,0.0,True
mp-4359,Sr2PdO3,2.4865563686304073,-0.6620419380924506,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Pd,0.0,True
mp-532526,Li2PdO3,1.9380585907714336,0.2715673352714486,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Pd,0.0,True
mp-545482,PdSeO3,2.023441974889412,-0.0049854955229211,[4.0],2.0,2.0,2.0,Square plane,2d,1,4.0,Pd,0.0,True
mp-546684,PdSeO3,2.002581460083433,0.0162385569505931,[4.0],2.0,2.0,2.0,Square plane,2e,1,4.0,Pd,0.0,True
mp-554320,P2Pd2O7,1.9404637439508037,0.1218751718975451,[4.0],2.0,2.0,2.0,Square plane,"2a, 2c",1,4.0,Pd,0.0,True
mp-555122,Rb2Pd(NO3)4,2.101145571124083,-0.0948499013982769,[4.0],2.0,2.0,2.0,Square plane,2c,1,4.0,Pd,0.0,True
mp-555331,KGdPdO3,2.226440232276331,-0.2583861957597614,[4.0],2.0,2.0,2.0,Square plane,2i,1,4.0,Pd,0.0,True
mp-556475,KLaPdO3,2.1866133276997344,-0.1767375594957685,[4.0],2.0,2.0,2.0,Square plane,2i,1,4.0,Pd,0.0,True
mp-556518,K2Pd(NO3)4,2.0909769741416477,-0.1374175071231889,[4.0],2.0,2.0,2.0,Square plane,4e,1,4.0,Pd,0.0,True
mp-557232,KSmPdO3,2.214235240201192,-0.2365947516015732,[4.0],2.0,2.0,2.0,Square plane,2i,1,4.0,Pd,0.0,True
mp-557269,Ba2Hg3(PdO2)7,2.027081924450981,0.016367989021964,"[4.0, 4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","2f, 2e, 2i, 1a",2,4.0,Pd,0.0,True
mp-557269,Ba2Hg3(PdO2)7,2.027081924450981,0.016367989021964,"[4.0, 4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","2f, 2e, 2i, 1a",2,4.0,Pd,0.0,True
mp-557269,Ba2Hg3(PdO2)7,2.027081924450981,0.016367989021964,"[4.0, 4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","2f, 2e, 2i, 1a",2,4.0,Pd,0.0,True
mp-557269,Ba2Hg3(PdO2)7,2.027081924450981,0.016367989021964,"[4.0, 4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","2f, 2e, 2i, 1a",2,6.0,Pd,0.0,True
mp-558831,KNdPdO3,2.1996060773369353,-0.207326595143533,[4.0],2.0,2.0,2.0,Square plane,2i,1,4.0,Pd,0.0,True
mp-558846,Cs2As4Pd3O14,2.120965129847195,-0.1032437373350155,[4.0],2.0,2.0,2.0,Square plane,"4f, 4d, 2c",1,4.0,Pd,0.0,True
mp-560120,Na2Pd(NO3)4,2.0564550966166992,-0.0216503431025427,[4.0],2.0,2.0,2.0,Square plane,2b,1,4.0,Pd,0.0,True
mp-560555,Li8Bi2PdO10,1.7128175411657245,0.4598106056715714,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Pd,0.0,True
mp-560563,K3(PdO2)2,2.020199683059989,-0.0394720171571994,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"2a, 2c",1,4.0,Pd,1.0,False
mp-560563,K3(PdO2)2,2.020199683059989,-0.0394720171571994,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"2a, 2c",1,4.0,Pd,1.0,False
mp-560569,KPrPdO3,2.1929896402753335,-0.1941040453752607,[4.0],2.0,2.0,2.0,Square plane,2i,1,4.0,Pd,0.0,True
mp-680547,Ba14Ir8(PdO11)3,2.0370904050128464,0.297376667663391,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Pd,0.0,True
mp-683427,Ba2Ca(PdO2)3,2.02803425955456,0.0669735200297338,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Pd,0.0,True
mp-684657,Pd7O8,1.94728381604729,0.2346671812976007,"[4.0, 8.0, 4.0, 8.0]",2.5,2.0,3.0,"Cube, Square plane","2m, 2j, 2n, 4o, 2k",2,4.0,Pd,1.0,False
mp-684657,Pd7O8,1.94728381604729,0.2346671812976007,"[4.0, 8.0, 4.0, 8.0]",2.5,2.0,3.0,"Cube, Square plane","2m, 2j, 2n, 4o, 2k",2,8.0,Pd,1.0,False
mp-684657,Pd7O8,1.94728381604729,0.2346671812976007,"[4.0, 8.0, 4.0, 8.0]",2.5,2.0,3.0,"Cube, Square plane","2m, 2j, 2n, 4o, 2k",2,4.0,Pd,1.0,False
mp-684657,Pd7O8,1.94728381604729,0.2346671812976007,"[4.0, 8.0, 4.0, 8.0]",2.5,2.0,3.0,"Cube, Square plane","2m, 2j, 2n, 4o, 2k",2,8.0,Pd,1.0,False
mp-738639,Ba14Ir8(PdO11)3,1.6211346082444265,0.6750596870825468,"[4.0, 6.0]",2.0,2.0,2.0,no_data,no_data,1,4.0,Pd,0.0,True
mp-738639,Ba14Ir8(PdO11)3,1.6211346082444265,0.6750596870825468,"[4.0, 6.0]",2.0,2.0,2.0,no_data,no_data,1,6.0,Pd,0.0,True
mp-760103,Sr15Pd5O24,2.1890455670405453,-0.0470587309974195,"[6.0, 6.0, 6.0]",2.0,2.0,2.0,"Trigonal prism, Octahedron","1b, 2c",2,6.0,Pd,0.0,True
mp-760103,Sr15Pd5O24,2.1890455670405453,-0.0470587309974195,"[6.0, 6.0, 6.0]",2.0,2.0,2.0,"Trigonal prism, Octahedron","1b, 2c",2,6.0,Pd,0.0,True
mp-760103,Sr15Pd5O24,2.1890455670405453,-0.0470587309974195,"[6.0, 6.0, 6.0]",2.0,2.0,2.0,"Trigonal prism, Octahedron","1b, 2c",2,6.0,Pd,0.0,True
mp-8989,Na2P2PdO7,1.714189362723912,0.4888936595260146,[4.0],2.0,2.0,2.0,Square plane,2a,1,4.0,Pd,0.0,True
