CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
4.0,"Cube, Square plane",2.5,72,1,2.017687127340197,2.048895373369552,0.0296602054784221,1.0,1.0
4.0,"Octahedron, Square plane",2.0,17,2,2.0276768120587416,2.038815867324576,0.01113905526583428,1.0,1.0
4.0,Square plane,2.0,67,30,2.032866790348798,2.0495212614229135,0.01626448605183722,0.9841269841269841,0.7052631578947368
4.0,Square plane,2.5,26,3,2.019375511092727,2.034590316300633,0.010896767532605944,1.0,0.2736842105263158
4.0,Square plane,3.0,1,1,,,,,0.010526315789473684
4.0,Square plane,4.0,1,1,1.9744359999999996,2.009785529997,0.03534952999700003,0.5,0.010526315789473684
4.0,no_data,2.0,1,1,,,,,1.0
6.0,Octahedron,3.0,4,1,2.047867806572355,2.09131636518092,0.0308208312275633,1.0,0.4
6.0,Octahedron,4.0,4,1,2.033433824392624,2.043951843964434,0.0063023609865302775,1.0,0.4
6.0,Octahedron,2.0,2,1,2.2390315162857837,2.2480979690537346,0.008678485798284313,1.0,0.2
6.0,"Octahedron, Square plane",2.0,5,2,2.0020171764181547,2.190024006757028,0.23925448614017006,1.0,1.0
6.0,"Trigonal prism, Octahedron",2.0,15,1,2.121016088998599,2.1355382208993205,0.010975275225798197,1.0,0.5
6.0,"Trigonal prism, Octahedron",2.3333333333333335,15,1,2.1320707723727343,2.1418552228809933,0.009784420948211145,1.0,0.5
6.0,no_data,2.0,16,2,2.2457231095738703,2.3843227956104474,0.1601897550929688,1.0,0.5714285714285714
6.0,no_data,4.0,12,1,2.0152335728197883,2.048936629322103,0.025168606248816578,1.0,0.42857142857142855
8.0,"Cube, Square plane",2.5,12,1,2.120361530833294,2.3717919749053897,0.24802581012389927,1.0,1.0
