material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pd_wyckoff,num_Pd_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1104660,Bi(PdO2)2,2.0362049997883593,-0.0109163444745104,"[4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1h, 1e, 1d, 1a",2,4.0,Pd,0.0,True,2.0,4.0,1.9755988947595589,2.0415050207864707,2.008551957773015,0.03295306301345563,0.06590612602691182,56.51661686616507,27.471004690988174,22.293058069241717,98.10363591317738,4.0,1.0,1,"Octahedron, Square plane"
mp-1104660,Bi(PdO2)2,2.0362049997883593,-0.0109163444745104,"[4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1h, 1e, 1d, 1a",2,4.0,Pd,0.0,True,2.0,4.0,1.9755988947595589,2.0415050207864707,2.008551957773015,0.03295306301345563,0.06590612602691182,56.51661686616507,27.471004690988174,22.293058069241717,98.10363591317738,4.0,1.0,1,"Octahedron, Square plane"
mp-1104660,Bi(PdO2)2,2.0362049997883593,-0.0109163444745104,"[4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1h, 1e, 1d, 1a",2,6.0,Pd,0.0,True,3.0,6.0,2.0183873599914706,2.102615713697866,2.0499040064315173,0.03751023722128274,0.08422835370639525,61.3220471224741,27.198765128372443,24.36578333723148,100.76699053991179,6.0,1.0,1,"Octahedron, Square plane"
mp-1104660,Bi(PdO2)2,2.0362049997883593,-0.0109163444745104,"[4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1h, 1e, 1d, 1a",2,6.0,Pd,0.0,True,4.0,6.0,1.9709814399850971,3.186678133461023,2.4045592738250634,0.5541300976180391,1.2156966934759257,107.99999994308176,39.92779806129001,66.74188980545205,180.0,6.0,1.0,2,"Octahedron, Square plane"
mp-1104660,Bi(PdO2)2,2.0362049997883593,-0.0109163444745104,"[4.0, 4.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square plane","1h, 1e, 1d, 1a",2,6.0,Pd,0.0,True,5.0,6.0,1.9953567176647586,3.1897813766885887,2.411155881692672,0.5509959324434411,1.19442465902383,48.041212374319564,19.590345623941367,11.722367560402976,87.92814263398671,6.0,1.0,3,"Octahedron, Square plane"
mp-1106270,BaPd(IO3)4,2.0149371256446074,0.0119542446023932,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Pd,0.0,True,1.0,4.0,2.013608097440086,2.03477672209954,2.023525614014034,0.008402715386519035,0.021168624659454238,98.99016124324511,49.89014251750876,32.40296102014556,176.65720084843318,4.0,1.0,1,Square plane
mp-1190325,Ag2P2PdO7,1.968418294760901,0.1072733496202735,[4.0],2.0,2.0,2.0,Square plane,2a,1,4.0,Pd,0.0,True,8.0,4.0,2.038760414104549,2.0469455228428144,2.0428529684736816,0.004092554369132251,0.008185108738265612,25.059876334212323,7.1165013150772705,14.18752471820206,35.383881733221024,4.0,1.0,1,Square plane
mp-1190325,Ag2P2PdO7,1.968418294760901,0.1072733496202735,[4.0],2.0,2.0,2.0,Square plane,2a,1,4.0,Pd,0.0,True,9.0,4.0,2.0387604141045492,2.0469455228428144,2.0428529684736816,0.004092554369131918,0.008185108738265168,22.399123587108978,8.663078067085062,9.953832916362973,32.821124847338524,4.0,1.0,2,Square plane
mp-1195322,Rb2Pd(S4O13)2,2.807103292561026,-1.0849683913951824,[4.0],2.0,2.0,2.0,Square plane,1h,1,4.0,Pd,0.0,True,2.0,4.0,2.039931938011068,2.0699811447703196,2.054956541390694,0.015024603379624635,0.03004920675925149,120.0,42.4646506859501,87.79322932327729,180.0,4.0,1.0,1,Square plane
mp-1195529,Ba2H2Pd(S5O17)2,2.242247981822533,-0.2936213896730173,[4.0],2.0,2.0,2.0,Square plane,1g,1,4.0,Pd,0.0,True,4.0,4.0,2.0314693665446883,2.0458052104043976,2.038637288474543,0.007167921929854271,0.014335843859709207,48.21244311563535,15.072411054983368,34.70933403114683,73.65750758470529,4.0,1.0,1,Square plane
mp-1195978,K2Pd(S2O7)3,2.0618859887131387,-0.0441428931246505,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Pd,0.0,True,8.0,6.0,2.0322047726025225,2.054132623655831,2.043740867180263,0.007950755001110723,0.021927851053308522,107.16562545694525,34.39154653647988,84.98289437233613,177.35865697066734,6.0,1.0,1,Octahedron
mp-1195978,K2Pd(S2O7)3,2.0618859887131387,-0.0441428931246505,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Pd,0.0,True,9.0,6.0,2.032204772602524,2.0541326236558346,2.0437408671802633,0.007950755001111401,0.021927851053310743,107.16562545694524,34.391546536479886,84.9828943723362,177.35865697066734,6.0,1.0,2,Octahedron
mp-1195978,K2Pd(S2O7)3,2.0618859887131387,-0.0441428931246505,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Pd,0.0,True,10.0,6.0,2.034662876182726,2.0498004160721672,2.0441628207486056,0.004653966971948989,0.015137539889441332,107.13608139168939,34.34576550283586,84.31884578855825,177.62782529203105,6.0,1.0,3,Octahedron
mp-1195978,K2Pd(S2O7)3,2.0618859887131387,-0.0441428931246505,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Pd,0.0,True,11.0,6.0,2.034662876182723,2.0498004160721663,2.0441628207486056,0.004653966971949996,0.015137539889443552,107.13608139168936,34.345765502835775,84.31884578855825,177.62782529203074,6.0,1.0,4,Octahedron
mp-1201497,Bi2Pd(SeO3)4,2.0498187226007376,-0.0141141561553702,[4.0],2.0,2.0,2.0,Square plane,2b,1,4.0,Pd,0.0,True,4.0,4.0,2.0376748848337205,2.0420526641610124,2.0398637744973662,0.002188889663645721,0.004377779327291886,119.99999979876361,42.444796543608675,88.46991285704019,180.0,4.0,1.0,1,Square plane
mp-1201497,Bi2Pd(SeO3)4,2.0498187226007376,-0.0141141561553702,[4.0],2.0,2.0,2.0,Square plane,2b,1,4.0,Pd,0.0,True,5.0,4.0,2.03767488483372,2.042052664161012,2.0398637744973662,0.002188889663645166,0.004377779327291886,45.066045631513276,19.909787872823642,21.505356384732046,79.3638509239189,4.0,1.0,2,Square plane
mp-1201925,H2Pd(S2O7)2,2.180781076710611,0.060960783220383,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Pd,0.0,True,4.0,6.0,2.239031516285784,2.2597952549908844,2.2480979690537346,0.008678485798284308,0.020763738705100288,42.56206332134488,15.141199959939422,19.634456798400286,69.47786245340646,6.0,1.0,1,Octahedron
mp-1201925,H2Pd(S2O7)2,2.180781076710611,0.060960783220383,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Pd,0.0,True,5.0,6.0,2.2390315162857837,2.2597952549908844,2.248097969053735,0.008678485798284319,0.02076373870510073,61.50861403649389,33.81030610646049,12.342603650696443,110.9828375505912,6.0,1.0,2,Octahedron
mp-1203991,K2Pd(S4O13)2,2.706585175400379,-0.9443924548506673,[4.0],2.0,2.0,2.0,Square plane,1h,1,4.0,Pd,0.0,True,2.0,4.0,2.037833247530701,2.0659220669044855,2.0518776572175934,0.014044409686892356,0.028088819373784712,120.0,42.482716042261394,87.32198889264424,180.0,4.0,1.0,1,Square plane
mp-1204303,Cs2K2Pd2N8O25,1.9498629299592944,0.2978204444215271,[4.0],3.0,3.0,3.0,Square plane,4f,1,4.0,Pd,0.0,True,,,,,,,,,,,,,,0,Square plane
mp-1208908,Sm4PdO7,1.594898558887192,0.6423797970985842,[4.0],2.0,2.0,2.0,Square plane,"1b, 1a",1,4.0,Pd,0.0,True,8.0,4.0,2.023828929051676,2.052408288790105,2.0381186089208905,0.014289679869214034,0.028579359738428955,66.88802954587109,15.350099217018364,49.01265926452535,87.04909404330313,4.0,1.0,1,Square plane
mp-1208908,Sm4PdO7,1.594898558887192,0.6423797970985842,[4.0],2.0,2.0,2.0,Square plane,"1b, 1a",1,4.0,Pd,0.0,True,9.0,4.0,2.039600366646545,2.045108675433228,2.042354521039887,0.002754154393341257,0.005508308786682736,53.1837015323724,26.288418025364006,12.871510651631926,81.27845700189594,4.0,1.0,2,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,33.0,4.0,2.0595491415917975,2.0704753256113406,2.0650122336015686,0.005463092009771242,0.01092618401954315,63.789772686463316,24.468546841397238,14.96364159568615,95.27699701305232,4.0,1.0,1,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,34.0,4.0,2.059549141591797,2.0704753256113384,2.0650122336015677,0.005463092009770243,0.010926184019541374,63.789772686463344,24.468546841397266,14.963641595686102,95.27699701305238,4.0,1.0,2,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,35.0,4.0,2.042486375312914,2.075648097966223,2.064444939193278,0.013013879906428478,0.03316172265330897,91.56462356049532,46.60573774695309,14.681708373080621,175.6597396058415,4.0,1.0,3,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,36.0,4.0,2.042486375312913,2.0756480979662215,2.064444939193278,0.013013879906428815,0.03316172265330852,91.56462356049538,46.60573774695309,14.681708373080694,175.6597396058416,4.0,1.0,4,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,37.0,4.0,2.0424863753129125,2.075648097966223,2.064444939193279,0.013013879906429406,0.0331617226533103,91.56462356049535,46.60573774695311,14.681708373080646,175.6597396058416,4.0,1.0,5,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,38.0,4.0,2.0424863753129134,2.075648097966224,2.0644449391932795,0.013013879906429385,0.03316172265331074,91.5646235604953,46.60573774695312,14.681708373080621,175.6597396058416,4.0,1.0,6,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,39.0,4.0,2.040422831103712,2.040422831103713,2.040422831103713,4.965068306494546e-16,8.881784197001252e-16,45.00790705826069,22.198818825040124,13.695009216949336,62.20547960055286,4.0,1.0,7,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,33.0,4.0,2.0595491415917975,2.0704753256113406,2.0650122336015686,0.005463092009771242,0.01092618401954315,63.789772686463316,24.468546841397238,14.96364159568615,95.27699701305232,4.0,1.0,1,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,34.0,4.0,2.059549141591797,2.0704753256113384,2.0650122336015677,0.005463092009770243,0.010926184019541374,63.789772686463344,24.468546841397266,14.963641595686102,95.27699701305238,4.0,1.0,2,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,35.0,4.0,2.042486375312914,2.075648097966223,2.064444939193278,0.013013879906428478,0.03316172265330897,91.56462356049532,46.60573774695309,14.681708373080621,175.6597396058415,4.0,1.0,3,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,36.0,4.0,2.042486375312913,2.0756480979662215,2.064444939193278,0.013013879906428815,0.03316172265330852,91.56462356049538,46.60573774695309,14.681708373080694,175.6597396058416,4.0,1.0,4,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,37.0,4.0,2.0424863753129125,2.075648097966223,2.064444939193279,0.013013879906429406,0.0331617226533103,91.56462356049535,46.60573774695311,14.681708373080646,175.6597396058416,4.0,1.0,5,Square plane
mp-1212473,K15P16Pd9O56,2.0748314206627496,-0.0144695427106165,"[4.0, 4.0]",2.5,2.0,3.0,Square plane,"4j, 2i, 1c",1,4.0,Pd,1.0,False,38.0,4.0,2.0424863753129134,2.075648097966224,2.0644449391932795,0.013013879906429385,0.03316172265331074,91.5646235604953,46.60573774695312,14.681708373080621,175.6597396058416,4.0,1.0,6,Square plane
