material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pt_wyckoff,num_Pt_chemenvs,CN,element,charge_range,is_single_charge
mp-1197023,Pt(SO4)2,1.9936368661199448,0.2380219699427241,[5.0],4.0,4.0,4.0,Square pyramid,4e,1,5.0,Pt,0.0,True
mp-1200998,Ba2H8PtO8,2.0337369153335496,0.0249635181087983,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Pt,0.0,True
mp-1202747,Sr2H8PtO8,2.041029289319306,0.0121467596143789,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1204209,CsHPt2(SO4)4,1.5955021324697884,0.9381823477218032,[5.0],3.0,3.0,3.0,Square pyramid,4e,1,5.0,Pt,0.0,True
mp-1208543,Tb2CoPtO6,2.034860150509225,0.0575424892665605,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1208902,Sm2ZnPtO6,2.018269534196984,0.0965879321498339,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1208919,Sm2MgPtO6,2.0174315885680847,0.0879868162398702,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1208920,Sm2CoPtO6,2.029028831016501,0.0837173592415096,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1208922,Sm2NiPtO6,2.0179962013856008,0.0960467786008814,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1209351,Pr2ZnPtO6,2.0252661565659125,0.0886925659014477,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1209742,Pr2MgPtO6,2.02051884386509,0.0819480787532237,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1209764,Pr2NiPtO6,2.012309058837696,0.1103765430537258,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1209786,Nd2MgPtO6,2.026129144146772,0.0663989773881981,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1209897,Ni(PtO2)3,1.9783628154485624,0.1088053747359905,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","4h, 2c",2,4.0,Pt,0.0,True
mp-1209897,Ni(PtO2)3,1.9783628154485624,0.1088053747359905,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","4h, 2c",2,6.0,Pt,0.0,True
mp-1209914,Nd2ZnPtO6,2.0461167157243225,0.02871864720274,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1209936,Nd2NiPtO6,2.0276072703108303,0.0732147994163886,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1212356,Ho2CoPtO6,2.0298473625015374,0.0763866243684008,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1212708,Gd2NiPtO6,2.0233159071603337,0.0809140208565537,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1212711,Gd2MgPtO6,1.991582601738144,0.0948313908016749,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1212755,Gd2ZnPtO6,1.9904304639176489,0.1111125574699862,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1213101,Dy2CoPtO6,2.036972866399677,0.0542926674230827,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1214448,Ba8Sc3(Pt2O9)2,2.0301782631458773,0.0024398182217213,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Square plane","1a, 3c",2,4.0,Pt,0.0,True
mp-1214448,Ba8Sc3(Pt2O9)2,2.0301782631458773,0.0024398182217213,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Square plane","1a, 3c",2,6.0,Pt,0.0,True
mp-1214674,Ba2Tm2CuPtO8,1.9001947387896043,0.411919125926256,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Pt,0.0,True
mp-1214783,Ba2Ho2CuPtO8,1.8483564563663843,0.549775999311876,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Pt,0.0,True
mp-1214824,Ba2Er2CuPtO8,1.8907884693427528,0.433238670234472,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Pt,0.0,True
mp-1214855,Ba2Lu2CuPtO8,1.893762099136672,0.4234711102755488,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Pt,0.0,True
mp-1221329,Na2Nd2PtO6,2.0216323909527323,0.0939455829618623,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Pt,0.0,True
mp-1221367,Na2La2PtO6,2.0417104183795565,0.0588892263920627,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Pt,0.0,True
mp-1223078,La4PtO7,1.9630923585630573,0.1427419577769212,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Pt,0.0,True
mp-1224648,H2PtPbI6O19,2.019662837426306,0.0106222200288989,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Pt,0.0,True
mp-1225837,Cu4PtO5,2.037315173788127,0.0616927341142071,[4.0],4.0,4.0,4.0,Square plane,2m,1,4.0,Pt,0.0,True
mp-1227215,Cd(Pt3O4)3,1.9932303838052867,0.0739974564390439,[4.0],2.44,2.44,2.44,Square plane,"2m, 4u, 4x, 2s, 2l",1,4.0,Pt,0.0,True
mp-1227402,Ca2IrPtO6,1.910806436183988,0.390042858153533,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Pt,0.0,True
mp-1227497,Bi2Pd3PtO8,2.01610000125433,0.1176041304655281,[6.0],4.0,4.0,4.0,Octahedron,1e,1,6.0,Pt,0.0,True
mp-1227763,BaSr2Y2Cu2PtO10,2.504344767814009,-1.114757039391801,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Pt,0.0,True
mp-1228242,Ba3YRuPtO9,1.8042507603433249,0.5811802232049529,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Pt,0.0,True
mp-1228458,Ba6Y2Ru3PtO18,1.692448612342785,0.8522449358852244,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Pt,0.0,True
mp-1228609,Ba5Co4PtClO13,1.89436220382708,0.3628516667422717,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Pt,0.0,True
mp-1272688,Ni(PtO2)3,1.97612868089874,0.0908937363971165,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","4b, 4f",2,4.0,Pt,0.0,True
mp-1272688,Ni(PtO2)3,1.97612868089874,0.0908937363971165,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","4b, 4f",2,6.0,Pt,0.0,True
mp-18971,Mn(PtO2)3,1.9772068228842543,0.0980005731526608,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","2f, 1a",2,4.0,Pt,0.0,True
mp-18971,Mn(PtO2)3,1.9772068228842543,0.0980005731526608,"[4.0, 6.0]",3.33,3.33,3.33,"Octahedron, Square plane","2f, 1a",2,6.0,Pt,0.0,True
