CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
4.0,"Octahedron, Square plane",3.33,16,9,1.9770088121187874,1.9784788582700623,0.0014467882847142748,1.0,0.7272727272727273
4.0,"Octahedron, Square plane",3.0,5,2,2.0165032198391715,2.018677944713181,0.002174724874009391,1.0,0.22727272727272727
4.0,"Octahedron, Square plane",2.0,1,1,2.045095461126385,2.045095461126385,4.965068306494546e-16,1.0,0.045454545454545456
4.0,Square plane,2.44,18,1,2.0252393536130913,2.030348405739579,0.005109052126487934,1.0,0.75
4.0,Square plane,4.0,4,2,2.0258092542046184,2.0331113206291613,0.007261772050269387,1.0,0.16666666666666666
4.0,Square plane,2.0,2,2,2.0439889941670906,2.051823480227091,0.006533811688874588,1.0,0.08333333333333333
4.0,"Square pyramid, Octahedron, Square plane",4.0,1,1,,,,,1.0
4.0,"Square pyramid, Square plane",3.0,4,1,2.040283273406028,2.0491295260655806,0.007786522569046595,1.0,1.0
5.0,Square pyramid,3.0,28,3,2.0224292885552,2.0637493156436655,0.05993322129889685,1.0,0.9032258064516129
5.0,Square pyramid,2.0,2,1,2.0383462438421667,2.0934775335579277,0.08537153280812902,1.0,0.06451612903225806
5.0,Square pyramid,4.0,1,1,,,,,0.03225806451612903
5.0,"Square pyramid, Octahedron, Square plane",4.0,4,1,1.9856594193821904,2.117951583819816,0.22237600705518643,0.5,1.0
5.0,"Square pyramid, Square plane",3.0,4,1,2.019248145092903,2.044463590690368,0.01680509982355211,1.0,1.0
6.0,Octahedron,4.0,108,42,2.0337837062535957,2.0486312281016676,0.012120324332880662,0.9722222222222222,1.0
6.0,"Octahedron, Square plane",3.33,43,9,2.0194571151515395,2.067020894335321,0.05763162695462076,0.9612403100775194,0.9148936170212766
6.0,"Octahedron, Square plane",3.0,3,2,2.022023121377584,2.1554557823208973,0.18427559014719527,1.0,0.06382978723404255
6.0,"Octahedron, Square plane",2.0,1,1,2.0515575300866566,2.0538965819860717,0.0033079189192470387,1.0,0.02127659574468085
6.0,"Square pyramid, Octahedron, Square plane",4.0,4,1,2.004886920632914,2.0608091384249727,0.05232131517009495,0.8333333333333334,1.0
6.0,no_data,4.0,1,1,2.0150716235213597,2.051473119660644,0.016527635073577643,1.0,1.0
