CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
4.0,Square plane,24,5,2.026896807091179,2.0325984810951354,0.0055865687439837315,1.0,0.47058823529411764
4.0,"Octahedron, Square plane",22,12,1.989654463909717,1.9912222885115822,0.0015512118400362654,1.0,0.43137254901960786
4.0,"Square pyramid, Square plane",4,1,2.040283273406028,2.0491295260655806,0.007786522569046595,1.0,0.0784313725490196
4.0,"Square pyramid, Octahedron, Square plane",1,1,,,,,0.0196078431372549
5.0,Square pyramid,31,5,2.0234904189076643,2.06573119683795,0.061629108732845654,1.0,0.7948717948717948
5.0,"Square pyramid, Octahedron, Square plane",4,1,1.9856594193821904,2.117951583819816,0.22237600705518643,0.5,0.10256410256410256
5.0,"Square pyramid, Square plane",4,1,2.019248145092903,2.044463590690368,0.01680509982355211,1.0,0.10256410256410256
6.0,Octahedron,108,42,2.0337837062535957,2.0486312281016676,0.012120324332880662,0.9722222222222222,0.675
6.0,"Octahedron, Square plane",47,12,2.0203038903348003,2.072386433731225,0.064559460604458,0.9645390070921986,0.29375
6.0,"Square pyramid, Octahedron, Square plane",4,1,2.004886920632914,2.0608091384249727,0.05232131517009495,0.8333333333333334,0.025
6.0,no_data,1,1,2.0150716235213597,2.051473119660644,0.016527635073577643,1.0,0.00625
