CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
4.0,2.44,18,1,2.0252393536130913,2.030348405739579,0.005109052126487934,0.35294117647058826
4.0,3.33,16,9,1.9770088121187874,1.9784788582700623,0.0014467882847142748,0.3137254901960784
4.0,3.0,9,3,2.0270721325355523,2.032211980869803,0.0046688571829148155,0.17647058823529413
4.0,4.0,5,3,2.0258092542046184,2.0331113206291613,0.007261772050269387,0.09803921568627451
4.0,2.0,3,3,2.044357816486855,2.0495808071935224,0.004355874459249891,0.058823529411764705
5.0,3.0,32,4,2.022031645622413,2.0613386000245035,0.054542206114478756,0.8205128205128205
5.0,4.0,5,2,1.9856594193821904,2.117951583819816,0.22237600705518643,0.1282051282051282
5.0,2.0,2,1,2.0383462438421667,2.0934775335579277,0.08537153280812902,0.05128205128205128
6.0,4.0,113,44,2.0325952175348796,2.049087454056112,0.013582371006239548,0.70625
6.0,3.33,43,9,2.0194571151515395,2.067020894335321,0.05763162695462076,0.26875
6.0,3.0,3,2,2.022023121377584,2.1554557823208973,0.18427559014719527,0.01875
6.0,2.0,1,1,2.0515575300866566,2.0538965819860717,0.0033079189192470387,0.00625
