material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Re_wyckoff,num_Re_chemenvs,CN,element,charge_range,is_single_charge
mp-10094,Tm5(ReO6)2,1.85558389951746,0.7712906405964093,[6.0],5.0,5.0,5.0,Octahedron,2g,1,6.0,Re,0.0,True
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,4.0,Re,0.0,True
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True
mp-10326,Zn(ReO4)2,1.7994983140771024,0.1095863164472836,[4.0],7.0,7.0,7.0,Tetrahedron,2d,1,4.0,Re,0.0,True
mp-1041019,CuReO4,1.817563088002352,0.1178354292182303,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Re,0.0,True
mp-1042110,Re2O7,1.913291862987668,0.2714204788564761,[4.0],7.0,7.0,7.0,Tetrahedron,4b,1,4.0,Re,0.0,True
mp-1096938,Cs2ReO4,2.286223196221989,1.1722600894136517,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Re,0.0,True
mp-1106155,Ca2MnReO6,1.942926210336314,-0.4272483982314211,[6.0],6.0,6.0,6.0,Octahedron,4a,1,6.0,Re,0.0,True
mp-11207,Pr3ReO7,1.9715978696054104,0.1179547691181734,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-1188807,Sr2CaReO6,1.9460812129766405,0.0596789597515412,[6.0],6.0,6.0,6.0,Octahedron,2c,1,6.0,Re,0.0,True
mp-1188946,Re2BiO6,1.9503719871783944,0.1625583910954283,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Re,0.0,True
mp-1191971,FeRe2(H2O3)4,1.7600162867319131,0.009327499516145,[4.0],7.0,7.0,7.0,Tetrahedron,2i,1,4.0,Re,0.0,True
mp-1191990,Dy3ReO7,1.948150024387528,0.1954491420974697,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-1192782,CuRe2(H2O3)4,1.7897152702647348,0.062351594853696,[4.0],7.0,7.0,7.0,Tetrahedron,2i,1,4.0,Re,0.0,True
mp-1193019,MnRe(PbO3)2,1.9382921782573088,-0.1718539947983209,[6.0],6.0,6.0,6.0,Octahedron,"2i, 1b",1,6.0,Re,0.0,True
mp-1193300,ReS2ClO9,1.9846858094658155,0.4163833122759857,[5.0],7.0,7.0,7.0,Octahedron,2i,1,5.0,Re,0.0,True
mp-1196004,Re2Sb4O13,1.769010382358293,0.0458651015941103,[4.0],7.0,7.0,7.0,Tetrahedron,2i,1,4.0,Re,0.0,True
mp-1197149,ReSi2(PO5)3,1.913665536720862,0.3167337384354579,[6.0],7.0,7.0,7.0,Octahedron,2i,1,6.0,Re,0.0,True
mp-1197231,ReBi9O17,1.7576741061121042,-0.000982008043554,[4.0],7.0,7.0,7.0,Tetrahedron,4e,1,4.0,Re,0.0,True
mp-1197783,ReBi3O8,1.835304954352766,0.1709742188462971,[4.0],7.0,7.0,7.0,Tetrahedron,4a,1,4.0,Re,0.0,True
mp-1197806,Ba16Re6O37,1.9986441851536576,0.601986577926543,[6.0],7.0,7.0,7.0,Octahedron,2i,1,6.0,Re,0.0,True
mp-1200983,Re2S(ClO2)4,1.9723262333125624,0.3804713872732334,[4.0],7.0,7.0,7.0,Octahedron,4f,1,4.0,Re,0.0,True
mp-1203700,RePO6,1.943500318640528,0.3307333110665523,[6.0],7.0,7.0,7.0,no_data,no_data,1,6.0,Re,0.0,True
mp-1205130,Re2S2O13,1.9539511504890483,0.3813145277271397,[6.0],7.0,7.0,7.0,Octahedron,8e,1,6.0,Re,0.0,True
mp-1205210,NdRe3(H2O5)3,1.7819283557091066,0.0512654771951006,[4.0],7.0,7.0,7.0,Tetrahedron,4e,1,4.0,Re,0.0,True
mp-1208421,Tb5(ReO6)2,1.4508785412002916,1.365710878792047,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Re,0.0,True
mp-1208774,Sr5Re3BrO15,2.0818493394265944,0.7255493096974938,[5.0],7.0,7.0,7.0,Square pyramid,"8d, 4c",1,5.0,Re,0.0,True
