CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
2.0,Octahedron,8,2,1.7060193873789964,1.7124476253400467,0.0064282379610502705,0.0,0.6666666666666666
2.0,See-saw,4,1,1.7237489766245382,1.7245649978268363,0.0008160212022983171,0.0,0.3333333333333333
4.0,Tetrahedron,211,55,1.7404977506596169,1.754691335002729,0.011044135299151886,0.5829207920792079,0.8940677966101694
4.0,Octahedron,14,2,1.7024940629651553,1.897832918472039,0.19500846912349987,0.5,0.059322033898305086
4.0,"Square non-coplanar, Octahedron",8,4,1.9172171178518895,1.9286428912791902,0.008073832537216202,1.0,0.03389830508474576
4.0,"Tetrahedron, Octahedron",3,2,1.7297248534270275,1.7548593564682413,0.023649196060067948,0.75,0.012711864406779662
5.0,Square pyramid,66,8,1.7607674179375883,1.839384536844306,0.04050992830924766,0.16969696969696968,0.8571428571428571
5.0,Trigonal bipyramid,7,2,1.796476270204865,1.8285690112910233,0.02598106554599838,0.42857142857142855,0.09090909090909091
5.0,Octahedron,4,2,1.6931730849582998,1.9295866900267042,0.16873642317435394,0.7,0.05194805194805195
6.0,Octahedron,394,83,1.88744010668735,1.9462181093810407,0.04829702554972145,0.8987179487179487,0.9380952380952381
6.0,no_data,12,1,1.7107004305658222,1.9305082343748774,0.1690087800746222,0.6666666666666666,0.02857142857142857
6.0,"Tetrahedron, Octahedron",10,2,1.7211299764928363,1.9447610251107847,0.19927044840221805,0.7,0.023809523809523808
6.0,"Square non-coplanar, Octahedron",4,4,,,,,0.009523809523809525
