material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-772389,Ba9Rh8O27,4,[6],1.9428315143311703,0.1804939370838735,Octahedron,4.0,4.0,4.0
mp-1208805,Sr4FeRh2O9,2,[6],2.005732399312764,0.1004351283278941,Octahedron,3.5,3.0,4.0
mp-1210337,Sr5(RhO3)4,2,[6],1.991299657784276,0.1385564392922547,"Trigonal prism, Octahedron",3.5,3.0,4.0
mp-1218503,Sr8RuRh3O16,2,[6],2.0346659568341865,0.0358265696794859,Octahedron,3.5,3.0,4.0
mp-1218903,Sr(RhO2)4,2,[6],1.9981595055683887,0.0625670855643221,Octahedron,3.5,3.0,4.0
mp-1221126,NaCd(RhO2)4,2,[6],2.044580755239193,0.0486196938075146,Octahedron,3.5,3.0,4.0
mp-1221278,Na3Cd(RhO2)8,2,[6],2.032406072474405,0.0515395521897135,no_data,3.5,3.0,4.0
mp-1227635,CeBi2(Rh2O5)3,2,[6],2.0647363296076016,-0.0090261496706096,Octahedron,3.5,3.0,4.0
mp-1229239,BiRh7Pb2O15,2,[6],2.027710017516178,0.0505821241863949,Octahedron,3.5,3.0,4.0
mp-4048,Sr6(RhO3)5,2,[6],1.9928977328526791,0.0801992507307281,"Trigonal prism, Octahedron",3.5,3.0,4.0
mp-542675,Na(RhO2)2,2,[6],2.034845395230213,-0.0209409351251064,Octahedron,3.5,3.0,4.0
mp-554262,Ba9(RhO3)8,2,[6],2.0295102915820684,0.0573079028532635,Octahedron,3.5,3.0,4.0
mp-555277,Rh7(PbO5)3,2,[6],2.033420280792324,0.0251485796048852,Octahedron,3.5,3.0,4.0
mp-559631,Bi6Rh12O29,2,[6],2.0005270370747104,0.0851283405430159,Octahedron,3.5,3.0,4.0
mp-561047,Sr6(RhO3)5,2,[6],2.017017403240776,0.0828074127408417,"Trigonal prism, Octahedron",3.5,3.0,4.0
mp-686044,Bi12Rh12O41,2,[6],2.01724243212284,0.0167640909790748,Octahedron,3.5,3.0,4.0
mp-758025,Ba3(RhO2)14,2,[6],1.9913633022445063,0.0923168066043875,Octahedron,3.5,3.0,4.0
mp-760121,Bi12Rh12O41,2,[6],2.022671870095804,0.0036941347037818,Octahedron,3.5,3.0,4.0
mp-765543,Sr3(RhO2)16,2,[6],1.9995041692461828,0.0681996778835387,Octahedron,3.5,3.0,4.0
mp-766286,Bi8Rh8O27,2,[6],2.020328032013919,0.0099516155175737,Octahedron,3.5,3.0,4.0
mp-10320,La2MgRhO6,1,[6],2.00504699007358,0.0721576065492159,Octahedron,4.0,4.0,4.0
mp-10321,La2ZnRhO6,1,[6],2.001700133132549,0.0991553336719765,Octahedron,4.0,4.0,4.0
mp-1077875,Sr2RhO4,1,[6],2.3508937169077613,-0.9211353311737436,Octahedron,4.0,4.0,4.0
mp-1078659,CaRhO3,1,[6],1.7369866663374798,0.6655789610980617,Octahedron,4.0,4.0,4.0
mp-1173251,Sr2RhO4,1,[6],2.3067902699769047,-0.6627277061620424,Octahedron,4.0,4.0,4.0
mp-1173258,Sr2RhO4,1,[6],2.2995401340454675,-0.6561163788759178,Octahedron,4.0,4.0,4.0
mp-1181917,CaRhO3,1,[6],1.91467047991788,0.2232324664000272,Octahedron,4.0,4.0,4.0
mp-1193602,CaRhO3,1,[6],1.9337278450451405,0.1546689260949375,Octahedron,4.0,4.0,4.0
mp-1200659,CeRh2O5,1,[6],2.1660730209147725,-0.1717132568185382,Octahedron,3.0,3.0,3.0
mp-1205366,LuRhO3,1,[6],2.0207179950813714,0.0368854958095195,Octahedron,3.0,3.0,3.0
mp-1206840,SrRhO3,1,[6],2.040328514459916,-0.0191961003756287,Octahedron,4.0,4.0,4.0
mp-1206846,SrRhO3,1,[6],1.96960201694582,0.0840515097382756,Octahedron,4.0,4.0,4.0
mp-1207629,YRhO3,1,[6],1.9412231361264445,0.1677983792882304,Octahedron,3.0,3.0,3.0
mp-1207705,TmRhO3,1,[6],1.991158482461843,0.084743405488548,Octahedron,3.0,3.0,3.0
mp-1208626,SrRhO3,1,[6],1.949244952534238,0.1490634108399702,Octahedron,4.0,4.0,4.0
mp-1210084,NaRh(SO4)2,1,[6],1.8693035115743808,0.2845248621491177,Octahedron,3.0,3.0,3.0
mp-1212108,HoRhO3,1,[6],1.9540952434468188,0.1435903526083323,Octahedron,3.0,3.0,3.0
mp-1212884,DyRhO3,1,[6],1.942182795124448,0.1638304043670234,Octahedron,3.0,3.0,3.0
mp-1213022,ErRhO3,1,[6],1.9712675436495688,0.1161991069297,Octahedron,3.0,3.0,3.0
mp-1214944,AgRh(SO4)2,1,[6],1.8795757923065544,0.2632392991634523,Octahedron,3.0,3.0,3.0
mp-1219164,Sm2MnRhO6,1,[6],1.9839634933191044,0.1428484216796862,Octahedron,3.0,3.0,3.0
mp-1219893,Pr2MnRhO6,1,[6],1.9504380762337388,0.1971989604502976,Octahedron,3.0,3.0,3.0
mp-1220508,Nd2MnRhO6,1,[6],1.97318012178587,0.1541402086749885,Octahedron,3.0,3.0,3.0
mp-1222349,LiGeRhO4,1,[6],1.9765831512663945,0.1327485424042713,Octahedron,3.0,3.0,3.0
mp-1222352,LiTiRhO4,1,[6],2.008380072725412,0.0991259451487364,Octahedron,3.0,3.0,3.0
mp-1222353,LiMnRhO4,1,[6],1.924426653712682,0.1633190314067105,Octahedron,3.0,3.0,3.0
mp-1222456,LiRuRhO4,1,[6],1.978935847680741,0.1323345460098114,Octahedron,3.0,3.0,3.0
mp-1222530,LiFe2Rh3O8,1,[6],1.922225018593693,0.2116833305937701,Octahedron,3.0,3.0,3.0
mp-1222686,LiCuRu2(RhO4)2,1,[6],1.9374923579742829,0.1885046949327632,Octahedron,3.0,3.0,3.0
mp-1223163,La4ZnCu(RhO6)2,1,[6],2.051217257346413,-0.0393339612358192,Octahedron,4.0,4.0,4.0
mp-1223214,La2NiRhO6,1,[6],2.007435129392728,0.0713910890840902,Octahedron,4.0,4.0,4.0
mp-1223365,La2CuRhO6,1,[6],2.054723864442358,-0.0156150779434281,Octahedron,4.0,4.0,4.0
mp-1223691,La3ZnCuRh2PbO12,1,[6],1.9814363482431632,0.1427721060761672,Octahedron,4.0,4.0,4.0
mp-1227404,Ca2IrRhO6,1,[6],1.8317035559814272,0.478395571397742,Octahedron,4.0,4.0,4.0
mp-1227633,Be3Bi(RhO2)9,1,[6],1.855055964852522,0.323566080797297,Octahedron,3.0,3.0,3.0
mp-1228344,Ba6Ho2Al2Rh2O15,1,[5],1.353606683155263,1.3710592633666514,Square pyramid,3.0,3.0,3.0
mp-1228749,AsRhO4,1,[6],1.9531559499449955,0.1062888744552566,Octahedron,3.0,3.0,3.0
mp-18444,Sr3CuRhO6,1,[6],2.008564959189288,0.0950738402185279,Octahedron,4.0,4.0,4.0
