material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Rh_wyckoff,num_Rh_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10320,La2MgRhO6,2.00504699007358,0.0721576065492159,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Rh,0.0,True,6,6,2.0282021546999442,2.038494744665445,2.0344403122307546,0.004476668666247309,0.010292589965500643,32.26264380075542,13.966253561284098,6.232050604545373,52.05700826288907,6,1.0,1,Octahedron
mp-10320,La2MgRhO6,2.00504699007358,0.0721576065492159,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Rh,0.0,True,7,6,2.028202154699945,2.038494744665445,2.0344403122307546,0.004476668666247237,0.010292589965499754,51.79422712780994,34.51518939287819,11.692999968837366,110.6856727162061,6,1.0,2,Octahedron
mp-10321,La2ZnRhO6,2.001700133132549,0.0991553336719765,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Rh,0.0,True,6,6,2.0335194576985844,2.0492304272458823,2.04209194927388,0.00649363469303339,0.015710969547297893,32.24899733214394,13.885689311919347,6.206732193989018,52.130010984246596,6,1.0,1,Octahedron
mp-10321,La2ZnRhO6,2.001700133132549,0.0991553336719765,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Rh,0.0,True,7,6,2.033519457698585,2.0492304272458823,2.0420919492738796,0.006493634693033081,0.01571096954729745,52.21497159583899,34.34747743158718,11.8235326465388,110.71606934194685,6,1.0,2,Octahedron
mp-1077875,Sr2RhO4,2.3508937169077613,-0.9211353311737436,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Rh,0.0,True,2,6,1.9412748299999993,2.04566936127611,1.9760742920920367,0.049211145382370584,0.10439453127611076,68.19081966453707,30.94742248436868,0.0,90.00004997477785,2,0.3333333333333333,1,Octahedron
mp-1078659,CaRhO3,1.7369866663374798,0.6655789610980617,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Rh,0.0,True,2,6,1.9688956808851235,2.0266352838531807,2.007377727886016,0.02721091973646646,0.057739602968057246,49.15296546741154,26.960855065177395,8.537736462515939e-07,91.50227833264127,6,1.0,1,Octahedron
mp-1078659,CaRhO3,1.7369866663374798,0.6655789610980617,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Rh,0.0,True,3,6,1.9688613184859562,2.0266260105812512,2.007361277958178,0.027223585083155616,0.057764692095295,43.326745234546024,24.346762573400984,0.0,74.43454420566745,6,1.0,2,Octahedron
mp-1173251,Sr2RhO4,2.3067902699769047,-0.6627277061620424,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Rh,0.0,True,8,6,2.003654906740542,2.080094627601056,2.0316908406256493,0.034331142994756286,0.0764397208605141,38.690089307079425,33.53988782396433,7.447847933991926,94.49544063833477,6,1.0,1,Octahedron
mp-1173251,Sr2RhO4,2.3067902699769047,-0.6627277061620424,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Rh,0.0,True,9,6,2.003654961651074,2.0800946337717976,2.031690839231064,0.03433114520866045,0.07643967212072367,90.41776802635667,32.815120148596314,40.90811591470318,179.4605300706958,6,1.0,2,Octahedron
mp-1173251,Sr2RhO4,2.3067902699769047,-0.6627277061620424,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Rh,0.0,True,10,6,2.003654961651072,2.080094633771798,2.0316908392310635,0.034331145208660756,0.07643967212072589,81.41674166609378,40.75001261004554,8.699613368178799,179.41576833631356,6,1.0,3,Octahedron
