material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge
mp-1025237,Ba2RuO4,2.2034665095305326,-0.441459954234274,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1079192,Sr2GdRuO6,1.9812126130571024,-0.0055178319430683,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ru,0.0,True
mp-1079352,SrRuO3,1.4101477606296275,1.5452085364337027,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1104173,Sr2GdCu2RuO8,2.1589075330041494,-1.0623542467389424,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1147774,Ba2NiRuO6,1.7420402117559743,1.3552438785406928,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ru,0.0,True
mp-1173178,SrLaCuRuO6,1.9771116032951863,0.0545368390409771,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1173198,Sr6La4Zn3(RuO10)2,2.2305818787482865,-1.3956781282242152,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1173214,Sr4La2Mg(RuO6)2,2.399417434406524,-1.0202182769813788,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ru,0.0,True
mp-1173222,Sr3LaCuRuO8,1.823965473236586,0.9645335205340988,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1173238,Sr3La3Zn2RuO12,2.14928986005239,-0.8906160874703062,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1173266,Sr2La2MgRuO8,2.32612702771877,-0.7918140584216582,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Ru,0.0,True
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Ru,1.0,False
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Ru,1.0,False
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True
mp-1173638,Sr10Cu(RuO5)4,2.22528424594552,-0.6247584247540534,[6.0],4.0,4.0,4.0,Octahedron,4h,1,6.0,Ru,0.0,True
mp-1188108,Sr2DyRuO6,1.9851002423825377,0.0233961471844472,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-11892,NaNd2RuO6,1.9748795376794048,0.0596383343625265,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True
mp-1190489,LaTb2RuO7,1.9658526582870115,0.0813685528442739,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1191047,Tb3RuO7,1.9413350217970848,0.0208215991131931,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,4c,1,6.0,Ru,1.0,False
mp-1194240,Sr2GdCu2RuO8,1.6853581876176855,1.6690155773446012,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1c, 2i",1,6.0,Ru,1.0,False
mp-1197440,SrZnRu5O11,2.026331501384027,0.0170263819604571,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"12i, 4e",1,6.0,Ru,1.0,False
mp-1197440,SrZnRu5O11,2.026331501384027,0.0170263819604571,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"12i, 4e",1,6.0,Ru,1.0,False
