material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-683887,Ba5Na2Ru3O14,3,"[5, 6]",1.8976866045443141,0.2998471591632627,"Square pyramid, Octahedron",4.666666666666667,4.0,5.0
mp-684802,Sr8La3(RuO7)3,3,[6],1.9566407781242965,0.0301054552677348,Octahedron,5.333333333333333,5.0,6.0
mp-1173476,Sr18Fe6Ru3O34,2,[6],2.01642238333896,-0.100160961691998,no_data,4.5,4.0,5.0
mp-1193175,Na(RuO2)2,2,[6],2.0409532489013684,-0.0407258509401773,Octahedron,3.5,3.0,4.0
mp-1196247,Ba4Sm(RuO4)3,2,[6],1.974600887014732,0.1215596285264132,Octahedron,4.5,4.0,5.0
mp-1197440,SrZnRu5O11,2,[6],2.026331501384027,0.0170263819604571,Octahedron,3.5,3.0,4.0
mp-1198431,Ba3NaRu2O9,2,[6],1.914436436620584,0.5722536630949955,Octahedron,5.5,5.0,6.0
mp-1201246,NaLi2(RuO2)6,2,[6],2.023933141066672,0.0433250101766123,Octahedron,3.5,3.0,4.0
mp-1202499,BaZnRu5O11,2,[6],2.0237467058410568,0.0268525289541904,Octahedron,3.5,3.0,4.0
mp-1211129,LiP4(RuO7)2,2,[6],1.9512613380506447,0.137533713338641,Octahedron,3.5,3.0,4.0
mp-1213434,CuP4(RuO7)2,2,[6],1.9539079889361384,0.1460565912293195,Octahedron,3.5,3.0,4.0
mp-1214370,BaLiRu5O11,2,[6],1.9991403490195,0.0527283934260117,Octahedron,3.5,3.0,4.0
mp-1214498,Ca3Nd8(RuO6)4,2,[6],2.032928914509489,-0.0607957570952499,Octahedron,4.5,4.0,5.0
mp-1214781,Ba4Nd(RuO4)3,2,[6],1.9819706206196943,0.0973267860611096,Octahedron,4.5,4.0,5.0
mp-1214930,Ba5AlRu2O11,2,[6],1.9522557747421945,0.2209025637428115,Octahedron,4.5,4.0,5.0
mp-1215053,Ba4La(RuO4)3,2,[6],1.9618891748181848,0.1581449160779262,Octahedron,4.5,4.0,5.0
mp-1215133,Ba5GaRu2O11,2,[6],1.9467193538287928,0.2401784854528333,Octahedron,4.5,4.0,5.0
mp-1218911,Sr10Mn(RuO5)4,2,[6],2.041584622349098,-0.0101676085030853,Octahedron,4.5,4.0,5.0
mp-1220813,NaLi2(RuO2)6,2,[6],2.0156221579347737,0.0472503999328143,no_data,3.5,3.0,4.0
mp-1220996,NaP4(RuO7)2,2,[6],1.9880659064665185,0.0734452875404954,Octahedron,3.5,3.0,4.0
mp-1223542,KLi2(RuO2)6,2,[6],2.022489071512191,0.041607827701988,Octahedron,3.5,3.0,4.0
mp-1228400,Ba3FeRu2O9,2,[6],2.0005583853936506,-0.0011818848128632,Octahedron,4.5,4.0,5.0
mp-1228911,Ba10Ru3W(Cl2O9)2,2,[6],1.911446999604016,0.4099605096578448,Octahedron,4.5,4.0,5.0
mp-1229142,Ba5Na2Ru3O14,2,"[5, 6]",1.9361623700539308,0.4268546211741554,"Octahedron, Trigonal bipyramid",5.5,5.0,6.0
mp-1229333,Ba20Ga5Ru7O44,2,[6],1.943760928954556,0.266971565665156,Octahedron,4.5,4.0,5.0
mp-29683,Sr2Ru3O10,2,[6],1.9203638636053888,0.2301419467477525,Octahedron,5.5,5.0,6.0
mp-554060,Na3Pr14(RuO6)6,2,[6],2.0326107997070952,-0.0691202079167789,Octahedron,4.5,4.0,5.0
mp-554143,Ba7Ru4Cl2O15,2,[6],1.9350384857035248,0.2600419777850183,Octahedron,4.5,4.0,5.0
mp-555258,Ba3NaRu2O9,2,[6],1.9146179398651315,0.5721596812026913,Octahedron,5.5,5.0,6.0
mp-555804,Na3Nd14(RuO6)6,2,[6],2.029540652653818,-0.0662228359015596,Octahedron,4.5,4.0,5.0
mp-556877,Ba7Ru4Br2O15,2,[6],1.9269294073577488,0.290129378458911,Octahedron,4.5,4.0,5.0
