CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
4.0,Tetrahedron,6.0,20,6,1.7642606574272393,1.7805826360148707,0.010632742746651014,0.425,1.0
4.0,"Tetrahedron, Trigonal bipyramid",5.0,4,1,1.7933478411263895,1.8145511569516701,0.012405566692400623,0.0,1.0
5.0,"Octahedron, Trigonal bipyramid",5.5,2,1,1.8203942139584184,1.8889359021385734,0.0696806574298364,0.8,1.0
5.0,Square pyramid,2.5,1,1,,,,,1.0
5.0,"Square pyramid, Octahedron",4.666666666666667,2,1,1.8257989843864295,1.8993647793515331,0.03680390835962428,1.0,1.0
5.0,"Tetrahedron, Trigonal bipyramid",5.0,4,1,1.8250790573374367,1.8796998290458027,0.06302569141223202,0.0,1.0
5.0,Trigonal bipyramid,6.0,18,3,1.7841493655496876,1.8911453613220794,0.12090618228857762,0.8,1.0
6.0,Octahedron,4.5,486,35,1.953509151010545,2.0068175822140306,0.04282703210583989,0.9348422496570644,0.31952662721893493
6.0,Octahedron,3.5,362,12,1.997844453114663,2.0295920840086965,0.022447688188898238,1.0,0.23800131492439186
6.0,Octahedron,5.0,352,125,1.9399328846208872,1.98920186543468,0.04579639316122972,0.9659090909090909,0.2314266929651545
6.0,Octahedron,4.0,181,52,1.9720305352932437,2.0126717440183546,0.03698621106316669,0.8950276243093923,0.11900065746219593
6.0,Octahedron,5.5,94,4,1.8764174848794464,1.9687584008811445,0.08388110200799308,0.9290780141843971,0.06180144641683103
6.0,Octahedron,3.75,12,3,1.9283030664736494,2.005911322522653,0.047469025368102914,1.0,0.007889546351084813
6.0,Octahedron,4.33,12,1,1.9836021116894145,1.999642848350488,0.014606160690380475,1.0,0.007889546351084813
6.0,Octahedron,5.333333333333333,9,1,1.9271929614702767,1.9603448232069798,0.023441202172009956,0.9444444444444444,0.005917159763313609
6.0,Octahedron,3.0,4,1,2.0641707142146055,2.0866814485212974,0.016036077008048898,1.0,0.0026298487836949377
6.0,Octahedron,5.75,4,1,1.8811714757764249,1.977041845618091,0.09119585011210052,1.0,0.0026298487836949377
6.0,Octahedron,4.67,3,1,1.9597130180157165,2.006275833588077,0.046560955903501844,1.0,0.0019723865877712033
6.0,Octahedron,2.0,2,1,2.123921917439085,2.1463461511030415,0.01628740360685576,1.0,0.0013149243918474688
6.0,"Octahedron, Trigonal bipyramid",5.5,4,1,1.8922860202431373,2.002369697522331,0.09488720602104399,1.0,1.0
6.0,"Square pyramid, Octahedron",4.666666666666667,8,1,1.8841212601427166,1.989435189956313,0.09568356311589223,1.0,1.0
6.0,no_data,4.5,54,4,1.9549150486700493,1.9982840339288985,0.03639181257446565,0.9629629629629629,0.7012987012987013
6.0,no_data,3.5,12,1,2.0097763793031374,2.0424582990661864,0.0301690637104382,1.0,0.15584415584415584
6.0,no_data,5.0,11,3,1.915631300055125,1.9930741541099841,0.07744166242238494,1.0,0.14285714285714285
