CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
4.0,Tetrahedron,20,6,1.7642606574272393,1.7805826360148707,0.010632742746651014,0.425,0.8333333333333334
4.0,"Tetrahedron, Trigonal bipyramid",4,1,1.7933478411263895,1.8145511569516701,0.012405566692400623,0.0,0.16666666666666666
5.0,Trigonal bipyramid,18,3,1.7841493655496876,1.8911453613220794,0.12090618228857762,0.8,0.6666666666666666
5.0,"Tetrahedron, Trigonal bipyramid",4,1,1.8250790573374367,1.8796998290458027,0.06302569141223202,0.0,0.14814814814814814
5.0,"Octahedron, Trigonal bipyramid",2,1,1.8203942139584184,1.8889359021385734,0.0696806574298364,0.8,0.07407407407407407
5.0,"Square pyramid, Octahedron",2,1,1.8257989843864295,1.8993647793515331,0.03680390835962428,1.0,0.07407407407407407
5.0,Square pyramid,1,1,,,,,0.037037037037037035
6.0,Octahedron,1521,237,1.958578721704148,2.0064811162322105,0.04023452817055321,0.9540872233179926,0.94472049689441
6.0,no_data,77,8,1.9578529023432036,2.004424066443696,0.04128629779470958,0.974025974025974,0.04782608695652174
6.0,"Square pyramid, Octahedron",8,1,1.8841212601427166,1.989435189956313,0.09568356311589223,1.0,0.004968944099378882
6.0,"Octahedron, Trigonal bipyramid",4,1,1.8922860202431373,2.002369697522331,0.09488720602104399,1.0,0.002484472049689441
