material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-760205,Ba16S16O59,3,"[3, 4]",1.4556381605820377,-0.1401134586012055,"Tetrahedron, Triangular non-coplanar",5.333333333333333,5.0,6.0
mp-1199848,Dy2H4(SO4)3,2,"[3, 4]",1.491881989473947,-0.1259663840518219,"Tetrahedron, Triangular non-coplanar",4.5,4.0,5.0
mp-1202275,Mn5H8S3O16,2,"[3, 4]",1.528336945521867,-0.0077836284835246,"Tetrahedron, Triangular non-coplanar",4.0,4.0,4.0
mp-1224753,K5H3(S2O9)2,2,[4],1.9430675710239076,1.0824540537882177,Tetrahedron,6.0,6.0,6.0
mp-760060,Sb(SO4)2,2,[4],1.5406888015366234,0.1404044567302746,"Tetrahedron, Octahedron",5.5,5.0,6.0
mp-1005754,SmHSO5,1,[4],1.619039179878159,0.3274049883959996,"Tetrahedron, Tricapped triangular prism (three square-face caps)",6.0,6.0,6.0
mp-1019509,B2S2O9,1,[4],1.5840887435877755,0.2671930047346723,Tetrahedron,6.0,6.0,6.0
mp-1019539,BaB2S3O13,1,[4],1.6355114096379553,0.355422982673116,Tetrahedron,6.0,6.0,6.0
mp-1019548,BaGe(S2O7)3,1,[4],1.6244714591956566,0.3476374573962814,Tetrahedron,6.0,6.0,6.0
mp-1019557,BaS4O13,1,[4],1.6651269767842336,0.4265292681178486,Tetrahedron,6.0,6.0,6.0
mp-1019575,Ca4Al6SO16,1,[4],1.5738937804754252,0.2028525755474085,Tetrahedron,6.0,6.0,6.0
mp-1019581,CaS3O10,1,[4],1.6625569917048328,0.3983948907787277,Tetrahedron,6.0,6.0,6.0
mp-1019604,Cs2B2S3O13,1,[4],1.7221298083999357,0.55347849219824,Tetrahedron,6.0,6.0,6.0
mp-1019717,CsBS3O11,1,[4],1.642054501134116,0.3501137893680776,Tetrahedron,6.0,6.0,6.0
mp-1019775,K2Ge(S2O7)3,1,[4],1.6934553220380053,0.4656398885487774,Tetrahedron,6.0,6.0,6.0
mp-1019785,K2Si(S2O7)3,1,[4],1.6531595993448531,0.414863203199818,"Tetrahedron, Octahedron",6.0,6.0,6.0
mp-1019789,K3B(SO4)3,1,[4],1.760828040375186,0.6861893040399196,Tetrahedron,6.0,6.0,6.0
mp-1019797,K5B(SO4)4,1,[4],1.7856043606931884,0.7051454000414168,Tetrahedron,6.0,6.0,6.0
mp-1019804,KB(SO4)2,1,[4],1.640937189183937,0.3602031947771082,Tetrahedron,6.0,6.0,6.0
mp-1019805,KB(S2O7)2,1,[4],1.646863394488688,0.3521611514103967,Tetrahedron,6.0,6.0,6.0
mp-1020013,Li2S2O7,1,[4],1.6669937854766776,0.4145347720529053,Tetrahedron,6.0,6.0,6.0
mp-1020018,Li5B(SO4)4,1,[4],1.6581514649538835,0.4132322043396675,Tetrahedron,6.0,6.0,6.0
mp-1020060,LiB(S2O7)2,1,[4],1.642805948325846,0.3480447482855086,Tetrahedron,6.0,6.0,6.0
mp-1020106,LiB(SO4)2,1,[4],1.614336055355081,0.3076812542057674,Tetrahedron,6.0,6.0,6.0
mp-1020122,MgS2O7,1,[4],1.633783665443418,0.3855066661056675,Tetrahedron,6.0,6.0,6.0
mp-1020145,Na2Ge(S2O7)3,1,[4],1.650238497475237,0.3659787766953978,Tetrahedron,6.0,6.0,6.0
mp-1020159,Na2Si(S2O7)3,1,[4],1.6480037288131115,0.3640979821138693,"Tetrahedron, Octahedron",6.0,6.0,6.0
mp-1020599,Na5B(SO4)4,1,[4],1.7327141659778975,0.5828110671652084,Tetrahedron,6.0,6.0,6.0
mp-1020612,Sr2Si(S2O7)4,1,[4],1.6567853120871563,0.3884619725799886,"Tetrahedron, Octahedron, Tricapped triangular prism (three square-face caps)",6.0,6.0,6.0
mp-1020655,NaB(S2O7)2,1,[4],1.6473150403486652,0.3550502674415404,Tetrahedron,6.0,6.0,6.0
