CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
2.0,Angular,4.0,12,1,1.4490739330624667,1.450548377265963,0.001474444203496313,0.8333333333333334,1.0
3.0,Tetrahedron,6.0,77,13,1.4406721336243116,1.4621463121738147,0.023178066962988825,1.0,1.0
3.0,"Tetrahedron, Octahedron",6.0,10,2,1.4093147269925883,1.4625834689070727,0.056468716558672014,1.0,1.0
3.0,"Tetrahedron, Triangular non-coplanar",5.333333333333333,5,1,1.5369362677570215,1.5471794251163145,0.007465223799287895,0.0,0.5
3.0,"Tetrahedron, Triangular non-coplanar",4.0,4,1,1.5441052373766924,1.554090600918046,0.007060718272704087,1.0,0.4
3.0,"Tetrahedron, Triangular non-coplanar",4.5,1,1,,,,,0.1
3.0,Triangular non-coplanar,4.0,33,9,1.5166299883144114,1.526696382547142,0.009828740753972817,0.6161616161616161,0.8461538461538461
3.0,Triangular non-coplanar,5.0,4,4,,,,,0.10256410256410256
3.0,Triangular non-coplanar,6.0,2,2,,,,,0.05128205128205128
4.0,Tetrahedron,6.0,12001,1382,1.4633630905652117,1.487141073875149,0.021728520208941414,0.9511694190627882,0.9996668054977093
4.0,Tetrahedron,5.0,4,2,1.4690938670794362,1.4886527761591666,0.01955731038285076,1.0,0.0003331945022907122
4.0,"Tetrahedron, Bicapped square prism (adjacent faces)",6.0,4,1,1.4590443855185413,1.4761144429625843,0.01154708628565187,0.25,1.0
4.0,"Tetrahedron, Cuboctahedron",6.0,18,1,1.4663649185518002,1.4888672777867165,0.013603964823541745,1.0,1.0
4.0,"Tetrahedron, Dodecahedron with triangular faces - p2345 plane normalized",6.0,26,4,1.4595995237164543,1.489508769659812,0.032024763370171426,0.8461538461538461,1.0
4.0,"Tetrahedron, Octahedron",6.0,2205,188,1.4631472401353862,1.4848002051617686,0.018810317047453944,0.9945380063723259,0.9856951274027715
4.0,"Tetrahedron, Octahedron",5.5,32,1,1.4285861504553925,1.5012097173066752,0.04226469729171702,0.75,0.014304872597228431
4.0,"Tetrahedron, Octahedron, Tricapped triangular prism (three square-face caps)",6.0,4,1,1.4428258245119419,1.5238887161441221,0.1376444019579084,0.75,1.0
4.0,"Tetrahedron, Pentagonal bipyramid",6.0,2,1,1.479004809350915,1.4964678169391,0.0117266398549427,0.75,1.0
4.0,"Tetrahedron, Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",6.0,1,1,,,,,1.0
4.0,"Tetrahedron, See-saw",6.0,16,3,1.4538781178218392,1.4950493741968516,0.037809061007519906,0.5625,1.0
4.0,"Tetrahedron, Square plane",6.0,7,1,1.4942886730075826,1.506759910912827,0.012759840262304348,1.0,1.0
4.0,"Tetrahedron, Square pyramid",6.0,32,8,1.467674967957495,1.4962028228522444,0.02599344231499772,0.640625,1.0
4.0,"Tetrahedron, Square pyramid, Octahedron",6.0,16,3,1.4695629542856492,1.4982517105539086,0.026673670369970634,0.53125,1.0
4.0,"Tetrahedron, Square pyramid, Pentagonal pyramid",6.0,8,2,1.4748117690448899,1.4950450745454138,0.013703946659069413,0.75,1.0
4.0,"Tetrahedron, Square pyramid, See-saw",6.0,18,5,1.4729353264193077,1.4928694233603823,0.016833750434444558,0.7222222222222222,1.0
4.0,"Tetrahedron, Square pyramid, Square-face capped trigonal prism",6.0,1,1,,,,,1.0
4.0,"Tetrahedron, Square-face capped square prism",6.0,4,1,1.4700787892754703,1.492462773749821,0.0156857936753258,0.25,1.0
4.0,"Tetrahedron, Square-face capped trigonal prism, Octahedron",6.0,24,1,1.4423242722396648,1.4944564252273567,0.042684802962906165,0.9166666666666666,1.0
4.0,"Tetrahedron, Square-face monocapped antiprism",6.0,6,1,1.4522297897827998,1.4714724833258535,0.01840376777987256,1.0,1.0
4.0,"Tetrahedron, Triangular non-coplanar",5.333333333333333,22,1,1.47398828695282,1.4940189625379345,0.01340079767061057,0.0,0.6111111111111112
4.0,"Tetrahedron, Triangular non-coplanar",4.5,6,1,1.5186567602794723,1.8080043094567688,0.4769765139702092,1.0,0.16666666666666666
4.0,"Tetrahedron, Triangular non-coplanar",6.0,6,1,1.4724880317390767,1.478107386035575,0.003257422694715646,1.0,0.16666666666666666
4.0,"Tetrahedron, Triangular non-coplanar",4.0,2,1,1.487556591924004,1.493722693373452,0.00814614633674188,1.0,0.05555555555555555
4.0,"Tetrahedron, Tricapped triangular prism (three square-face caps)",6.0,24,5,1.4604468497562095,1.4943608612083628,0.027575409459226582,0.8863636363636364,1.0
4.0,"Tetrahedron, Trigonal prism",6.0,4,2,1.4597262990715,1.4869482284028595,0.0157165882275918,0.75,1.0
4.0,no_data,6.0,1048,85,1.4674252364785805,1.4855923214863718,0.016353633840902777,0.98565965583174,1.0
