CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
2.0,Angular,12,1,1.4490739330624667,1.450548377265963,0.001474444203496313,0.8333333333333334,1.0
3.0,Tetrahedron,77,13,1.4406721336243116,1.4621463121738147,0.023178066962988825,1.0,0.5661764705882353
3.0,Triangular non-coplanar,39,15,1.5166299883144114,1.526696382547142,0.009828740753972817,0.6161616161616161,0.2867647058823529
3.0,"Tetrahedron, Octahedron",10,2,1.4093147269925883,1.4625834689070727,0.056468716558672014,1.0,0.07352941176470588
3.0,"Tetrahedron, Triangular non-coplanar",10,3,1.5401224764768753,1.5502510588059728,0.007285443565250648,0.4444444444444444,0.07352941176470588
4.0,Tetrahedron,12005,1384,1.4633650115495458,1.4871415806051527,0.021727792408781827,0.9511857873124948,0.7724728138472428
4.0,"Tetrahedron, Octahedron",2237,189,1.4626510737514653,1.4850357836223504,0.01914703313889244,0.9910273665320771,0.1439418312849881
4.0,no_data,1048,85,1.4674252364785805,1.4855923214863718,0.016353633840902777,0.98565965583174,0.06743452802264976
4.0,"Tetrahedron, Triangular non-coplanar",36,4,1.4819367846922595,1.5436814648759867,0.08868092948379071,0.3888888888888889,0.0023164532526864425
4.0,"Tetrahedron, Square pyramid",32,8,1.467674967957495,1.4962028228522444,0.02599344231499772,0.640625,0.002059069557943504
4.0,"Tetrahedron, Dodecahedron with triangular faces - p2345 plane normalized",26,4,1.4595995237164543,1.489508769659812,0.032024763370171426,0.8461538461538461,0.0016729940158290973
4.0,"Tetrahedron, Square-face capped trigonal prism, Octahedron",24,1,1.4423242722396648,1.4944564252273567,0.042684802962906165,0.9166666666666666,0.0015443021684576283
4.0,"Tetrahedron, Tricapped triangular prism (three square-face caps)",24,5,1.4604468497562095,1.4943608612083628,0.027575409459226582,0.8863636363636364,0.0015443021684576283
4.0,"Tetrahedron, Cuboctahedron",18,1,1.4663649185518002,1.4888672777867165,0.013603964823541745,1.0,0.0011582266263432213
4.0,"Tetrahedron, Square pyramid, See-saw",18,5,1.4729353264193077,1.4928694233603823,0.016833750434444558,0.7222222222222222,0.0011582266263432213
4.0,"Tetrahedron, See-saw",16,3,1.4538781178218392,1.4950493741968516,0.037809061007519906,0.5625,0.001029534778971752
4.0,"Tetrahedron, Square pyramid, Octahedron",16,3,1.4695629542856492,1.4982517105539086,0.026673670369970634,0.53125,0.001029534778971752
4.0,"Tetrahedron, Square pyramid, Pentagonal pyramid",8,2,1.4748117690448899,1.4950450745454138,0.013703946659069413,0.75,0.000514767389485876
4.0,"Tetrahedron, Square plane",7,1,1.4942886730075826,1.506759910912827,0.012759840262304348,1.0,0.00045042146580014157
4.0,"Tetrahedron, Square-face monocapped antiprism",6,1,1.4522297897827998,1.4714724833258535,0.01840376777987256,1.0,0.00038607554211440707
4.0,"Tetrahedron, Bicapped square prism (adjacent faces)",4,1,1.4590443855185413,1.4761144429625843,0.01154708628565187,0.25,0.000257383694742938
4.0,"Tetrahedron, Octahedron, Tricapped triangular prism (three square-face caps)",4,1,1.4428258245119419,1.5238887161441221,0.1376444019579084,0.75,0.000257383694742938
4.0,"Tetrahedron, Square-face capped square prism",4,1,1.4700787892754703,1.492462773749821,0.0156857936753258,0.25,0.000257383694742938
4.0,"Tetrahedron, Trigonal prism",4,2,1.4597262990715,1.4869482284028595,0.0157165882275918,0.75,0.000257383694742938
4.0,"Tetrahedron, Pentagonal bipyramid",2,1,1.479004809350915,1.4964678169391,0.0117266398549427,0.75,0.000128691847371469
4.0,"Tetrahedron, Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",1,1,,,,,6.43459236857345e-05
4.0,"Tetrahedron, Square pyramid, Square-face capped trigonal prism",1,1,,,,,6.43459236857345e-05
