CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
2.0,4.0,12,1,1.4490739330624667,1.450548377265963,0.001474444203496313,1.0
3.0,6.0,89,17,1.4370259235508553,1.4621971443521005,0.027049072729928732,0.6544117647058824
3.0,4.0,37,10,1.5196002855103337,1.5296579196683207,0.009529495080322144,0.27205882352941174
3.0,5.333333333333333,5,1,1.5369362677570215,1.5471794251163145,0.007465223799287895,0.03676470588235294
3.0,5.0,4,4,,,,0.029411764705882353
3.0,4.5,1,1,,,,0.007352941176470588
4.0,6.0,15475,1698,1.4636009087838107,1.4867873110800423,0.021026808911505327,0.9957531690367415
4.0,5.5,32,1,1.4285861504553925,1.5012097173066752,0.04226469729171702,0.002059069557943504
4.0,5.333333333333333,22,1,1.47398828695282,1.4940189625379345,0.01340079767061057,0.0014156103210861593
4.0,4.5,6,1,1.5186567602794723,1.8080043094567688,0.4769765139702092,0.00038607554211440707
4.0,5.0,4,2,1.4690938670794362,1.4886527761591666,0.01955731038285076,0.000257383694742938
4.0,4.0,2,1,1.487556591924004,1.493722693373452,0.00814614633674188,0.000128691847371469
