material_id,status,file_path,error,updated_at
mp-1039675,downloaded,out/12/Sb/structures_cif/mp-1039675.cif,,2026-04-13T17:53:41
mp-1040012,downloaded,out/12/Sb/structures_cif/mp-1040012.cif,,2026-04-13T17:53:41
mp-1040035,downloaded,out/12/Sb/structures_cif/mp-1040035.cif,,2026-04-13T17:53:41
mp-1041730,downloaded,out/12/Sb/structures_cif/mp-1041730.cif,,2026-04-13T17:53:41
mp-1043556,downloaded,out/12/Sb/structures_cif/mp-1043556.cif,,2026-04-13T17:53:42
mp-1043864,downloaded,out/12/Sb/structures_cif/mp-1043864.cif,,2026-04-13T17:53:42
mp-1044552,downloaded,out/12/Sb/structures_cif/mp-1044552.cif,,2026-04-13T17:53:42
mp-1044564,downloaded,out/12/Sb/structures_cif/mp-1044564.cif,,2026-04-13T17:53:42
mp-1044935,downloaded,out/12/Sb/structures_cif/mp-1044935.cif,,2026-04-13T17:53:42
mp-1045606,downloaded,out/12/Sb/structures_cif/mp-1045606.cif,,2026-04-13T17:53:42
mp-10543,downloaded,out/12/Sb/structures_cif/mp-10543.cif,,2026-04-13T17:53:42
mp-1078392,downloaded,out/12/Sb/structures_cif/mp-1078392.cif,,2026-04-13T17:53:43
mp-1079670,downloaded,out/12/Sb/structures_cif/mp-1079670.cif,,2026-04-13T17:53:43
mp-1100902,downloaded,out/12/Sb/structures_cif/mp-1100902.cif,,2026-04-13T17:53:43
mp-1101682,downloaded,out/12/Sb/structures_cif/mp-1101682.cif,,2026-04-13T17:53:43
mp-1105367,downloaded,out/12/Sb/structures_cif/mp-1105367.cif,,2026-04-13T17:53:43
mp-1105409,downloaded,out/12/Sb/structures_cif/mp-1105409.cif,,2026-04-13T17:53:43
mp-1105510,downloaded,out/12/Sb/structures_cif/mp-1105510.cif,,2026-04-13T17:53:43
mp-1176842,downloaded,out/12/Sb/structures_cif/mp-1176842.cif,,2026-04-13T17:53:44
mp-1177363,downloaded,out/12/Sb/structures_cif/mp-1177363.cif,,2026-04-13T17:53:44
mp-1177866,downloaded,out/12/Sb/structures_cif/mp-1177866.cif,,2026-04-13T17:53:44
mp-1178209,downloaded,out/12/Sb/structures_cif/mp-1178209.cif,,2026-04-13T17:53:44
mp-1189102,downloaded,out/12/Sb/structures_cif/mp-1189102.cif,,2026-04-13T17:53:44
mp-1189105,downloaded,out/12/Sb/structures_cif/mp-1189105.cif,,2026-04-13T17:53:44
mp-1189528,downloaded,out/12/Sb/structures_cif/mp-1189528.cif,,2026-04-13T17:53:44
mp-1189906,downloaded,out/12/Sb/structures_cif/mp-1189906.cif,,2026-04-13T17:53:44
mp-1190199,downloaded,out/12/Sb/structures_cif/mp-1190199.cif,,2026-04-13T17:53:45
mp-1190427,downloaded,out/12/Sb/structures_cif/mp-1190427.cif,,2026-04-13T17:53:45
mp-1190600,downloaded,out/12/Sb/structures_cif/mp-1190600.cif,,2026-04-13T17:53:45
mp-1191110,downloaded,out/12/Sb/structures_cif/mp-1191110.cif,,2026-04-13T17:53:45
mp-1191117,downloaded,out/12/Sb/structures_cif/mp-1191117.cif,,2026-04-13T17:53:45
mp-1191139,downloaded,out/12/Sb/structures_cif/mp-1191139.cif,,2026-04-13T17:53:45
mp-1191378,downloaded,out/12/Sb/structures_cif/mp-1191378.cif,,2026-04-13T17:53:45
mp-1191597,downloaded,out/12/Sb/structures_cif/mp-1191597.cif,,2026-04-13T17:53:46
