material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sb_wyckoff,num_Sb_chemenvs,CN,element,charge_range,is_single_charge
mp-1039675,NaMg30SbO32,1.552831885655025,1.0031906943876954,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Sb,0.0,True
mp-1040012,LiMg30SbO32,2.1373779549363277,0.1275471353910284,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Sb,0.0,True
mp-1040035,LiMg30SbO32,1.8141774598791385,0.6222515627975974,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Sb,0.0,True
mp-1041730,YSb(WO4)2,1.9593674024906351,1.9191375928490335,[6.0],5.0,5.0,5.0,Octahedron,2f,1,6.0,Sb,0.0,True
mp-1043556,SbPO5,1.922624585591272,0.4476218686022206,[6.0],5.0,5.0,5.0,Octahedron,4b,1,6.0,Sb,0.0,True
mp-1043864,CaLaFeSbO6,2.0006866177551816,0.0969861926676524,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Sb,0.0,True
mp-1044552,Al4Co13Si2(SbO14)2,1.9788488340686812,0.2852065352646421,[6.0],5.0,5.0,5.0,Octahedron,2g,1,6.0,Sb,0.0,True
mp-1044564,Al4Si2Ni13(SbO14)2,1.9718423276238792,0.3396600416043303,[6.0],5.0,5.0,5.0,Octahedron,2g,1,6.0,Sb,0.0,True
mp-1044935,ZnSb2P2O9,1.9784937865153025,0.5676322755872837,"[3.0, 5.0]",3.0,3.0,3.0,"Square pyramid, Triangular non-coplanar",4a,2,3.0,Sb,0.0,True
mp-1044935,ZnSb2P2O9,1.9784937865153025,0.5676322755872837,"[3.0, 5.0]",3.0,3.0,3.0,"Square pyramid, Triangular non-coplanar",4a,2,5.0,Sb,0.0,True
mp-1045606,Sb(PO3)4,2.115940617689083,0.1401286214922704,[6.0],5.0,5.0,5.0,Octahedron,"1b, 1c",1,6.0,Sb,0.0,True
mp-10543,K3SbO4,1.8758469693958673,0.9262733976826968,[6.0],5.0,5.0,5.0,Octahedron,2f,1,6.0,Sb,0.0,True
mp-1078392,YSb(PbO3)2,1.9994552573993536,0.0866936718267074,[6.0],5.0,5.0,5.0,Octahedron,1d,1,6.0,Sb,0.0,True
