material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-759602,Sb4O5F2,6,"[2, 3, 4, 5]",2.00399554203551,0.4373482751318248,"Square non-coplanar, See-saw, Triangular non-coplanar, Trigonal prism, Square pyramid, Octahedron",3.0,3.0,3.0
mp-1196009,Mn3Sb5(IO3)3,4,"[3, 4, 5]",1.9906608275608764,0.3834758647738176,"Square pyramid, See-saw, Triangular non-coplanar",3.0,3.0,3.0
mp-1199909,Fe3Sb5(IO3)3,4,"[3, 4, 5]",2.024049863564692,0.3616003311160082,"Square pyramid, See-saw, Triangular non-coplanar",3.0,3.0,3.0
mp-1201515,Fe7Sb10(Cl4O9)2,4,"[3, 4, 5]",1.9830058611473504,0.4526820203565441,"Square pyramid, See-saw, Triangular non-coplanar",3.0,3.0,3.0
mp-27111,Li3Sb3(PO4)4,4,"[3, 4, 5, 6]",2.0157169827877985,0.4896048243679944,"Square pyramid, See-saw, Trigonal bipyramid, Octahedron",3.0,3.0,3.0
mp-541240,Sb3O2F5,4,"[0, 1, 3, 4]",2.255058204160367,-0.3425900701634603,"Square pyramid, See-saw",3.0,3.0,3.0
mp-557022,Sb8Cl2O11,4,"[3, 4]",2.0054894688400067,0.2741397455830404,"Square pyramid, See-saw, Triangular non-coplanar",3.0,3.0,3.0
mp-1196004,Re2Sb4O13,3,"[3, 4, 5]",2.029522289435312,0.4831072527644454,"See-saw, Pentagonal plane",3.0,3.0,3.0
mp-1203691,Fe7Sb10(Br4O9)2,3,"[3, 4]",2.026013867020251,0.2856521141498026,"Square pyramid, See-saw, Triangular non-coplanar",3.0,3.0,3.0
mp-29922,Sb5PO10,3,"[3, 4, 5]",2.055287142231119,0.3027546899419469,"Square pyramid, See-saw, Triangular non-coplanar",3.0,3.0,3.0
mp-759707,Sb4O5F2,3,"[2, 3]",2.020154884540924,0.2720048584357138,"See-saw, Pentagonal plane",3.0,3.0,3.0
mp-1044935,ZnSb2P2O9,2,"[3, 5]",1.9784937865153025,0.5676322755872837,"Square pyramid, Triangular non-coplanar",3.0,3.0,3.0
mp-1192820,Mn2Sb3I3O5,2,[3],2.03032907069604,0.0104264366051453,Triangular non-coplanar,3.0,3.0,3.0
mp-1194959,KSb2P(SO6)2,2,"[3, 5]",2.1327144762262047,0.1366737398726808,"Square pyramid, Octahedron",3.0,3.0,3.0
mp-1195172,RbSb2P(SO6)2,2,"[3, 5]",2.1314431662777595,0.1400159592608778,Square pyramid,3.0,3.0,3.0
mp-1196948,CaSb4H6(SO8)2,2,"[3, 4]",2.1201477419378967,0.0734232330257753,"Square pyramid, See-saw",3.0,3.0,3.0
mp-1197996,Sr5(Sb11O19)2,2,"[3, 4]",1.9653245443697496,0.5663765224166948,"See-saw, Triangular non-coplanar",3.0,3.0,3.0
mp-1199546,Sr10Sb16H6Se7O30,2,"[0, 3]",2.0163037643417026,0.3722525420107582,Triangular non-coplanar,3.0,3.0,3.0
mp-1202960,Sb2O3,2,"[3, 4]",2.0031571782937476,0.9788921384924484,"See-saw, Triangular non-coplanar",3.0,3.0,3.0
mp-1207793,Y3Sb5O12,2,"[3, 4]",1.972894938938816,0.4133563907592881,"See-saw, Octahedron",3.0,3.0,3.0
mp-1208503,Tb3Sb5O12,2,"[3, 4]",1.973404049188894,0.417294440731789,"See-saw, Octahedron",3.0,3.0,3.0
