CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,3,4,1.0,3.0
1.0,3,1,0.5,1.5
1.0,5,1,0.5,2.5
2.0,3,7,0.875,2.625
2.0,5,1,0.125,0.625
3.0,3,69,0.9857142857142858,2.9571428571428573
3.0,5,1,0.014285714285714285,0.07142857142857142
4.0,3,69,1.0,3.0
5.0,3,33,0.868421052631579,2.605263157894737
5.0,5,5,0.13157894736842105,0.6578947368421052
6.0,3,39,0.08552631578947369,0.2565789473684211
6.0,4,2,0.0043859649122807015,0.017543859649122806
6.0,5,415,0.9100877192982456,4.550438596491228
7.0,3,2,0.4,1.2000000000000002
7.0,5,3,0.6,3.0
8.0,3,1,1.0,3.0
