CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,5.0,8,1,1.9158814313916546,1.9158814313916546,0.0,1.0,1.0
1.0,"Square pyramid, See-saw",3.0,4,1,1.9774553725603157,1.9774553725603157,0.0,1.0,1.0
2.0,See-saw,3.0,4,1,1.99025627189146,2.0308555884046964,0.040599316513236616,1.0,1.0
2.0,"See-saw, Pentagonal plane",3.0,1,1,,,,,1.0
2.0,"See-saw, Triangular non-coplanar",3.0,8,2,1.9828199832181725,2.0109449499922043,0.02812496677403155,1.0,1.0
2.0,"Square non-coplanar, See-saw, Triangular non-coplanar, Trigonal prism, Square pyramid, Octahedron",3.0,1,1,,,,,1.0
2.0,Square pyramid,3.0,8,2,2.4519551374553608,2.486647050625568,0.0346919131702072,1.0,1.0
2.0,no_data,5.0,12,1,1.955069631425019,1.957629850811341,0.0025602193863218524,1.0,1.0
3.0,See-saw,3.0,8,2,1.9905360189969747,2.0873539309133293,0.12044324897174746,1.0,1.0
3.0,"See-saw, Octahedron",3.0,7,7,,,,,1.0
3.0,"See-saw, Pentagonal plane",3.0,17,2,1.9842249722698142,2.0622720037832227,0.09339375357906127,1.0,1.0
3.0,"See-saw, Triangular non-coplanar",3.0,45,12,2.0101393585243574,2.0462170817955525,0.040393352726773774,1.0,1.0
3.0,"Square non-coplanar, See-saw, Triangular non-coplanar, Trigonal prism, Square pyramid, Octahedron",3.0,8,1,1.9714546047404822,2.043719949087736,0.09022655829041623,1.0,1.0
3.0,Square pyramid,3.0,1,1,,,,,1.0
3.0,"Square pyramid, Octahedron",3.0,1,1,,,,,1.0
3.0,"Square pyramid, See-saw",3.0,13,3,2.231819190659028,2.459756507808018,0.2069036320273152,1.0,1.0
3.0,"Square pyramid, See-saw, Triangular non-coplanar",3.0,65,6,1.9845830165083616,2.020512540648812,0.03221662010349586,1.0,1.0
3.0,"Square pyramid, See-saw, Trigonal bipyramid, Octahedron",3.0,1,1,,,,,1.0
3.0,"Square pyramid, Triangular non-coplanar",3.0,1,1,,,,,1.0
3.0,Triangular non-coplanar,3.0,118,22,1.9603034157247166,1.9952785626665188,0.033597450080607515,0.7839506172839507,1.0
3.0,"Triangular non-coplanar, Octahedron",4.2,2,1,1.9782794396477157,1.978279565159084,8.881084370189009e-08,1.0,0.6666666666666666
3.0,"Triangular non-coplanar, Octahedron",5.0,1,1,,,,,0.3333333333333333
