CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
2.0,Octahedron,3.0,12,2,2.053855823386848,2.063571267604139,0.009715444217290706,1.0,1.0
3.0,Octahedron,2.6666666666666665,2,1,2.171796984104036,2.2153186213919875,0.0395583159586337,1.0,1.0
4.0,Octahedron,3.0,13,3,2.069810986754343,2.0977920761801374,0.02683054977138941,1.0,0.65
4.0,Octahedron,2.333333333333333,5,1,2.186611591490127,2.2269983958545674,0.036019040277530286,1.0,0.25
4.0,Octahedron,2.6666666666666665,2,1,2.158299602392976,2.185666179739484,0.020877776903546273,1.0,0.1
4.0,"Octahedron, Tetrahedron",3.0,6,2,1.9781011338909937,1.9956951431014207,0.016129806576214895,1.0,1.0
4.0,Tetrahedron,3.0,12,4,1.9632981884290854,2.0074590761674664,0.040682314637183505,0.5416666666666666,1.0
5.0,Octahedron,2.6666666666666665,2,1,2.155984765150361,2.200447788153438,0.03399455189356564,1.0,0.5
5.0,Octahedron,2.333333333333333,1,1,2.1543554853854703,2.1980624978479044,0.03288067088142228,1.0,0.25
5.0,Octahedron,3.0,1,1,2.0311314601049983,2.0832822908777593,0.02607541538638065,0.0,0.25
5.0,Pentagonal bipyramid,3.0,2,1,2.146713598833746,2.2113065146990873,0.05829054863978543,1.0,1.0
5.0,Square pyramid,3.0,3,2,1.9886389013553363,2.093561195620327,0.05246114713249539,0.20000000000000004,1.0
5.0,Trigonal bipyramid,3.0,14,3,2.0487601482093125,2.0634944002937177,0.010223837820976817,0.9142857142857144,1.0
6.0,"Face-capped octahedron, Octahedron",3.0,2,1,2.0997204346915934,2.138868952975801,0.026172385726351378,1.0,1.0
6.0,Octahedron,3.0,2032,366,2.0251945804651115,2.110889060074141,0.061281403835125946,0.9996714309183505,0.9990167158308751
6.0,Octahedron,2.0,2,1,2.1052363524228945,2.1249209362098522,0.02647028411650689,1.0,0.0009832841691248771
6.0,"Octahedron, Pentagonal bipyramid",3.0,1,1,,,,,1.0
6.0,"Octahedron, Square-face capped trigonal prism",3.0,13,5,2.063411520094262,2.1179071076595486,0.0472166171086013,1.0,1.0
6.0,"Octahedron, Square-face capped trigonal prism, Trigonal prism",3.0,1,1,2.075722144023387,2.1070984406723774,0.027617129393747015,1.0,1.0
6.0,"Octahedron, Tetrahedron",3.0,6,2,2.1123809677821423,2.1602511127291613,0.06285698647625977,1.0,1.0
6.0,"Octahedron, Trigonal prism",3.0,12,1,2.0960823252572314,2.1482628276175686,0.0521786655048151,1.0,1.0
6.0,Square-face capped trigonal prism,3.0,3,3,,,,,1.0
6.0,"Square-face capped trigonal prism, Trigonal prism, Pentagonal bipyramid",3.0,1,1,,,,,1.0
6.0,Trigonal prism,3.0,16,7,2.089237947870685,2.138731128725682,0.042883837511943634,1.0,0.8888888888888888
6.0,Trigonal prism,2.0,2,1,2.023035459196059,2.1215405089140185,0.0762622723898356,1.0,0.1111111111111111
6.0,no_data,3.0,8,1,2.0514901623078643,2.110406819861069,0.04820051562986472,1.0,1.0
7.0,"Cube, Square-face capped trigonal prism",3.0,3,1,2.0782884890682936,2.207467000817737,0.0651650546453168,1.0,1.0
7.0,Face-capped octahedron,3.0,15,3,2.15263946383484,2.19873898413627,0.06736290544811313,1.0,1.0
7.0,"Face-capped octahedron, Cube, Square-face capped trigonal prism",3.0,7,1,2.113071992805509,2.1940627701543534,0.06152484753302177,1.0,1.0
7.0,"Face-capped octahedron, Octahedron",3.0,3,1,2.132523345762666,2.2071503251842732,0.059607999620453454,1.0,1.0
7.0,"Octahedron, Pentagonal bipyramid",3.0,8,1,2.0543937925317306,2.226995247248992,0.201420662855139,1.0,1.0
7.0,"Octahedron, Square-face capped trigonal prism",3.0,50,5,2.081507771598229,2.231951589404799,0.18133361060620395,1.0,1.0
7.0,"Octahedron, Square-face capped trigonal prism, Trigonal prism",3.0,21,1,2.0668130242967853,2.225325660555036,0.1941271978557595,1.0,1.0
7.0,Pentagonal bipyramid,3.0,12,2,2.0799189783502343,2.199895285006889,0.11791459114587767,1.0,1.0
7.0,Square-face capped trigonal prism,3.0,51,7,2.0683035418092612,2.218480267957653,0.1752159006515251,1.0,1.0
7.0,"Square-face capped trigonal prism, Trigonal prism, Pentagonal bipyramid",3.0,8,1,2.053188285660679,2.2006998528319572,0.15144662228112113,1.0,1.0
8.0,Cube,3.0,12,3,2.0998602169616847,2.2673357399537584,0.0966919077658246,1.0,1.0
8.0,"Cube, Square-face capped trigonal prism",3.0,1,1,2.1923596055887637,2.2800952697746624,0.13969254213311236,1.0,1.0
8.0,Dodecahedron with triangular faces - p2345 plane normalized,3.0,2,1,2.212519205290808,2.217643295528647,0.005124090237838774,1.0,1.0
8.0,Square antiprism,3.0,15,2,2.106035978503345,2.254345480615636,0.12313925613954482,1.0,1.0
8.0,Square-face bicapped trigonal prism,3.0,11,5,2.1201946781303227,2.3474029047888854,0.2030383113156776,1.0,1.0
