material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge
mp-10798,HgSeO3,1.6353743414191382,-0.2875751577940093,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-1095437,LuSeO3F,1.8411443345374372,0.3939160756418595,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2e,1,3.0,Se,0.0,True
mp-1101793,YSeO3F,1.8176852499191487,0.3831940840163271,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2e,1,3.0,Se,0.0,True
mp-1102514,ScSeO3F,1.842474619769887,0.3846633915752268,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-1102846,H2SeO3,1.529209979394536,-0.6981406583520526,[3.0],4.0,4.0,4.0,Triangular non-coplanar,1a,1,3.0,Se,0.0,True
mp-1104157,Cu2Ag(SeO5)2,1.915203822857744,0.5735275913446015,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True
mp-1105005,Ni3Se4(ClO5)2,1.7975023338522782,0.271993498818684,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4i,1,3.0,Se,0.0,True
mp-1105151,Co3Se4(ClO5)2,1.8305208519054292,0.299530527149378,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8j,1,3.0,Se,0.0,True
mp-1106073,BiH(SeO3)2,1.8203839393986496,0.2796737852510593,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2a,1,3.0,Se,0.0,True
mp-1173735,NaCo2H3(SeO5)2,1.8115252656542955,0.3170950569456585,[4.0],6.0,6.0,6.0,Tetrahedron,2a,1,4.0,Se,0.0,True
mp-1178328,Fe2H6(SeO4)3,1.7423444521186486,0.0065681813597284,[3.0],4.0,4.0,4.0,Triangular non-coplanar,6b,1,3.0,Se,0.0,True
mp-1179820,Rb2TeH6SeO10,1.6550497128920831,-0.0619463879455692,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-1179858,Rb2UH4(SeO6)2,1.7610151649459085,0.2062459907364615,[4.0],6.0,6.0,6.0,Tetrahedron,4a,1,4.0,Se,0.0,True
mp-1179933,PrSe4O11,1.738596709970854,0.0367969572225582,"[3.0, 4.0]",4.5,4.5,4.5,"Tetrahedron, Triangular non-coplanar",4e,2,3.0,Se,0.0,True
mp-1179933,PrSe4O11,1.738596709970854,0.0367969572225582,"[3.0, 4.0]",4.5,4.5,4.5,"Tetrahedron, Triangular non-coplanar",4e,2,4.0,Se,0.0,True
mp-1180593,KH3(SeO3)2,1.5563544153326767,-0.6751186878013059,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-1181702,Cs3H(SeO4)2,2.486719597429628,1.9788832035925872,[4.0],6.0,6.0,6.0,Tetrahedron,2e,1,4.0,Se,0.0,True
mp-1181715,NiH10(SeO5)2,1.6555769106125011,-0.3048991588651472,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4f,1,3.0,Se,0.0,True
mp-1181790,CoH4SeO5,1.5878596508962888,-0.5295637916651118,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-1182406,CrHSe3O8,1.8406777918471124,0.3295912176779019,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-1183876,CdHg2SeO6,1.7301037071755374,0.1235404815311668,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True
mp-1189942,Li2H2SeO5,1.6841068093167897,0.0276474368774607,[4.0],6.0,6.0,6.0,Tetrahedron,2a,1,4.0,Se,0.0,True
mp-1189952,Na2NiH4(SeO5)2,1.7252222510308115,0.1153520948711201,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True
mp-1190160,K2Se2O7,1.808984031774788,0.3570952184199621,[4.0],6.0,6.0,6.0,Tetrahedron,4f,1,4.0,Se,0.0,True
mp-1190405,CaSeO4,1.855803045961912,0.4491767342522338,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-1190417,YV(SeO4)2,1.7304079987640129,-0.0620097482210633,[3.0],4.0,4.0,4.0,no_data,no_data,1,3.0,Se,0.0,True
