CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
3.0,"Tetrahedron, Triangular non-coplanar",5.0,12,8,1.7139470743690126,1.733122066492015,0.014052930028044123,1.0,0.46153846153846156
3.0,"Tetrahedron, Triangular non-coplanar",4.67,8,5,1.698818326294833,1.7299665162119866,0.022483839865524758,1.0,0.3076923076923077
3.0,"Tetrahedron, Triangular non-coplanar",3.33,3,3,,,,,0.11538461538461539
3.0,"Tetrahedron, Triangular non-coplanar",4.0,1,1,,,,,0.038461538461538464
3.0,"Tetrahedron, Triangular non-coplanar",4.5,1,1,,,,,0.038461538461538464
3.0,"Tetrahedron, Triangular non-coplanar",5.33,1,1,,,,,0.038461538461538464
3.0,Triangular non-coplanar,4.0,793,325,1.7049758602398952,1.7336383985926707,0.02550373917971231,0.9367720465890182,0.9742014742014742
3.0,Triangular non-coplanar,3.75,18,5,1.7305035216012719,1.7496570735906143,0.015332377121802993,1.0,0.022113022113022112
3.0,Triangular non-coplanar,3.5,2,1,1.717783839979858,1.7498408457087762,0.02359557475806312,1.0,0.002457002457002457
3.0,Triangular non-coplanar,2.0,1,1,,,,,0.0012285012285012285
3.0,no_data,2.5,8,1,1.7150625219313855,1.7376691660570731,0.021236214275853076,1.0,0.7272727272727273
3.0,no_data,4.0,3,3,,,,,0.2727272727272727
4.0,Tetrahedron,6.0,694,178,1.6539461354277019,1.6768155737219554,0.02263861356605104,0.799264705882353,1.0
4.0,"Tetrahedron, Octahedron",6.0,12,1,1.6766352911999298,1.680424743018243,0.0030196328313429675,1.0,1.0
4.0,"Tetrahedron, Triangular non-coplanar",5.0,26,8,1.662427750364344,1.7724152226273375,0.157354819998674,0.8541666666666666,0.4406779661016949
4.0,"Tetrahedron, Triangular non-coplanar",4.67,14,5,1.6650658289535087,1.7798916283641546,0.17194532224209932,0.9166666666666666,0.23728813559322035
4.0,"Tetrahedron, Triangular non-coplanar",4.5,8,1,1.6649164399765333,1.853089129151718,0.26476536250896454,0.75,0.13559322033898305
4.0,"Tetrahedron, Triangular non-coplanar",3.33,6,3,1.648263872083204,1.6739468405494649,0.019599108055045777,0.6666666666666666,0.1016949152542373
4.0,"Tetrahedron, Triangular non-coplanar",4.0,4,1,1.6703408537647926,1.686167586792127,0.010082613053041147,0.25,0.06779661016949153
4.0,"Tetrahedron, Triangular non-coplanar",5.33,1,1,,,,,0.01694915254237288
4.0,no_data,6.0,4,1,1.6284898172414053,1.661796210153132,0.021915682560546258,1.0,1.0
5.0,Square pyramid,6.0,4,1,1.7244642941480377,1.7682273939687585,0.026976361082403186,1.0,1.0
6.0,"Tetrahedron, Octahedron",6.0,4,1,1.8380677437626036,1.8559813567841927,0.015060406212410931,1.0,1.0
