material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10798,HgSeO3,1.6353743414191382,-0.2875751577940093,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-1095437,LuSeO3F,1.8411443345374372,0.3939160756418595,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2e,1,3.0,Se,0.0,True,2.0,3.0,1.693548826155646,1.7461468823724797,1.7286141969668682,0.02479496148543622,0.05259805621683378,61.331267997388274,20.30557429215466,46.97305871951848,90.04768655312786,3.0,1.0,1,Triangular non-coplanar
mp-1095437,LuSeO3F,1.8411443345374372,0.3939160756418595,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2e,1,3.0,Se,0.0,True,3.0,3.0,1.693548826155646,1.7461468823724788,1.7286141969668678,0.024794961485435748,0.05259805621683289,61.33126799738829,20.30557429215466,46.9730587195185,90.04768655312786,3.0,1.0,2,Triangular non-coplanar
mp-1101793,YSeO3F,1.8176852499191487,0.3831940840163271,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2e,1,3.0,Se,0.0,True,2.0,3.0,1.6741053302592421,1.7252729833191938,1.7082170989658765,0.024120662970728214,0.051167653059951634,62.04743123056545,20.7185263996537,47.39722071717781,91.34785225734072,3.0,1.0,1,Triangular non-coplanar
mp-1101793,YSeO3F,1.8176852499191487,0.3831940840163271,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2e,1,3.0,Se,0.0,True,3.0,3.0,1.6741053302592415,1.7252729833191935,1.708217098965876,0.024120662970728422,0.05116765305995208,62.04743123056545,20.718526399653694,47.397220717177824,91.34785225734072,3.0,1.0,2,Triangular non-coplanar
mp-1102514,ScSeO3F,1.842474619769887,0.3846633915752268,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-1102846,H2SeO3,1.529209979394536,-0.6981406583520526,[3.0],4.0,4.0,4.0,Triangular non-coplanar,1a,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-1104157,Cu2Ag(SeO5)2,1.915203822857744,0.5735275913446015,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True,3.0,4.0,1.642517152482091,1.7350509461603425,1.695090984512526,0.04094329490783215,0.09253379367825154,66.77682930276752,29.252307584946344,34.723183316798824,111.42198099647118,3.0,0.75,1,Tetrahedron
mp-1104157,Cu2Ag(SeO5)2,1.915203822857744,0.5735275913446015,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True,4.0,4.0,1.6425171524820916,1.7350509461603432,1.6950909845125266,0.04094329490783198,0.09253379367825154,66.77682930276752,29.25230758494636,34.72318331679881,111.4219809964712,3.0,0.75,2,Tetrahedron
mp-1105005,Ni3Se4(ClO5)2,1.7975023338522782,0.271993498818684,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4i,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
