CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,2.0,14,2,2.0705750082589383,2.0705750082589383,0.0,1.0
2.0,2.0,13,3,2.1375849068817847,2.1549196034309457,0.01733469654916085,0.8125
2.0,3.333333333333333,3,1,2.0561432747274426,2.056144733537948,1.4588105052403795e-06,0.1875
3.0,2.0,93,35,2.078495023016997,2.1141987340139656,0.027570594840255376,0.9393939393939394
3.0,2.26666667,3,1,2.059385155790994,2.0696064031216945,0.010393076175878492,0.030303030303030304
3.0,2.5,1,1,,,,0.010101010101010102
3.0,3.0,1,1,,,,0.010101010101010102
3.0,3.5,1,1,,,,0.010101010101010102
4.0,2.0,93,23,2.140163465297259,2.3018711444995383,0.17446967935707375,0.6838235294117647
4.0,4.0,33,11,1.965627001382732,1.979842353954487,0.01220196726807452,0.2426470588235294
4.0,2.26666667,8,1,2.0794737917767527,2.203459075897098,0.13665689190765806,0.058823529411764705
4.0,3.0,1,1,,,,0.007352941176470588
4.0,3.5,1,1,,,,0.007352941176470588
5.0,2.0,42,17,2.1958153172125248,2.4617317177145512,0.2423144235442179,0.7777777777777778
5.0,4.0,8,3,1.9413664551549188,2.050197001906507,0.05467570488062598,0.14814814814814814
5.0,3.0,3,2,2.2893574235729854,2.39409550804032,0.07824016958719573,0.05555555555555555
5.0,2.26666667,1,1,,,,0.018518518518518517
6.0,4.0,2262,450,2.0297236065884037,2.078117498234278,0.03779808455921954,0.9432860717264387
6.0,2.0,68,24,2.3667449235239597,2.5139321324670183,0.11142587708983219,0.02835696413678065
6.0,3.0,32,8,2.116559878148567,2.1984437889732207,0.06741693987878712,0.013344453711426188
6.0,3.5,32,6,2.0989737884105817,2.2754985561494783,0.12299616353733386,0.013344453711426188
6.0,2.5,4,1,2.189888362747253,2.434384688305619,0.26578564126458504,0.0016680567139282735
7.0,4.0,6,2,2.0615699572228032,2.220632470973484,0.19895371131725306,0.6
7.0,2.0,4,1,2.4029921685131934,2.599513682348615,0.1445411536772203,0.4
