material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sn_wyckoff,num_Sn_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,8.0,6.0,2.000835379344461,2.204427366625874,2.1231665686244896,0.060683644182050536,0.20359198728141292,47.975345051440826,30.76374283404206,0.0,89.77302768375037,6.0,1.0,1,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,9.0,6.0,2.0008353793444615,2.2044273666258754,2.1231665686244905,0.06068364418205084,0.2035919872814138,47.97534513193539,30.763742708512673,0.0,89.77302768375037,6.0,1.0,2,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,10.0,6.0,2.0008353793444615,2.204427366625876,2.1231665686244905,0.0606836441820509,0.20359198728141426,81.32705580985937,39.36713841087025,0.0,175.71284214742656,6.0,1.0,3,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,11.0,6.0,2.000835379344462,2.2044273666258754,2.1231665686244905,0.06068364418205051,0.20359198728141337,81.3270557293648,39.36713857716081,0.0,175.7128421474264,6.0,1.0,4,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,12.0,6.0,2.074144554553468,2.164134561458485,2.1201308377487638,0.03678851447068293,0.0899900069050168,81.03514880294921,38.08127596710722,0.0,169.4227081257604,4.0,0.6666666666666666,5,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,13.0,6.0,2.0741445545534676,2.1641345614584866,2.120130837748764,0.03678851447068373,0.08999000690501902,81.03514880294922,38.08127596710722,0.0,169.42270812576038,4.0,0.6666666666666666,6,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,14.0,6.0,2.0741445545534676,2.1641345614584853,2.120130837748763,0.036788514470683216,0.08999000690501768,81.0351488029492,38.08127596710722,0.0,169.42270812576038,4.0,0.6666666666666666,7,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,15.0,6.0,2.0741445545534667,2.1641345614584853,2.1201308377487638,0.03678851447068349,0.08999000690501857,81.03514888344375,38.081275795818634,1.2074182697257333e-06,169.4227081257604,4.0,0.6666666666666666,8,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,16.0,6.0,2.0466273075090373,2.247533326599235,2.136395635046618,0.07117480755355943,0.20090601909019767,81.18022762814044,38.34202087462329,0.0,170.22501196014258,4.0,0.6666666666666666,9,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,17.0,6.0,2.0466273075090364,2.247533326599235,2.136395635046618,0.0711748075535594,0.20090601909019856,81.18022770863499,38.34202070419499,0.0,170.22501196014267,4.0,0.6666666666666666,10,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,18.0,6.0,2.0466273075090378,2.2475333265992345,2.1363956350466182,0.07117480755355897,0.20090601909019679,81.18022762814044,38.34202087462328,0.0,170.22501196014252,4.0,0.6666666666666666,11,Octahedron
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Sn,0.0,True,19.0,6.0,2.046627307509039,2.247533326599232,2.136395635046617,0.07117480755355818,0.2009060190901928,81.18022762814044,38.34202087462328,0.0,170.22501196014252,4.0,0.6666666666666666,12,Octahedron
mp-10349,Na2SnTeO6,2.10314683877551,-0.0260257290249241,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Sn,0.0,True,4.0,6.0,2.0829694788983146,2.1014485968178853,2.0925888754976447,0.007563168633520019,0.018479117919570687,107.99999983901088,36.01934103287546,88.57755413767696,180.0,6.0,1.0,1,Octahedron
mp-10349,Na2SnTeO6,2.10314683877551,-0.0260257290249241,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Sn,0.0,True,5.0,6.0,2.0829694788983146,2.1014485968178853,2.0925888754976447,0.00756316863352001,0.018479117919570687,46.83695454915557,21.013252431521273,16.822064679939924,88.76351250674645,6.0,1.0,2,Octahedron
mp-1042442,Mg2Sn3O8,2.0050071448686886,0.2553133411629506,[6.0],4.0,4.0,4.0,Octahedron,6c,1,6.0,Sn,0.0,True,4.0,6.0,2.0704366364228965,2.174675239269796,2.111794350927426,0.036422793823727276,0.10423860284689956,83.39763525050121,36.68811689943765,23.49540153996401,170.2945964997789,6.0,1.0,1,Octahedron
mp-1042442,Mg2Sn3O8,2.0050071448686886,0.2553133411629506,[6.0],4.0,4.0,4.0,Octahedron,6c,1,6.0,Sn,0.0,True,5.0,6.0,2.0704413487711033,2.174675281985085,2.1117960080603138,0.03642231400487887,0.10423393321398189,58.966896229932715,23.20035580668052,25.09132970728722,86.34512977844578,6.0,1.0,2,Octahedron
mp-1042442,Mg2Sn3O8,2.0050071448686886,0.2553133411629506,[6.0],4.0,4.0,4.0,Octahedron,6c,1,6.0,Sn,0.0,True,6.0,6.0,2.0704366364228974,2.174675239269796,2.111794350927426,0.03642279382372728,0.10423860284689868,98.31438112687215,38.333829478300814,23.49540153996401,179.21453105250072,6.0,1.0,3,Octahedron
mp-1042442,Mg2Sn3O8,2.0050071448686886,0.2553133411629506,[6.0],4.0,4.0,4.0,Octahedron,6c,1,6.0,Sn,0.0,True,7.0,6.0,2.0704366364228965,2.1746752392697957,2.111794350927426,0.03642279382372709,0.10423860284689912,83.39763525050122,36.68811689943767,23.49540153996406,170.29459649977898,6.0,1.0,4,Octahedron
mp-1042442,Mg2Sn3O8,2.0050071448686886,0.2553133411629506,[6.0],4.0,4.0,4.0,Octahedron,6c,1,6.0,Sn,0.0,True,8.0,6.0,2.0704366364228974,2.1746752392697952,2.111794350927426,0.03642279382372708,0.10423860284689779,98.31438112687216,38.33382947830081,23.49540153996406,179.21453105250072,6.0,1.0,5,Octahedron
mp-1042442,Mg2Sn3O8,2.0050071448686886,0.2553133411629506,[6.0],4.0,4.0,4.0,Octahedron,6c,1,6.0,Sn,0.0,True,9.0,6.0,2.070441348771104,2.1746752819850843,2.111796008060314,0.0364223140048787,0.10423393321398011,58.966896229932715,23.200355806680516,25.09132970728722,86.34512977844574,6.0,1.0,6,Octahedron
mp-1042873,Sn(GeO3)2,1.9488245447687205,0.4163228296403467,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Sn,0.0,True,0.0,6.0,2.013000866905523,2.1818104192838486,2.1060489665861897,0.0699918441271504,0.16880955237832573,67.27774250651176,36.9344436991084,11.418277523870794,107.73684951131065,6.0,1.0,1,Octahedron
mp-1042873,Sn(GeO3)2,1.9488245447687205,0.4163228296403467,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Sn,0.0,True,1.0,6.0,2.013000866905521,2.18181041928385,2.106048966586189,0.06999184412715123,0.16880955237832884,67.27774250651176,36.934443699108414,11.418277523870762,107.73684951131071,6.0,1.0,2,Octahedron
mp-1042980,MgSn2O5,1.9449306237379127,0.5088264749850528,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Sn,0.0,True,2.0,6.0,2.017619648548207,2.2256838888460777,2.1074817701882798,0.06252194445396626,0.20806424029787074,67.84400532043716,49.05035840624894,0.0,178.61472260237375,6.0,1.0,1,Octahedron
