material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ta_wyckoff,num_Ta_chemenvs,CN,element,charge_range,is_single_charge
mp-10347,CsCa2Ta3O10,1.93856465354588,0.4733682396075765,[6.0],5.0,5.0,5.0,Octahedron,"1a, 2g",1,6.0,Ta,0.0,True
mp-10390,Ta2O5,1.9513620708989048,0.4922568165380432,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True
mp-1040806,CaLaTaCrO6,2.0159762280888565,-0.0332976097767896,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True
mp-1042364,CaTaBiO5,1.9211944645808736,0.2154522781031244,[4.0],5.0,5.0,5.0,Tetrahedron,8c,1,4.0,Ta,0.0,True
mp-1043970,CaLaTaFeO6,1.9918462258868657,0.0879400667582679,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1045157,CaTa2Bi2O9,1.9109662069613864,0.5146148076256575,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ta,0.0,True
mp-1046089,Mg2Ta2CrO8,1.9307494541396752,0.5164180193154003,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1046091,Mg2Ta2VO8,1.935437562378032,0.7107845142325974,[6.0],5.0,5.0,5.0,Octahedron,8f,1,6.0,Ta,0.0,True
mp-1046092,Mg2Ta2CoO8,1.9367648517895528,0.7066870979111501,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True
mp-1046101,Mg2Ta2MnO8,1.9348547667221137,0.733355286920107,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True
mp-1046105,Ta2VZn2O8,1.963261094343845,0.3450534757187539,[6.0],5.0,5.0,5.0,Octahedron,8f,1,6.0,Ta,0.0,True
mp-1046115,Ta2Zn2FeO8,1.962251049231316,0.3181883091211409,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1046118,Mg2Ta2FeO8,1.9342561706841568,0.7422596805142322,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True
mp-1046134,Mg2Ta2NiO8,1.9382383659879447,0.7098565537152193,[6.0],5.0,5.0,5.0,Octahedron,8f,1,6.0,Ta,0.0,True
mp-1046140,Ta2Zn2NiO8,1.961960990407119,0.3051440876364434,[6.0],5.0,5.0,5.0,Octahedron,4i,1,6.0,Ta,0.0,True
mp-1046160,Ta2Zn2CoO8,1.9634428132847777,0.3069262901399004,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1078748,Sr2TaInO6,2.003247006917092,-0.0053458979081925,[6.0],5.0,5.0,5.0,Octahedron,1d,1,6.0,Ta,0.0,True
mp-1080719,Sr2YTaO6,1.985677468139326,0.0095476420988159,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ta,0.0,True
mp-1086666,Sr2TaInO6,2.0003898818770733,0.0069976404142798,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ta,0.0,True
mp-1096815,Ba3Ta4NbO15,2.0333739026425617,-0.099861522245201,[6.0],5.0,5.0,5.0,Octahedron,8j,1,6.0,Ta,0.0,True
mp-1096858,Ba3TaNb4O15,2.0189324542624187,-0.0378186308888603,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1100882,Y7Ta3O18,1.909280224586588,0.5320242818111189,"[6.0, 7.0, 8.0]",5.0,5.0,5.0,"Cube, Face-capped octahedron, Octahedron","1a, 2i, 1g",3,6.0,Ta,0.0,True
mp-1100882,Y7Ta3O18,1.909280224586588,0.5320242818111189,"[6.0, 7.0, 8.0]",5.0,5.0,5.0,"Cube, Face-capped octahedron, Octahedron","1a, 2i, 1g",3,7.0,Ta,0.0,True
mp-1100882,Y7Ta3O18,1.909280224586588,0.5320242818111189,"[6.0, 7.0, 8.0]",5.0,5.0,5.0,"Cube, Face-capped octahedron, Octahedron","1a, 2i, 1g",3,8.0,Ta,0.0,True
mp-1100937,Y10Ta4O25,1.9256779314451613,0.4928718137766224,"[6.0, 8.0]",5.0,5.0,5.0,"Cube, Octahedron","1a, 1b",2,6.0,Ta,0.0,True
mp-1100937,Y10Ta4O25,1.9256779314451613,0.4928718137766224,"[6.0, 8.0]",5.0,5.0,5.0,"Cube, Octahedron","1a, 1b",2,8.0,Ta,0.0,True
mp-1101181,Y11Ta5O28,1.9584010970243035,0.2782882796576633,[6.0],4.6,4.6,4.6,Octahedron,"4j, 1d",1,6.0,Ta,0.0,True
mp-1101314,Tb3TaO7,1.9379074146998736,0.2391326683381177,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1101326,Ta3AgO8,1.976624244509672,0.3408652341887691,"[7.0, 8.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized","4j, 2b",2,7.0,Ta,0.0,True
mp-1101326,Ta3AgO8,1.976624244509672,0.3408652341887691,"[7.0, 8.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized","4j, 2b",2,8.0,Ta,0.0,True
mp-1101372,TbTa3O9,1.9202054562490936,0.3688694215700696,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ta,0.0,True
mp-1101443,NdTa3O9,1.9200504619552383,0.3959399520414763,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ta,0.0,True
mp-1102291,La3TaO7,1.9777881589888149,0.1030829653433403,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ta,0.0,True
mp-1103389,Sr3Ta2ZnO9,1.766406266454215,1.2645704322982148,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ta,0.0,True
mp-1103508,Sr3MgTa2O9,1.7559742920950314,1.3652735272382224,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ta,0.0,True
mp-1104837,Ta2O5,1.9068590471265767,0.5452001296122425,"[6.0, 7.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron",1a,2,6.0,Ta,0.0,True
mp-1104837,Ta2O5,1.9068590471265767,0.5452001296122425,"[6.0, 7.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron",1a,2,7.0,Ta,0.0,True
mp-11321,Y3TaO7,1.9398645877491203,0.2166479589248706,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1173088,Ca10TaTi8Al(SiO5)10,1.9100620689411336,0.4522598321446215,[6.0],5.0,5.0,5.0,Octahedron,1e,1,6.0,Ta,0.0,True
mp-1173107,TaVO4,1.9383248701665905,0.3696912753306272,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1173109,TaTiO4,1.9829711944908488,0.1379220213587299,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1173115,TaFeO4,1.9658029030420388,0.2094072139007312,[6.0],5.0,5.0,5.0,Octahedron,4d,1,6.0,Ta,0.0,True
mp-1173139,Ta2FeO6,1.925819709167829,0.452984749860138,[6.0],5.0,5.0,5.0,Octahedron,"2b, 4c",1,6.0,Ta,0.0,True
mp-1173143,Ta2FeO6,1.9242189007309445,0.4502414408987811,[6.0],5.0,5.0,5.0,Octahedron,"1a, 1d, 2e",1,6.0,Ta,0.0,True
mp-1173168,SrLaTaNiO6,1.9814530758520583,0.1365307331229567,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1173237,Sr3Ta7Si(BiO4)9,1.910500644697988,0.6202627245945497,"[5.0, 6.0]",5.0,5.0,5.0,"Square pyramid, Octahedron",1a,2,5.0,Ta,0.0,True
mp-1173237,Sr3Ta7Si(BiO4)9,1.910500644697988,0.6202627245945497,"[5.0, 6.0]",5.0,5.0,5.0,"Square pyramid, Octahedron",1a,2,6.0,Ta,0.0,True
mp-1173242,Sr3LaTa2(CoO6)2,1.8797975015872108,0.5361701604473254,[6.0],5.0,5.0,5.0,Octahedron,"1b, 1c",1,6.0,Ta,0.0,True
mp-1173254,Sr2SmTa(CuO4)2,1.7154809957872093,1.546186669905515,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Ta,0.0,True
mp-1173255,Sr2NdTa(CuO4)2,1.5823362197402853,2.28892432141732,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Ta,0.0,True
mp-1173443,NdTa3O9,1.9098425402019192,0.4578236704230337,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ta,0.0,True
mp-1173561,NdTa3O9,1.9191081770582588,0.4362183056832424,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1173852,Na2Ca3Ta2Ti3O15,1.865185197357635,0.7352165126973487,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1173857,NaCa4TaTi4O15,1.932281911550271,0.3552905092242814,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
