material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1100882,Y7Ta3O18,3,"[6, 7, 8]",1.909280224586588,0.5320242818111189,"Cube, Face-capped octahedron, Octahedron",5.0,5.0,5.0
mp-1193678,Ta3NO6,3,"[4, 5, 6]",1.924621605556575,0.44222997622353927,Octahedron,5.0,5.0,5.0
mp-1220959,NaTa4O8,3,"[4, 6]",1.9536012648290264,0.22060479502556377,"Square non-coplanar, Octahedron",3.6666666666666665,3.0,4.0
mp-28530,K2Ta15O32,3,"[5, 6]",2.026765899051214,0.0247109916870462,"Square pyramid, Octahedron",4.333333333333333,4.0,5.0
mp-28531,Rb2Ta15O32,3,"[5, 6]",2.028359650229677,0.0245385713987983,"Square pyramid, Octahedron",4.333333333333333,4.0,5.0
mp-531071,NaTa4O8,3,"[4, 6]",1.971870498847,0.2328894947222214,"Square non-coplanar, Octahedron",3.6666666666666665,3.0,4.0
mp-674423,Sr20Ta8O39,3,"[5, 6]",1.96541167046663,0.241866615801271,"Trigonal bipyramid, Octahedron",4.666666666666667,4.0,5.0
mp-754505,SrTaNO2,3,"[3, 4, 5]",1.8131331759315585,1.0499599161139404,Octahedron,5.0,5.0,5.0
mp-758379,Y11Ta5O28,3,"[6, 7]",1.9565597665030008,0.2889390219855082,"Pentagonal bipyramid, Octahedron",4.666666666666667,4.0,5.0
mp-776407,LaTa2NO5,3,"[4, 5, 6]",1.894148615067768,0.6110445287375124,Octahedron,5.0,5.0,5.0
mp-776437,LaTa2NO5,3,"[4, 5, 6]",1.886038818157165,0.6416453380731642,Octahedron,5.0,5.0,5.0
mp-777773,LaTa2NO5,3,"[4, 5, 6]",1.90927138085197,0.5444365696555797,Octahedron,5.0,5.0,5.0
mp-778010,LaTa2NO5,3,"[4, 5, 6]",1.9192893230708628,0.5084431172865036,Octahedron,5.0,5.0,5.0
mp-1100937,Y10Ta4O25,2,"[6, 8]",1.9256779314451613,0.4928718137766224,"Cube, Octahedron",5.0,5.0,5.0
mp-1101326,Ta3AgO8,2,"[7, 8]",1.976624244509672,0.3408652341887691,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",5.0,5.0,5.0
mp-1104837,Ta2O5,2,"[6, 7]",1.9068590471265767,0.5452001296122425,"Pentagonal bipyramid, Octahedron",5.0,5.0,5.0
mp-1173237,Sr3Ta7Si(BiO4)9,2,"[5, 6]",1.910500644697988,0.6202627245945497,"Square pyramid, Octahedron",5.0,5.0,5.0
mp-1177079,Li5Ta12O32,2,"[6, 7]",1.9327954720180616,0.3497947170676719,"Pentagonal bipyramid, Octahedron",4.92,4.92,4.92
mp-1194594,Ta4PbO11,2,"[6, 7]",1.9165037759087904,0.5158483154464645,"Pentagonal bipyramid, Octahedron",5.0,5.0,5.0
mp-1195166,Ta7BiO19,2,"[6, 7]",1.9462480287096613,0.4744420094984058,"Pentagonal bipyramid, Octahedron",5.0,5.0,5.0
mp-1195471,K2Ta4O11,2,"[6, 7]",1.745350320457031,1.2349158970354257,"Pentagonal bipyramid, Octahedron",5.0,5.0,5.0
mp-1203398,Ta4Ag2O11,2,"[6, 7]",1.7896396513275508,1.0468989879998445,"Pentagonal bipyramid, Octahedron",5.0,5.0,5.0
mp-1208758,Sr3Li6Ta2O11,2,"[5, 6]",1.9505679891612544,0.3892255291335179,"Trigonal bipyramid, Octahedron",5.0,5.0,5.0
mp-1208813,Sr3Ta5O15,2,[6],2.012195067011032,-0.0254378653208081,Octahedron,4.5,4.0,5.0
mp-1209566,PrTa7O19,2,"[6, 7]",1.9234111909886875,0.5105773339034417,"Pentagonal bipyramid, Octahedron",5.0,5.0,5.0
mp-1210064,Nd2Ta3(SeO4)2,2,"[2, 6]",1.926054477320895,0.5480402413242752,Octahedron,4.5,4.0,5.0
mp-1211581,La2Ta3(SeO4)2,2,"[2, 6]",1.928473891469734,0.5474883650348623,Octahedron,4.5,4.0,5.0
mp-1213410,Eu3Ta5O15,2,[6],2.006033009103553,-0.0056737108593529,Octahedron,4.5,4.0,5.0
mp-1213884,CeTa7O19,2,"[6, 7]",1.9414287715421807,0.5150403373536163,"Pentagonal bipyramid, Octahedron",5.0,5.0,5.0
mp-1214188,Ce2Ta3(SeO4)2,2,"[2, 6]",1.929198076440357,0.5481191058455182,Octahedron,4.5,4.0,5.0
mp-1218045,Ta2TiO6,2,[6],1.9704197646780883,0.1743587837064635,Octahedron,4.5,4.0,5.0
