CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,"Pentagonal bipyramid, Single neighbor",16,1,2.0855635939166657,2.0855635939166657,0.0,1.0,0.6666666666666666
1.0,"See-saw, Octahedron",4,1,1.9180356298310892,1.9180356298310892,0.0,1.0,0.16666666666666666
1.0,"Square pyramid, Octahedron",4,1,1.9026345073828224,1.9026345073828224,0.0,1.0,0.16666666666666666
2.0,Octahedron,24,7,1.9917536677646543,2.009636413584914,0.017882745820259435,1.0,1.0
3.0,Octahedron,11,5,1.9825088098665857,2.0344802890635636,0.04847675559592121,0.9393939393939394,1.0
4.0,Octahedron,39,12,1.9854338784596377,2.053044367247672,0.06077151449747083,0.7948717948717948,0.5492957746478874
4.0,"Square non-coplanar, Octahedron",24,2,2.019393658371023,2.0213991874962507,0.0020040176545853276,1.0,0.3380281690140845
4.0,Tetrahedron,8,1,1.850677991606479,1.874212519653223,0.022663384663284988,1.0,0.11267605633802817
5.0,Octahedron,28,9,1.972113619109008,2.0467665460424165,0.06411815919956403,0.8714285714285713,0.2857142857142857
5.0,"Square pyramid, Octahedron",27,6,2.036092162368307,2.099116107849668,0.04841106595960025,0.9384615384615385,0.2755102040816326
5.0,Trigonal bipyramid,14,4,1.8763900535278417,1.9464456136510742,0.05063406965967454,0.8285714285714285,0.14285714285714285
5.0,"Trigonal bipyramid, Octahedron",13,4,1.8702704797054832,1.9600713363750737,0.08964120629346707,0.9538461538461539,0.1326530612244898
5.0,Square pyramid,12,6,1.8592016081430085,1.9481995401109964,0.044498965983997295,1.0,0.12244897959183673
5.0,no_data,4,1,2.0048964838501484,2.0669167900346967,0.07183718585765439,1.0,0.04081632653061224
6.0,Octahedron,4818,805,1.925545299749626,2.000907242513685,0.06056269195185798,0.9701326665277489,0.866546762589928
6.0,no_data,322,38,1.9321971215483462,1.9965567490982343,0.048495507091883355,0.9554865424430642,0.0579136690647482
6.0,"Pentagonal bipyramid, Octahedron",256,48,1.951039537080832,1.9984378342837352,0.040334148611670805,0.9553805774278215,0.0460431654676259
6.0,"Square pyramid, Octahedron",65,6,1.9110595464272417,2.0045060887656385,0.07031994721602894,0.9743589743589745,0.011690647482014389
6.0,"Trigonal bipyramid, Octahedron",64,4,1.9383863867241988,2.014419650439715,0.06997857914891269,1.0,0.011510791366906475
6.0,"Square non-coplanar, Octahedron",24,2,1.9631626298762441,2.0540226024695936,0.07868253225865207,1.0,0.004316546762589928
6.0,"Cube, Octahedron",6,1,1.9513131676712654,1.9971839946016565,0.054481411872384256,0.6666666666666666,0.001079136690647482
6.0,"Cube, Face-capped octahedron, Octahedron",3,1,1.9814626571154346,1.998924304863951,0.021827701642870474,1.0,0.000539568345323741
6.0,Pentagonal bipyramid,2,2,,,,,0.00035971223021582735
7.0,"Pentagonal bipyramid, Octahedron",316,44,1.9353101527187242,2.0716663569453826,0.14591371176752232,0.9864376130198915,0.9294117647058824
7.0,no_data,10,1,1.931293911507069,2.130708276770566,0.26515273689196067,0.7142857142857143,0.029411764705882353
7.0,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",8,2,1.9517559844587828,2.088301913935809,0.15269325077513257,1.0,0.023529411764705882
7.0,Face-capped octahedron,4,1,1.9093049178767072,2.1173466181993312,0.19561238699611874,1.0,0.011764705882352941
7.0,"Cube, Face-capped octahedron, Octahedron",2,1,1.9993191061886084,2.0677311909177005,0.05537138842253796,1.0,0.0058823529411764705
8.0,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",4,2,2.0867343327457415,2.0937882171032127,0.0070504053479405575,1.0,0.4444444444444444
8.0,"Cube, Octahedron",2,1,1.98448709354499,2.1747905423672265,0.16663053611447964,1.0,0.2222222222222222
8.0,Dodecahedron with triangular faces - p2345 plane normalized,2,2,2.0075110380171663,2.0357760503699183,0.028264025331905064,0.0,0.2222222222222222
8.0,"Cube, Face-capped octahedron, Octahedron",1,1,2.005398034246389,2.1941651863845237,0.14629338966069866,1.0,0.1111111111111111
