CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,5.0,16,1,2.0855635939166657,2.0855635939166657,0.0,0.6666666666666666
1.0,3.5,8,2,1.9103350686069558,1.9103350686069558,0.0,0.3333333333333333
2.0,4.5,22,6,1.998895513282426,1.9988955132824264,4.1311037140931835e-16,0.9166666666666666
2.0,5.0,2,1,1.9131933670691663,2.127786316912275,0.21459294984310867,0.08333333333333333
3.0,5.0,11,5,1.9825088098665857,2.0344802890635636,0.04847675559592121,1.0
4.0,5.0,39,12,1.942614895018582,2.013149161658583,0.06381340361047508,0.5492957746478874
4.0,3.6666666666666665,24,2,2.019393658371023,2.0213991874962507,0.0020040176545853276,0.3380281690140845
4.0,4.9,8,1,2.0594205358816255,2.0687016469000326,0.007834175237389248,0.11267605633802817
5.0,5.0,69,24,1.913105092511445,1.9929375571512584,0.06319709269887729,0.7040816326530612
5.0,4.0,12,2,2.055522441715691,2.1257177032481094,0.052750646845277326,0.12244897959183673
5.0,4.333333333333333,12,2,2.0392340596220606,2.0972619097610186,0.04793605130407989,0.12244897959183673
5.0,4.666666666666667,3,1,1.8997209944583868,1.9567382798262802,0.045874957335041905,0.030612244897959183
5.0,4.9,2,1,2.071586242549769,2.098992808433416,0.05313880575271612,0.02040816326530612
6.0,5.0,5171,869,1.9254636581774778,1.999780834015564,0.059474866900846336,0.9300359712230216
6.0,4.5,234,22,1.9546830023503823,2.0178252394068306,0.056296561307428925,0.0420863309352518
6.0,4.333333333333333,36,2,1.9112095032387222,1.9981504975325057,0.06087310095464488,0.006474820143884892
6.0,3.6666666666666665,24,2,1.9631626298762441,2.0540226024695936,0.07868253225865207,0.004316546762589928
6.0,4.0,21,4,1.9376731111415222,2.0094876877902483,0.05132564149253292,0.003776978417266187
6.0,4.92,20,1,1.9598735749933645,2.0025338666140584,0.04764725789797793,0.0035971223021582736
6.0,4.666666666666667,18,2,1.9881384786972787,2.034645602784515,0.03784356277199132,0.003237410071942446
6.0,4.88,16,1,1.9304587199693681,2.0000722561366797,0.0690817908334575,0.0028776978417266188
6.0,4.67,6,1,1.9366993652790365,2.0064609806538787,0.043133798171871705,0.001079136690647482
6.0,4.6,5,1,1.9658672836780522,2.0297268370407267,0.043677337130840474,0.0008992805755395684
6.0,4.8,5,1,1.9949998502579902,2.0056567999003176,0.008046464781131257,0.0008992805755395684
6.0,4.75,4,1,1.9695068763886279,1.994333245919941,0.01661073041623729,0.0007194244604316547
7.0,5.0,335,47,1.9355088501481512,2.0742759497406764,0.1507423180849476,0.9852941176470589
7.0,4.92,4,1,1.9347791440918445,2.0744462817704314,0.08201626323109508,0.011764705882352941
7.0,4.666666666666667,1,1,1.986271757743816,2.084687438357469,0.048257007105458216,0.0029411764705882353
8.0,5.0,9,6,2.0373701809281854,2.1100501378079626,0.06269823710502559,1.0
