material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Te_wyckoff,num_Te_chemenvs,CN,element,charge_range,is_single_charge
mp-10349,Na2SnTeO6,1.955879087327788,-0.0496629690546183,[6.0],6.0,6.0,6.0,Octahedron,2c,1,6.0,Te,0.0,True
mp-1040443,KBaBiTeO6,1.972140046166404,0.7146922413935453,[6.0],6.0,6.0,6.0,Octahedron,2e,1,6.0,Te,0.0,True
mp-10447,Rb2TeMo2(PO7)2,2.018157797031734,1.8786275852660763,[4.0],4.0,4.0,4.0,See-saw,4c,1,4.0,Te,0.0,True
mp-10448,Tl2TeMo2(PO7)2,1.987646267206348,1.7587373924992185,[4.0],4.0,4.0,4.0,See-saw,4c,1,4.0,Te,0.0,True
mp-1046497,Mg4Co5(TeO6)3,1.960641816793375,0.0937238611306418,[6.0],6.0,6.0,6.0,Octahedron,"4f, 2a",1,6.0,Te,0.0,True
mp-1046508,Mg4Ni5(TeO6)3,1.9575076724441096,0.1670150933575038,[6.0],6.0,6.0,6.0,Octahedron,"4f, 2a",1,6.0,Te,0.0,True
mp-1046528,Zn4Co5(TeO6)3,1.9663098415055944,0.1644952737598623,[6.0],6.0,6.0,6.0,Octahedron,"4f, 2a",1,6.0,Te,0.0,True
mp-1046551,Zn4Ni5(TeO6)3,1.9652978314247656,0.2825696809355356,[6.0],6.0,6.0,6.0,Octahedron,"4f, 2a",1,6.0,Te,0.0,True
mp-1046588,Mg4Mn5(TeO6)3,1.9602752497174247,0.2087982904556423,[6.0],6.0,6.0,6.0,Octahedron,"4f, 2a",1,6.0,Te,0.0,True
mp-1046628,Mn5Zn4(TeO6)3,1.965916108129348,0.3254376348641593,[6.0],6.0,6.0,6.0,Octahedron,"4f, 2a",1,6.0,Te,0.0,True
mp-1105362,MnTeMoO6,1.921739154985569,0.8431943975025693,[6.0],4.0,4.0,4.0,See-saw,2c,1,6.0,Te,0.0,True
mp-1105700,TePb2O5,1.944048640862831,0.5691236266234142,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,Te,0.0,True
mp-1106129,Bi4Te2Br2O9,1.938635136761495,0.7092014527011535,"[4.0, 5.0]",4.0,4.0,4.0,"Square non-coplanar, Square pyramid","1a, 1b",2,4.0,Te,0.0,True
mp-1106129,Bi4Te2Br2O9,1.938635136761495,0.7092014527011535,"[4.0, 5.0]",4.0,4.0,4.0,"Square non-coplanar, Square pyramid","1a, 1b",2,5.0,Te,0.0,True
mp-1173529,Nd2TeMo6H38O43,1.9617247185039008,-0.0018430944465329,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
mp-1173612,Pr5Te7WCl3O23,1.9454789841435407,0.3825594438706707,"[3.0, 3.0, 4.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2c,2,3.0,Te,0.0,True
mp-1173612,Pr5Te7WCl3O23,1.9454789841435407,0.3825594438706707,"[3.0, 3.0, 4.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2c,2,3.0,Te,0.0,True
mp-1173612,Pr5Te7WCl3O23,1.9454789841435407,0.3825594438706707,"[3.0, 3.0, 4.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2c,2,4.0,Te,0.0,True
mp-1173612,Pr5Te7WCl3O23,1.9454789841435407,0.3825594438706707,"[3.0, 3.0, 4.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2c,2,4.0,Te,0.0,True
mp-1176529,Mn3TeO6,1.963771100001816,-0.3602995663066317,[6.0],6.0,6.0,6.0,no_data,no_data,1,6.0,Te,0.0,True
mp-1176834,Li8Fe7Te(PO4)12,1.9684030848158147,1.2075908076150297,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
mp-1177314,Li4NbCr(TeO6)2,1.9516326147696976,0.5029892126103706,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
mp-1177425,Li4Fe3Co3(TeO8)2,1.981389323709504,0.5310574710952428,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
mp-1177448,Li4Cr(TeO4)3,2.18379785002358,-0.7017370359001646,[6.0],4.67,4.67,4.67,Octahedron,"1d, 1b, 1c",1,6.0,Te,0.0,True
mp-1179315,SrTeO3,2.1876132617661512,1.0794419211769568,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,1a,1,3.0,Te,0.0,True
mp-1179315,SrTeO3,2.1876132617661512,1.0794419211769568,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,1a,1,4.0,Te,0.0,True
mp-1179320,SrTeO3,2.1903461100281367,1.1176965737860605,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1179320,SrTeO3,2.1903461100281367,1.1176965737860605,"[3.0, 4.0]",4.0,4.0,4.0,Triangular non-coplanar,2i,1,4.0,Te,0.0,True
mp-1179820,Rb2TeH6SeO10,1.9542524412309272,0.0519815865368814,[6.0],6.0,6.0,6.0,Octahedron,"2d, 2a",1,6.0,Te,0.0,True
mp-1181006,LiVTeO5,2.1755634199461333,1.327212681834637,[4.0],4.0,4.0,4.0,Square pyramid,4a,1,4.0,Te,0.0,True
mp-1181313,Ga2(TeO3)3,1.936966758126107,0.1410853378450527,[3.0],4.0,4.0,4.0,Triangular non-coplanar,6h,1,3.0,Te,0.0,True
mp-1182595,BaTe2Mo2(HO6)2,2.087467302404714,0.2250281199421363,"[4.0, 5.0]",4.0,4.0,4.0,See-saw,4a,1,4.0,Te,0.0,True
mp-1182595,BaTe2Mo2(HO6)2,2.087467302404714,0.2250281199421363,"[4.0, 5.0]",4.0,4.0,4.0,See-saw,4a,1,5.0,Te,0.0,True
mp-11887,K2U3(TeO7)2,1.91768012664269,0.0170124699276104,[3.0],4.0,4.0,4.0,See-saw,2i,1,3.0,Te,0.0,True
mp-1190021,TeO2,2.066459755714567,0.2979080000728175,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid",2i,2,4.0,Te,0.0,True
mp-1190021,TeO2,2.066459755714567,0.2979080000728175,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid",2i,2,5.0,Te,0.0,True
mp-1190177,Dy2CoTe2(SO7)2,1.8347657779952584,-0.2614527577119615,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1190196,Er2CoTe2(SO7)2,1.807790672348678,-0.3527631620147959,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1190203,Lu2CuTe2(SO7)2,1.704371155855489,-0.7370435722936534,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1190208,Y2CuTe2(SO7)2,1.627396519787308,-1.0232475248689286,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1190336,Ho2CoTe2(SO7)2,1.8319514680998488,-0.2699463008970778,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1190341,Nd2CoTe2(SO7)2,1.866986432338188,-0.1497105322970288,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1190344,Er2CuTe2(SO7)2,1.6221799210241574,-1.039562834680471,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1190350,Ho2ZnTe2(SO7)2,1.829101572912854,-0.2749640962345329,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-1190351,Tm2CuTe2(SO7)2,1.6164355875518226,-1.0617116397578656,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
