material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-559046,Sm2MnTe5Cl2O13,5,"[3, 4, 5]",2.0125602443250106,0.9849320240965265,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-559681,Dy2CuTe5Br2O13,5,"[3, 4, 5]",2.001370894339465,0.8458943240294945,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-1173612,Pr5Te7WCl3O23,4,"[3, 4]",1.9454789841435407,0.3825594438706707,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1202045,Lu2(TeO3)3,4,"[3, 4, 5, 6]",2.049194297801487,0.6666612694884974,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-1213361,Fe2Te4BrClO10,4,"[2, 3, 4]",2.0534450695698534,0.6613850563392261,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-554007,FeTe2BrO5,4,"[2, 3, 4]",2.02097088266701,0.3740889157569913,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-558224,Dy2(TeO3)3,4,"[3, 4, 5, 6]",2.041810035286176,0.8080595512915527,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-559874,FeTe2ClO5,4,"[2, 3, 4]",2.018017663259676,0.3697992298842324,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-561343,Fe3(TeO3)4,4,"[3, 4, 5, 6]",2.110466057708179,0.4492188410077096,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-1195479,TeSO5,3,"[4, 6, 7]",2.003858364186231,0.6518045177371538,See-saw,4.0,4.0,4.0
mp-1195865,Ce2Te4Cl2O11,3,"[3, 4]",1.932480452015328,0.2904147933815069,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1196951,Ce2Te7Br2O17,3,[4],1.999482625167872,0.47727901095787856,See-saw,4.0,4.0,4.0
mp-1197646,Ba6Te10Br2O25,3,"[3, 4]",2.0212016150297787,0.7324291335526318,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1200464,Fe3Te3ClO10,3,"[3, 4]",2.046336134278847,0.7306729743381611,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1201019,FeTe3ClO7,3,"[3, 4]",1.946161498946992,0.2437326031893385,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1201424,FeTe3BrO7,3,"[3, 4]",1.9693434974394315,0.4858047570497563,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1201779,Ba2VTe4HO13,3,"[3, 4, 5]",2.047311862181145,0.5182149124675804,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1202377,Zr2Te4Br2O11,3,"[3, 4]",1.9662738421965151,0.40793753428010343,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1202980,Zr2Te4Cl2O11,3,"[3, 4]",1.9336360718342587,0.37703350009176334,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1203659,Te5PbO11,3,"[3, 4, 5]",2.0613113560712155,0.43991795168104736,"See-saw, Square pyramid",4.0,4.0,4.0
mp-1210955,Mg6Te5O16,3,"[3, 4, 5]",2.044383404632022,0.6898147692092845,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-1225925,Fe2Te4BrClO10,3,"[2, 3]",1.9544154377049032,0.1039496183894379,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-29215,Te4P2O13,3,"[4, 5, 6]",1.9810985360172504,0.4784682804645451,"See-saw, Square pyramid",4.0,4.0,4.0
mp-2981,CaTeO3,3,"[3, 4, 5]",2.073218940372639,0.7930471990475164,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-30187,Ga2Te4O11,3,"[3, 4, 5]",2.008087260715425,0.6207078718833573,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-30940,Cd2Te2O7,3,"[3, 4, 6]",1.95913892527478,0.10550023063431362,"See-saw, Octahedron, Triangular non-coplanar",5.0,5.0,5.0
mp-30941,Cd2(TeO3)3,3,"[3, 5, 6]",2.0200992804758613,0.3146359676650491,"Triangular non-coplanar, Square pyramid, Octahedron",4.67,4.67,4.67
mp-30995,Fe2Te4O11,3,"[3, 4, 5]",2.079811319313568,0.7366425899481581,"See-saw, Square pyramid",4.0,4.0,4.0
mp-504692,NiTe2O5,3,"[3, 4, 5]",2.0333399845613416,0.5938415020578311,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-557285,Ho11Te16ClO48,3,"[3, 4]",2.04019807530612,0.5096732956399915,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-558279,Tl2Te3O7,3,"[3, 4, 5]",2.0523170681362024,0.7761350562748565,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-559937,UTe3Pb2O11,3,"[3, 4, 5]",2.076695764537547,0.8237693981440444,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-680711,Ca4Te5O14,3,"[3, 4, 5]",2.0348683602665703,0.7932453856137031,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-779552,ZnTe2O5,3,"[3, 4, 5]",2.038891696050751,0.6387871468218702,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-781595,CoTe2O5,3,"[3, 4, 5]",2.036072775235635,0.6020444305421246,"See-saw, Square pyramid, Triangular non-coplanar",4.0,4.0,4.0
mp-1106129,Bi4Te2Br2O9,2,"[4, 5]",1.938635136761495,0.7092014527011535,"Square non-coplanar, Square pyramid",4.0,4.0,4.0
mp-1179315,SrTeO3,2,"[3, 4]",2.1876132617661512,1.0794419211769568,Triangular non-coplanar,4.0,4.0,4.0
mp-1179320,SrTeO3,2,"[3, 4]",2.1903461100281367,1.1176965737860605,Triangular non-coplanar,4.0,4.0,4.0
mp-1182595,BaTe2Mo2(HO6)2,2,"[4, 5]",2.087467302404714,0.2250281199421363,See-saw,4.0,4.0,4.0
mp-1190021,TeO2,2,"[4, 5]",2.066459755714567,0.2979080000728175,"See-saw, Square pyramid",4.0,4.0,4.0
mp-1190916,Ag2Te3Mo3O16,2,"[3, 4]",2.010259106748894,0.3262735079111161,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1191023,Bi3Te4(ClO2)5,2,[4],1.9773004871810311,0.3546308764159205,See-saw,4.0,4.0,4.0
mp-1191811,BaZnTe2O7,2,"[4, 6]",2.0264621872362034,-0.1249842548121607,"See-saw, Octahedron",5.0,5.0,5.0
mp-1192413,CsInTe3O8,2,"[3, 4]",2.05497298644909,0.5149110774450921,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1192556,RbInTe3O8,2,"[3, 5]",2.099888281526003,0.7392676575283312,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1192807,Cu2Te2Pb(ClO3)2,2,"[3, 4]",2.067400464914741,0.6965276176169822,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1193128,Te2Pb3(BrO3)2,2,"[3, 4]",1.9882910013341828,0.7302028854230945,"Square non-coplanar, Triangular non-coplanar",4.0,4.0,4.0
mp-1194639,ThTe2WO9,2,"[3, 4]",2.264028418471413,1.3726729539595757,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1194777,Cu3Hg2(Te3O8)2,2,"[3, 4]",1.9858742468878483,0.1890072953660075,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1194859,AlV(TeO4)2,2,"[3, 4]",2.0154681077112704,0.3652085337764638,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1194878,NaIn(TeO3)2,2,"[3, 5]",2.132635468926268,0.9809143655920468,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1194895,Th2Te3MoO13,2,"[3, 4]",2.090609609552041,0.8953027461761203,"See-saw, Triangular non-coplanar",4.0,4.0,4.0
mp-1195016,BaTe4O9,2,"[4, 5]",2.0790338355294167,0.7279827725182926,See-saw,4.0,4.0,4.0
mp-1195118,BaTe3O7,2,"[4, 5]",2.0251608220424897,0.7339520569465198,"See-saw, Square pyramid",4.0,4.0,4.0
mp-1195253,KIn(TeO3)2,2,"[3, 4]",2.171974767652281,1.431001372765311,Triangular non-coplanar,4.0,4.0,4.0
mp-1195449,Rb7Nd11Te12(Br4O9)4,2,[3],1.9178700982723995,0.0293785737344097,Triangular non-coplanar,4.0,4.0,4.0
mp-1195554,ThTe2MoO9,2,"[4, 5]",1.9887273344398035,0.8855349425143361,See-saw,4.0,4.0,4.0
