CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
1.0,4,1,0.5,2.0
1.0,6,1,0.5,3.0
2.0,4,9,1.0,4.0
3.0,4,237,0.9957983193277311,3.9831932773109244
3.0,5,1,0.004201680672268907,0.021008403361344536
4.0,4,227,0.961864406779661,3.847457627118644
4.0,5,6,0.025423728813559324,0.1271186440677966
4.0,6,3,0.012711864406779662,0.07627118644067797
5.0,4,86,0.9347826086956522,3.739130434782609
5.0,5,2,0.021739130434782608,0.10869565217391304
5.0,6,4,0.043478260869565216,0.2608695652173913
6.0,4,41,0.1752136752136752,0.7008547008547008
6.0,5,9,0.038461538461538464,0.19230769230769232
6.0,6,184,0.7863247863247863,4.717948717948718
7.0,4,1,1.0,4.0
