CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Octahedron,24,1,1.884263350524536,1.884263350524536,0.0,1.0,0.6
1.0,"See-saw, Octahedron",12,1,1.922809232482563,1.922809232482563,0.0,1.0,0.3
1.0,Square pyramid,4,1,1.928231423516742,1.928231423516742,0.0,1.0,0.1
2.0,Square pyramid,25,3,2.173230178553022,2.197003900832116,0.023773722279094255,1.0,0.7352941176470589
2.0,"Angular, Triangular non-coplanar",4,1,1.9249192515190625,1.9435053404275089,0.01858608890844643,1.0,0.11764705882352941
2.0,"See-saw, Square pyramid, Triangular non-coplanar",4,4,,,,,0.11764705882352941
2.0,"See-saw, Octahedron",1,1,,,,,0.029411764705882353
3.0,Triangular non-coplanar,282,107,1.8795019833354687,1.8953154872916518,0.01429925287542938,0.8260162601626017,0.5241635687732342
3.0,"See-saw, Triangular non-coplanar",154,69,1.8802607722442513,1.8974304710569545,0.014936917108840927,0.9875389408099688,0.2862453531598513
3.0,"See-saw, Square pyramid, Triangular non-coplanar",46,14,1.8819434655636453,2.2048965537472376,0.4282961330165245,1.0,0.08550185873605948
3.0,See-saw,23,16,1.8434942952863658,1.9660704265730402,0.11076771081622257,0.6666666666666666,0.04275092936802974
3.0,"Angular, Triangular non-coplanar",12,1,1.8740353022427874,1.8902497605875554,0.01226780798788669,0.7777777777777777,0.022304832713754646
3.0,"See-saw, Square pyramid",6,6,,,,,0.011152416356877323
3.0,"Square non-coplanar, Triangular non-coplanar",6,3,1.8745750906504879,1.9068650508796672,0.023668753800316827,1.0,0.011152416356877323
3.0,"Square pyramid, Triangular non-coplanar",4,4,,,,,0.007434944237918215
3.0,"Octahedron, Triangular non-coplanar",1,1,,,,,0.0018587360594795538
3.0,"See-saw, Octahedron, Triangular non-coplanar",1,1,,,,,0.0018587360594795538
3.0,"See-saw, Square non-coplanar",1,1,,,,,0.0018587360594795538
3.0,"Triangular non-coplanar, Square pyramid, Octahedron",1,1,,,,,0.0018587360594795538
3.0,no_data,1,1,,,,,0.0018587360594795538
4.0,"See-saw, Triangular non-coplanar",313,72,1.876684878875964,2.0719553903419783,0.2597622852184047,0.8842105263157894,0.39872611464968155
