CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,6.0,24,1,1.884263350524536,1.884263350524536,0.0,0.6
1.0,5.71,12,1,1.922809232482563,1.922809232482563,0.0,0.3
1.0,4.0,4,1,1.928231423516742,1.928231423516742,0.0,0.1
2.0,4.0,29,7,2.173230178553022,2.197003900832116,0.023773722279094255,0.8529411764705882
2.0,3.67,4,1,1.9249192515190625,1.9435053404275089,0.01858608890844643,0.11764705882352941
2.0,5.71,1,1,,,,0.029411764705882353
3.0,4.0,524,222,1.8790916543657212,1.9284827761067558,0.057945889414462895,0.9739776951672863
3.0,3.67,12,1,1.8740353022427874,1.8902497605875554,0.01226780798788669,0.022304832713754646
3.0,4.67,1,1,,,,0.0018587360594795538
3.0,5.0,1,1,,,,0.0018587360594795538
4.0,4.0,756,214,1.8847171731559682,2.0741371017532506,0.2526633575862906,0.9630573248407643
4.0,4.5,11,4,1.8951298800786875,2.008847593940093,0.11580885433882011,0.014012738853503185
4.0,6.0,10,3,1.8198084972725308,1.8250369755423865,0.0034924098074290205,0.012738853503184714
4.0,5.0,8,6,1.8781352158035436,2.0293414766912092,0.17969369773106666,0.01019108280254777
5.0,4.0,419,86,1.889451432733259,2.2251634374445666,0.3805804497842905,0.9394618834080718
5.0,5.25,12,3,1.8542359876622598,2.104235520454159,0.13775887596855063,0.026905829596412557
5.0,6.0,8,4,1.8965173809213194,1.922788266749296,0.021706868224921624,0.017937219730941704
5.0,4.67,3,3,,,,0.006726457399103139
5.0,5.0,3,2,1.8282789358323883,2.064520084983085,0.11812057458811635,0.006726457399103139
5.0,5.2,1,1,,,,0.002242152466367713
6.0,6.0,594,184,1.9192313393028466,1.9592686381833382,0.032953641766728374,0.6346153846153846
6.0,4.0,145,41,1.9120175209605874,2.2501741385029663,0.3180109526621838,0.15491452991452992
6.0,5.25,60,3,1.9188730308219109,1.960010484908514,0.03376633881685667,0.0641025641025641
6.0,5.0,48,9,1.9147656802019057,2.068798790265897,0.15375511040856388,0.05128205128205128
6.0,5.5,42,4,1.9920459506838657,2.035376941555637,0.045113521401298914,0.04487179487179487
6.0,4.67,19,4,1.9122090850051314,2.1011870527050633,0.18230670217620917,0.0202991452991453
6.0,5.2,16,1,1.8790114552827633,2.004798276157297,0.11103499010711604,0.017094017094017096
6.0,4.5,12,4,1.9267287831511302,1.9635509975830552,0.03175633666839125,0.01282051282051282
7.0,4.0,8,1,1.915615037158818,2.4030102294418985,0.42946487550496226,1.0
