material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1223217,La4Ti3(SO2)4,3,"[2, 4, 5]",1.831874638111693,0.33633153900525264,"Square pyramid, Tetrahedron, Octahedron",4.0,4.0,4.0
mp-1247666,Ca8Ti3Mn5O23,3,"[4, 5, 6]",1.766008982936878,0.5587558446363057,"Square pyramid, Tetrahedron, Octahedron",4.0,4.0,4.0
mp-556938,Pr30Ti24Se58I8O25,3,"[0, 1, 2]",1.855259843799252,0.2332717724917801,"See-saw, Octahedron",3.3333333333333335,3.0,4.0
mp-651710,Ce20Ti11(S22O3)2,3,"[0, 1, 2]",2.0945569551481165,-0.34976177189994734,Octahedron,3.6666666666666665,3.0,4.0
mp-662600,La20Ti11(S22O3)2,3,"[0, 1, 2]",1.9202759245688057,0.1123236885010735,Octahedron,3.5,3.0,4.0
mp-684010,K8Ti5P2(O4F11)2,3,"[1, 2, 3]",1.8967772581253992,0.1969226661877925,Octahedron,4.0,4.0,4.0
mp-754790,Ti3N2O3,3,"[2, 3, 4]",1.793790563701173,0.4189143408575234,Octahedron,4.0,4.0,4.0
mp-755078,Sr2Ti6N2O11,3,"[3, 5, 6]",1.847449904710339,0.4206593845074596,Octahedron,4.0,4.0,4.0
mp-755353,Sr2Ti6N2O11,3,"[4, 5, 6]",1.814674352358259,0.4539456711960386,Octahedron,4.0,4.0,4.0
mp-755526,Ba2Ti6N2O11,3,"[3, 5, 6]",1.832553233790425,0.44296062604613,Octahedron,4.0,4.0,4.0
mp-755881,Ba2Ti6N2O11,3,"[4, 5, 6]",1.801444946235056,0.4825714101970966,Octahedron,4.0,4.0,4.0
mp-769720,La2Ti3O9,3,"[4, 5, 6]",1.823975938326716,0.37587813698633327,"Square pyramid, Tetrahedron, Octahedron",4.0,4.0,4.0
mp-775944,Ba2Ti6N2O11,3,"[3, 5, 6]",1.7801140924365315,0.5209040272432001,Octahedron,4.0,4.0,4.0
mp-776466,Ba2Ti6N2O11,3,"[3, 5, 6]",1.8571962001264373,0.4319018150667911,Octahedron,4.0,4.0,4.0
mp-776509,Sr2Ti6N2O11,3,"[3, 5, 6]",1.8107478175173624,0.4901183237106263,Octahedron,4.0,4.0,4.0
mp-1041196,Ti3P3O13,2,"[5, 6]",1.794605480771235,0.4582956033836051,"Square pyramid, Octahedron",3.6666666666666665,3.0,4.0
