CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
1.0,4,3,1.0,4.0
2.0,4,7,1.0,4.0
3.0,2,1,0.05555555555555555,0.1111111111111111
3.0,4,17,0.9444444444444444,3.7777777777777777
4.0,3,3,0.05263157894736842,0.15789473684210525
4.0,4,54,0.9473684210526315,3.789473684210526
5.0,3,2,0.01904761904761905,0.05714285714285715
5.0,4,103,0.9809523809523809,3.9238095238095236
6.0,2,2,0.0014534883720930232,0.0029069767441860465
6.0,3,50,0.036337209302325583,0.10901162790697674
6.0,4,1324,0.9622093023255814,3.8488372093023258
7.0,3,2,0.4,1.2000000000000002
7.0,4,3,0.6,2.4
