CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,4.0,16,2,1.969172842982892,1.969172842982892,0.0,1.0,0.5
1.0,Octahedron,3.5,8,1,1.899711282917317,1.899711282917317,0.0,1.0,0.25
1.0,Octahedron,3.6666666666666665,8,1,1.8957889111878883,1.8957889111878883,0.0,1.0,0.25
1.0,"Octahedron, See-saw, Linear, Single neighbor",3.5,2,1,1.8173655690398618,1.8173655690398618,0.0,0.0,1.0
1.0,"See-saw, Octahedron",3.333333333333333,6,1,2.11154134776142,2.11154134776142,0.0,1.0,0.75
1.0,"See-saw, Octahedron",3.6666666666666665,2,1,1.9431447695763804,1.9431447695763804,0.0,1.0,0.25
1.0,"Single neighbor, Linear, Octahedron",3.5,4,2,1.8106766572124893,1.8106766572124893,0.0,0.0,1.0
1.0,Tetrahedron,4.0,8,1,1.8578598372887445,1.8578598372887445,0.0,1.0,1.0
1.0,"Triangular non-coplanar, Octahedron",3.6666666666666665,2,1,1.9101747929171948,1.9101747929171948,0.0,1.0,1.0
2.0,Octahedron,4.0,25,4,1.9002714170061572,1.9050772916079517,0.004805874601794836,1.0,0.5555555555555556
2.0,Octahedron,3.5,8,1,1.9716898855666507,1.9739586344728963,0.002268748906245835,1.0,0.17777777777777778
2.0,Octahedron,3.6666666666666665,8,1,1.991364691708707,1.9934832605513981,0.0021185688426914513,1.0,0.17777777777777778
2.0,Octahedron,3.25,4,1,1.9734217620261718,1.9766525808821045,0.00323081885593271,1.0,0.08888888888888889
2.0,"Octahedron, See-saw, Linear, Single neighbor",3.5,4,1,1.9288734813046742,1.9413803667831404,0.012506885478466071,1.0,1.0
2.0,Pentagonal bipyramid,4.0,8,2,1.8908925220648027,1.892935845573272,0.0020433235084693913,0.75,1.0
2.0,"See-saw, Octahedron",3.333333333333333,12,1,1.9167142187472745,1.916714224661078,5.913803437692331e-09,1.0,0.8571428571428571
2.0,"See-saw, Octahedron",3.6666666666666665,2,1,1.9513430832612826,1.9564871842001288,0.005144100938846263,1.0,0.14285714285714285
2.0,"Single neighbor, Linear, Octahedron",3.5,8,2,1.9464366266233948,1.9583690353539667,0.011932408730571886,1.0,1.0
2.0,"Square pyramid, Octahedron",3.5,2,1,1.8681405154904187,1.8831794374291426,0.015038921938724026,1.0,1.0
2.0,"Square pyramid, Tetrahedron, Octahedron",4.0,1,1,1.87663525949821,1.8766352594982103,1.5700924586837752e-16,1.0,1.0
2.0,"Triangular non-coplanar, Octahedron",3.6666666666666665,2,1,1.9197349093791165,1.930439169689905,0.010704260310788749,1.0,1.0
