material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-685515,TlOF,7,"[1, 2, 4, 5, 6]",1.9638662004040133,0.5319449624755792,"Cube, Square-face capped trigonal prism",3.0,3.0,3.0
mp-16457,Tl2B4O7,5,"[2, 4, 5, 6, 7]",2.224680299381853,0.366243191861646,"End-trigonal-face capped trigonal prism, Square pyramid, Square-face capped trigonal prism, Trigonal prism",1.0,1.0,1.0
mp-1191858,Tl4CuTeO6,3,"[2, 3, 5]",2.302824221147516,0.3089904149000785,"See-saw, Square pyramid, Triangular non-coplanar",1.0,1.0,1.0
mp-1196113,TlP(HO2)2,3,"[6, 7, 8]",2.122792485079388,0.46624988411677054,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",1.0,1.0,1.0
mp-1199100,Al2Tl3(PO4)3,3,"[2, 5, 12]",2.63175088773932,0.2315414549566942,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",1.0,1.0,1.0
mp-1228463,Ba3Sr5Tl5Cu3O19,3,"[4, 5, 6]",1.926355654868136,0.797553868932433,"See-saw, Trigonal bipyramid, Octahedron, Tetrahedron",3.0,3.0,3.0
mp-18938,Tl2MoO4,3,"[6, 7, 10]",2.46043174962266,0.2571146781981874,"Square-face capped trigonal prism, Octahedron, Square-face bicapped square antiprism",1.0,1.0,1.0
mp-27220,Tl5SbO5,3,"[2, 3, 4]",2.0701531921411345,0.4130965080486681,"Pentagonal plane, See-saw, Triangular non-coplanar, Angular",1.0,1.0,1.0
mp-27684,Tl4O3,3,"[3, 5, 6]",2.7903196071259777,-0.2154494483163878,"See-saw, Square pyramid, Octahedron, Triangular non-coplanar",1.5,1.5,1.5
mp-556157,LiTl3(MoO4)2,3,"[3, 9, 10]",2.7292731371786245,0.1475289646987363,"Triangular cupola, Bicapped square prism (adjacent faces)",1.0,1.0,1.0
mp-557258,Tl4Cu4(P2O7)3,3,"[6, 8, 10]",3.025881935688442,0.021832114120102598,"Pentagonal-face bicapped pentagonal prism, Bicapped octahedron (cap faces with one atom in common), Metabidiminished icosahedron",1.0,1.0,1.0
mp-1194570,TlBi(SO4)2,2,"[12, 14]",3.1911637548155545,0.038698813391164,no_data,1.0,1.0,1.0
mp-1194829,Tl2PO3,2,"[3, 5]",2.2846456363741647,0.3649221744079254,Square pyramid,1.0,1.0,1.0
mp-1196566,Tl2TeH6SeO10,2,"[7, 8]",3.235066733785225,-0.0553522977634628,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",1.0,1.0,1.0
mp-1208238,Tl2Co2(SO4)3,2,"[9, 15]",2.1963662537759423,0.3819375494155075,no_data,1.0,1.0,1.0
mp-1208295,TiTlAsO5,2,"[8, 9]",3.2496049771245565,-0.1022822317867318,Tricapped triangular prism (one square-face cap and two triangular-face caps),1.0,1.0,1.0
mp-1208571,Tl2Ni2(MoO4)3,2,"[6, 12]",2.7909763172669924,0.2050242757548625,"Truncated tetrahedron, Tricapped triangular prism (three square-face caps)",1.0,1.0,1.0
mp-1210788,Mn2Tl2(SO4)3,2,"[9, 15]",2.276273783586885,0.3755749264315184,no_data,1.0,1.0,1.0
mp-1211724,Mn2Tl2(MoO4)3,2,"[6, 9]",2.649094190008795,0.2982390954820081,"Truncated tetrahedron, Tricapped triangular prism (three square-face caps)",1.0,1.0,1.0
mp-1216736,TlP(HO2)2,2,"[7, 8]",2.398567192513197,0.3380840133795431,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",1.0,1.0,1.0
mp-13187,Mg2Tl2(MoO4)3,2,"[6, 9]",2.475016592267911,0.3512308144899001,"Tricapped octahedron (all 3 cap faces are sharingone edge of a face), Tricapped triangular prism (three square-face caps)",1.0,1.0,1.0
mp-1388601,Tl2SeO4,2,"[4, 6]",2.729984192240425,0.0591315835633597,"Dodecahedron with triangular faces - p2345 plane normalized, Octahedron",1.0,1.0,1.0
mp-16892,Tl2CrO4,2,"[5, 9]",2.271490579013764,0.3282365263780115,"Tricapped triangular prism (one square-face cap and two triangular-face caps), Square-face monocapped antiprism",1.0,1.0,1.0
mp-18168,TlZnPO4,2,"[5, 8]",2.112542092100804,0.4531670260847054,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face capped trigonal prism",1.0,1.0,1.0
mp-18327,Ba2Tl2O5,2,"[4, 6]",2.0333414275884607,0.5067145668702624,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-18578,TlZnAsO4,2,"[5, 8]",1.9703045172331664,0.5268919595802881,"Square pyramid, Dodecahedron with triangular faces - p2345 plane normalized",1.0,1.0,1.0
mp-19341,Tl2WO4,2,"[6, 7]",1.643159052159696,0.6765115439558822,"Icosahedron, End-trigonal-face capped trigonal prism, Octahedron",1.0,1.0,1.0
mp-27228,Tl6Si2O7,2,"[3, 4]",2.184488333562936,0.3524589146534121,"Square non-coplanar, Triangular non-coplanar",1.0,1.0,1.0
mp-28244,TlBO2,2,"[3, 5]",2.131203449740511,0.4080997025376578,"Triangular non-coplanar, Pentagonal pyramid",1.0,1.0,1.0
mp-28808,TlReO4,2,"[8, 9]",1.922373067354627,0.4842453726455665,"Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized, Tricapped triangular prism (three square-face caps)",1.0,1.0,1.0
mp-29047,Tl3VO4,2,"[4, 7]",1.1846503095791654,1.0633835162531418,"See-saw, End-trigonal-face capped trigonal prism",1.0,1.0,1.0
mp-29690,Tl2Te2O5,2,"[5, 7]",2.202019147968634,0.4150297753228179,"Square-face capped trigonal prism, Trigonal bipyramid",1.0,1.0,1.0
mp-4112,Tl2SO4,2,"[9, 10]",1.0830843022805576,0.9066836835924346,"Square-face monocapped antiprism, Bicapped square prism (adjacent faces)",1.0,1.0,1.0
mp-4449,Tl2SeO4,2,"[7, 8]",2.25360561864149,0.3881308122823378,"Dodecahedron with triangular faces - p2345 plane normalized, Bicapped octahedron (cap faces with one atom in common)",1.0,1.0,1.0
mp-540586,Tl2SnO3,2,"[3, 4]",1.9938067283118912,0.5025496282135248,"See-saw, Pentagonal pyramid",1.0,1.0,1.0
mp-540598,Ti4Tl2O9,2,"[6, 8]",3.1190931421829555,-0.0858691808836512,"Cube, Trigonal prism",1.0,1.0,1.0
mp-541368,Tl4V2O7,2,"[3, 9]",1.812779418233784,0.5958931866175897,"Triangular non-coplanar, Triangular cupola",1.0,1.0,1.0
mp-542197,Ba4Ca4Tl3Cu6O19,2,[6],1.9028039017141911,0.8769044077549617,Octahedron,3.0,3.0,3.0
mp-543028,Tl2TeO3,2,"[4, 6]",2.1133200839291555,0.5039448984227872,"See-saw, Octahedron",1.0,1.0,1.0
mp-543045,Tl2CO3,2,"[6, 7]",2.447727361853925,0.3277717736414187,"End-trigonal-face capped trigonal prism, Trigonal prism",1.0,1.0,1.0
mp-553909,Tl2(SeO3)3,2,"[6, 7]",2.1318144556504666,0.2159057803373085,"Octahedron, Pentagonal bipyramid",3.0,3.0,3.0
mp-554279,Tl3Hg2S3ClO12,2,[9],2.823276052120106,0.1175478752331099,"Square-face bicapped square antiprism, Tricapped octahedron (cap faces are aligned), Bicapped square prism (adjacent faces)",1.0,1.0,1.0
mp-555644,Al2Tl3(PO4)3,2,"[5, 6]",2.568041156315295,0.2541795210284109,"Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",1.0,1.0,1.0
mp-556819,Tl2Cd2(SO4)3,2,"[8, 10]",2.2155629480474976,0.3986063858373615,"Tricapped octahedron (cap faces are aligned), Pentagonal-face capped pentagonal antiprism",1.0,1.0,1.0
mp-557143,Tl2Cu(CO3)2,2,"[3, 9]",2.4888334511086847,0.2732898754598197,"Tricapped triangular prism (one square-face cap and two triangular-face caps), Square-face bicapped trigonal prism",1.0,1.0,1.0
mp-557704,TlNO3,2,"[8, 11]",2.4972902694645547,0.2418424933390866,Diminished icosahedron,1.0,1.0,1.0
mp-558338,Tl2CuAsO4,2,"[3, 4]",2.7196203185718875,0.0589692190736971,Square pyramid,1.0,1.0,1.0
mp-558755,Tl2MoO4,2,"[6, 7]",1.6700872563731246,0.655377503049711,"Icosahedron, End-trigonal-face capped trigonal prism, Octahedron",1.0,1.0,1.0
mp-559961,Tl2SeO4,2,"[8, 9]",0.8608164682223223,1.0737794883662553,"Square antiprism, Tridiminished icosahedron",1.0,1.0,1.0
mp-560035,Tl4Ni7(PO4)6,2,"[7, 9]",2.52779788585844,0.199719314962476,"Tricapped triangular prism (one square-face cap and two triangular-face caps), End-trigonal-face capped trigonal prism, Tricapped octahedron (all 3 cap faces share one atom)",1.0,1.0,1.0
mp-6067,Tl2Cd2(SO4)3,2,"[9, 15]",1.6749081034298388,0.6368095511611603,"Cuboctahedron, Tricapped triangular prism (three square-face caps)",1.0,1.0,1.0
mp-675953,Tl2SeO4,2,"[4, 6]",2.544874292068469,0.2097517764135267,Octahedron,1.0,1.0,1.0
mp-697267,TlP(HO2)2,2,"[7, 8]",1.875235599485017,0.6193023959438035,"Square antiprism, Square-face capped trigonal prism",1.0,1.0,1.0
