CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
1.0,3,1,1.0,3.0
2.0,1,5,0.8333333333333334,0.8333333333333334
2.0,3,1,0.16666666666666666,0.5
3.0,1,17,1.0,1.0
4.0,1,14,0.3888888888888889,0.3888888888888889
4.0,3,22,0.6111111111111112,1.8333333333333335
5.0,1,17,0.7083333333333334,0.7083333333333334
5.0,3,7,0.2916666666666667,0.875
6.0,1,37,0.42528735632183906,0.42528735632183906
6.0,3,50,0.5747126436781609,1.7241379310344827
7.0,1,21,0.75,0.75
7.0,3,7,0.25,0.75
8.0,1,23,0.7419354838709677,0.7419354838709677
8.0,3,8,0.25806451612903225,0.7741935483870968
9.0,1,24,1.0,1.0
10.0,1,13,1.0,1.0
11.0,1,8,1.0,1.0
12.0,1,11,1.0,1.0
14.0,1,2,1.0,1.0
15.0,1,3,1.0,1.0
