CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,3.0,2,1,2.174906107102665,2.174906107102665,0.0,1.0
2.0,1.0,9,5,2.636355268319687,2.6752795951184605,0.03892432679877369,0.8181818181818182
2.0,3.0,2,1,2.2520109073142764,2.252010907314277,7.021666937153402e-16,0.18181818181818182
3.0,1.0,62,17,2.59620278025916,2.64190916264029,0.04613442190470769,0.9393939393939394
3.0,1.5,4,1,2.5149638449164917,2.555234606410347,0.05695145707170113,0.06060606060606061
4.0,1.0,63,14,2.5716780331152758,2.7328043788195124,0.14932041458733034,0.5121951219512195
4.0,3.0,60,21,2.159632788969407,2.2258792310742717,0.06317898600089197,0.4878048780487805
5.0,1.0,78,17,2.6681163520495503,2.8607457363313897,0.14887415672373042,0.8041237113402062
5.0,3.0,17,6,2.200809352056409,2.2884362960373124,0.05833401363005058,0.17525773195876287
5.0,1.5,2,1,2.4065548357597377,2.8166003730234026,0.2435873432513061,0.020618556701030927
6.0,3.0,189,49,2.1509224906100717,2.3742220652258625,0.16332544040354152,0.6702127659574468
6.0,1.0,87,37,2.7624876222124954,2.884537507249939,0.10133921097245649,0.30851063829787234
6.0,1.25,4,1,2.778229038629488,2.8054863558313388,0.021717893666953904,0.014184397163120567
6.0,1.5,2,1,2.2299028154079155,2.3144086052921082,0.05376551715352491,0.0070921985815602835
7.0,3.0,30,7,2.278659859482253,2.454434928936494,0.14815188825791553,0.4
7.0,1.0,25,21,2.5619424890036315,2.9998160212786313,0.19737840319999309,0.3333333333333333
7.0,1.67,8,1,2.644851695141373,2.7922353790728742,0.07036216620596374,0.10666666666666667
7.0,1.25,4,1,2.384874263032239,2.7341224487275277,0.14274473774909047,0.05333333333333334
7.0,1.5,4,1,2.374986458052808,2.7339854217622723,0.14662887210020864,0.05333333333333334
7.0,2.75,4,1,2.392875654227459,2.6851192358742524,0.12305316142005962,0.05333333333333334
8.0,1.0,61,23,2.829768866173962,2.98438244495839,0.09742503404756966,0.6161616161616161
8.0,3.0,30,8,2.2263711812573104,2.470237513448421,0.1706648937277986,0.30303030303030304
8.0,1.67,4,1,2.1834145166152163,2.6039750934215675,0.24298548801884276,0.04040404040404041
8.0,2.75,4,1,2.229684900932122,2.5210866236945684,0.1550274824465705,0.04040404040404041
9.0,1.0,30,23,2.8502434705114994,3.0479137209088423,0.11621374827456184,1.0
10.0,1.0,13,13,,,,1.0
11.0,1.0,8,8,,,,1.0
12.0,1.0,11,11,,,,1.0
14.0,1.0,2,2,,,,1.0
15.0,1.0,3,3,,,,1.0
