CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
1.0,1,1,3.0,3.0,s_avg > 1,3+:1.0000
2.0,6,6,1.3333333333333335,0.6666666666666667,s_avg ≤ 1,1+:0.8333; 3+:0.1667
3.0,17,17,1.0,0.3333333333333333,s_avg ≤ 1,1+:1.0000
4.0,36,35,2.2222222222222223,0.5555555555555556,s_avg ≤ 1,1+:0.3889; 3+:0.6111
5.0,24,23,1.5833333333333335,0.3166666666666667,s_avg ≤ 1,1+:0.7083; 3+:0.2917
6.0,87,86,2.1494252873563218,0.3582375478927203,s_avg ≤ 1,1+:0.4253; 3+:0.5747
7.0,28,28,1.5,0.21428571428571427,s_avg ≤ 1,1+:0.7500; 3+:0.2500
8.0,31,31,1.5161290322580645,0.18951612903225806,s_avg ≤ 1,1+:0.7419; 3+:0.2581
9.0,24,23,1.0,0.1111111111111111,s_avg ≤ 1,1+:1.0000
10.0,13,13,1.0,0.1,s_avg ≤ 1,1+:1.0000
11.0,8,8,1.0,0.09090909090909091,s_avg ≤ 1,1+:1.0000
12.0,11,11,1.0,0.08333333333333333,s_avg ≤ 1,1+:1.0000
14.0,2,2,1.0,0.07142857142857142,s_avg ≤ 1,1+:1.0000
15.0,3,3,1.0,0.06666666666666667,s_avg ≤ 1,1+:1.0000
