material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1101184,V3O5F,3,"[4, 5, 6]",1.86285419983884,0.1224565522450104,Octahedron,3.3333333333333335,3.0,4.0
mp-1101185,V3OF11,3,"[0, 1, 2]",1.924424810636812,0.5391720941373008,"Octahedron, Square pyramid",4.666666666666667,4.0,5.0
mp-1176719,LiV3O3F7,3,"[1, 2, 3]",1.848095394979924,0.49778075239488234,Octahedron,4.0,4.0,4.0
mp-27284,V3ZnO8,3,"[4, 5, 6]",1.8290292137557664,0.39304681475660824,"Tetrahedron, Octahedron, Trigonal bipyramid",4.666666666666667,4.0,5.0
mp-531351,Mn2VO4,3,"[4, 5, 6]",1.7966653826942973,0.2796187295942369,"Tetrahedron, Octahedron, Square pyramid",3.6666666666666665,3.0,4.0
mp-752454,VOF,3,"[2, 3, 4]",1.7919424968111528,0.4479943264508737,Octahedron,3.0,3.0,3.0
mp-752875,V3(O2F)2,3,"[3, 4, 5]",1.824052740345656,0.3542786634424895,Octahedron,3.3333333333333335,3.0,4.0
mp-752919,V3(O2F)2,3,"[3, 4, 5]",1.7788774736810595,0.4882009918475174,Octahedron,3.5,3.0,4.0
mp-754746,VOF,3,"[2, 3, 4]",1.7818444318347104,0.47351538406523225,Octahedron,3.0,3.0,3.0
mp-755016,V3(O2F)2,3,"[3, 4, 5]",1.8035805564731733,0.4041552563178919,Octahedron,3.3333333333333335,3.0,4.0
mp-755268,V6O7F5,3,"[2, 3, 4]",1.8075534401816349,0.4313622231751763,Octahedron,3.25,3.0,4.0
mp-755290,V3(O2F)2,3,"[3, 4, 5]",1.8149183408986638,0.3847630092416161,Octahedron,3.25,3.0,4.0
mp-755528,V3O5F,3,"[4, 5, 6]",1.85828346220677,0.1276845215319637,Octahedron,3.6666666666666665,3.0,4.0
mp-755768,V3(O2F)2,3,"[3, 4, 5]",1.8085923354194058,0.38512183380885395,Octahedron,3.4,3.0,4.0
mp-757487,VOF,3,"[2, 3, 4]",1.7954413053439808,0.4379252757311147,Octahedron,3.0,3.0,3.0
mp-760888,V4OF11,3,"[0, 1, 2]",1.7804123499776008,0.7741344933302923,Octahedron,3.3333333333333335,3.0,4.0
mp-760952,V3O5F,3,"[4, 5, 6]",1.8696697342055224,0.1319069676790149,Octahedron,3.3333333333333335,3.0,4.0
mp-763192,V2OF5,3,"[0, 1, 2]",1.7883551945237872,0.4441093510200405,Octahedron,3.5,3.0,4.0
mp-763291,V3O5F,3,"[4, 5, 6]",1.8611554032669588,0.1225816071827255,Octahedron,3.6666666666666665,3.0,4.0
mp-763338,V3O5F,3,"[4, 5, 6]",1.9418546886407173,0.055270290365059795,Octahedron,3.3333333333333335,3.0,4.0
mp-763908,V3O5F,3,"[4, 5, 6]",1.912840834863192,0.0177010216873712,Octahedron,3.6,3.0,4.0
mp-763912,V3O5F,3,"[4, 5, 6]",1.9425162882438258,0.0526244848161956,Octahedron,3.3333333333333335,3.0,4.0
mp-774894,Na5LiV6O18,3,"[3, 4, 5]",1.9343769589749005,-0.006454464086384,"Single neighbor, Triangular non-coplanar",4.666666666666667,4.0,5.0
mp-776090,VOF,3,"[2, 3, 4]",1.8187153612745168,0.42627190189920433,Octahedron,3.0,3.0,3.0
mp-779360,VOF,3,"[2, 3, 4]",1.792805922434539,0.5186085012803068,Octahedron,3.0,3.0,3.0
mp-780704,V3(O2F)2,3,"[3, 4, 5]",1.7794952478152648,0.4490595314110382,Octahedron,3.3333333333333335,3.0,4.0
mp-781614,V6O7F5,3,"[3, 4, 5]",1.7955741704914685,0.4248455117732626,Octahedron,3.3333333333333335,3.0,4.0
mp-850979,V3(O2F)2,3,"[3, 4, 5]",1.7707010195285058,0.4643894449628258,Octahedron,3.3333333333333335,3.0,4.0
mp-861528,V3CoO8,3,"[4, 5, 6]",1.830697731303948,0.3984993706637068,"Tetrahedron, Octahedron, Trigonal bipyramid",4.666666666666667,4.0,5.0
mp-1012791,NaV3P3O13,2,"[5, 6]",1.8390997187914064,0.3165397175550004,"Octahedron, Square pyramid",3.333333333333333,3.0,4.0
mp-1013878,LiV3P3O13,2,"[5, 6]",1.886451346818108,0.2123036241560695,"Octahedron, Square pyramid",3.333333333333333,3.0,4.0
mp-1040943,MgV2O4,2,"[4, 6]",1.869372492603728,0.2726981818729988,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1040983,V2ZnO4,2,"[4, 6]",1.892358702653824,0.2402717013076472,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1041014,MgV2O4,2,"[4, 6]",1.8975321361421256,0.2378705831173916,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1041051,CaV2O4,2,"[4, 6]",1.7998319865501775,0.4186717742083128,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1041848,MgV2O4,2,"[4, 6]",1.87756047926155,0.2552380961200597,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1047835,Ba2YV3O8,2,"[5, 6]",1.706996706740497,0.5585906607124524,"Octahedron, Square pyramid",3.0,3.0,3.0
mp-1047854,CaV3P3O13,2,"[5, 6]",1.872581763938569,0.2621032995763907,"Octahedron, Square pyramid",3.0,3.0,3.0
mp-1048867,V2ZnO4,2,"[4, 6]",1.8761875108802355,0.2631686938016087,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1048892,V2ZnO4,2,"[4, 6]",1.890409178288716,0.2484512485853147,"Tetrahedron, Octahedron",3.0,3.0,3.0
mp-1048900,MgV2O4,2,"[4, 6]",1.8733472660105817,0.2724289532206533,"Tetrahedron, Octahedron",3.0,3.0,3.0
