CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,3,4,0.5714285714285714,1.7142857142857142
0.0,4,3,0.42857142857142855,1.7142857142857142
1.0,3,6,0.2608695652173913,0.7826086956521738
1.0,4,12,0.5217391304347826,2.0869565217391304
1.0,5,5,0.21739130434782608,1.0869565217391304
2.0,2,1,0.043478260869565216,0.08695652173913043
2.0,3,7,0.30434782608695654,0.9130434782608696
2.0,4,9,0.391304347826087,1.565217391304348
2.0,5,6,0.2608695652173913,1.3043478260869565
3.0,3,5,0.4166666666666667,1.25
3.0,4,2,0.16666666666666666,0.6666666666666666
3.0,5,5,0.4166666666666667,2.0833333333333335
4.0,2,3,0.004838709677419355,0.00967741935483871
4.0,3,55,0.08870967741935484,0.2661290322580645
4.0,4,30,0.04838709677419355,0.1935483870967742
4.0,5,532,0.8580645161290322,4.290322580645161
5.0,2,4,0.016,0.032
5.0,3,15,0.06,0.18
5.0,4,71,0.284,1.136
5.0,5,160,0.64,3.2
6.0,2,116,0.10535876475930972,0.21071752951861944
6.0,3,449,0.407811080835604,1.223433242506812
6.0,4,373,0.3387829246139873,1.3551316984559492
6.0,5,163,0.148047229791099,0.7402361489554949
7.0,3,2,0.4,1.2000000000000002
7.0,4,2,0.4,1.6
7.0,5,1,0.2,1.0
