CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,3.5,142,25,1.7921979331644888,1.7921979331644888,0.0,1.0,0.39335180055401664
1.0,Octahedron,3.333333333333333,50,15,1.7846515815732729,1.7846515815732729,0.0,1.0,0.13850415512465375
1.0,Octahedron,3.6666666666666665,46,14,1.6807766663342363,1.6807766663342363,0.0,1.0,0.12742382271468145
1.0,Octahedron,4.333333333333333,45,13,1.8004400563783718,1.8004400563783718,0.0,1.0,0.12465373961218837
1.0,Octahedron,4.0,40,12,1.7813727140409157,1.7813727140409157,0.0,1.0,0.11080332409972299
1.0,Octahedron,3.0,16,4,1.862810070096482,1.862810070096482,0.0,1.0,0.0443213296398892
1.0,Octahedron,4.5,10,5,1.8625392175490056,1.8625392175490056,0.0,1.0,0.027700831024930747
1.0,Octahedron,5.0,8,1,1.8506204129133847,1.8506204129133847,0.0,1.0,0.0221606648199446
1.0,Octahedron,3.75,4,2,1.6706262723661236,1.6706262723661236,0.0,1.0,0.0110803324099723
1.0,"Octahedron, Square pyramid",4.75,20,10,1.897542033892338,1.897542033892338,0.0,1.0,0.3333333333333333
1.0,"Octahedron, Square pyramid",4.666666666666667,17,9,1.8441039578098146,1.8441039578098146,0.0,1.0,0.2833333333333333
1.0,"Octahedron, Square pyramid",4.5,12,6,1.8358611813083268,1.8358611813083268,0.0,1.0,0.2
1.0,"Octahedron, Square pyramid",4.333333333333333,6,3,1.8418693253917422,1.8418693253917422,0.0,1.0,0.1
1.0,"Octahedron, Square pyramid",4.6,2,1,1.824150248530509,1.824150248530509,0.0,1.0,0.03333333333333333
1.0,"Octahedron, Square pyramid",4.8,2,1,1.8586699257820165,1.8586699257820165,0.0,1.0,0.03333333333333333
1.0,"Octahedron, Square pyramid",5.0,1,1,,,,,0.016666666666666666
1.0,Square pyramid,5.0,3,3,1.6366441451709024,1.6366441451709024,0.0,1.0,1.0
1.0,"Square-face capped trigonal prism, Octahedron",3.0,6,2,1.9713793412865088,1.9713793412865088,0.0,1.0,1.0
2.0,Octahedron,3.6666666666666665,46,14,1.7721206833921983,1.8536840170937665,0.08156333370156829,1.0,0.2754491017964072
2.0,Octahedron,4.0,35,9,1.7371769684860774,1.8739000285689127,0.13672306008283538,1.0,0.20958083832335328
2.0,Octahedron,4.333333333333333,22,10,1.6638801238521668,1.821410282858244,0.15753015900607698,1.0,0.1317365269461078
2.0,Octahedron,4.5,20,5,1.7580308539061718,1.855885539236263,0.0978546853300913,1.0,0.11976047904191617
2.0,Octahedron,3.0,14,7,1.953659779532082,1.9595030892808194,0.005843309748737202,1.0,0.08383233532934131
2.0,Octahedron,3.5,10,3,1.7493841290166792,1.8249129601259668,0.07552883110928751,1.0,0.059880239520958084
2.0,Octahedron,5.0,8,2,1.6497415255316519,1.6771856330455086,0.02744410751385655,1.0,0.04790419161676647
2.0,Octahedron,4.25,6,3,1.675449710533625,1.7858558492302963,0.11040613869667136,1.0,0.03592814371257485
2.0,Octahedron,3.75,4,2,1.7623949633598563,1.8348233652902421,0.0724284019303856,1.0,0.023952095808383235
2.0,Octahedron,3.25,1,1,1.959768765266724,1.9944666335123853,0.034697868245661234,1.0,0.005988023952095809
2.0,Octahedron,3.333333333333333,1,1,1.9215518533157003,1.9215518533157017,1.2262814116578437e-15,1.0,0.005988023952095809
2.0,"Octahedron, Square pyramid",4.75,40,10,1.6371873209521304,1.9232805154774186,0.28609319452528825,1.0,0.35398230088495575
2.0,"Octahedron, Square pyramid",4.666666666666667,33,9,1.6317756846080587,1.895680017220375,0.26390433261231616,1.0,0.2920353982300885
2.0,"Octahedron, Square pyramid",4.5,20,5,1.7006263319938426,1.9275274949538086,0.22690116295996607,1.0,0.17699115044247787
2.0,"Octahedron, Square pyramid",4.333333333333333,8,2,1.6919652642748355,1.8706826642568017,0.17871739998196612,1.0,0.07079646017699115
2.0,"Octahedron, Square pyramid",4.6,4,1,1.656048963602207,1.93954328039166,0.2834943167894529,1.0,0.035398230088495575
2.0,"Octahedron, Square pyramid",4.8,4,1,1.6294340074232274,1.9378385446287005,0.30840453720547334,1.0,0.035398230088495575
2.0,"Octahedron, Square pyramid",5.0,4,1,1.628312239325975,1.9642114308776364,0.33589919155166137,1.0,0.035398230088495575
2.0,"Square plane, T-shaped",2.0,1,1,,,,,1.0
2.0,Square pyramid,5.0,11,3,1.6293955662121027,2.002029200070013,0.3726336338579104,1.0,1.0
3.0,Octahedron,4.5,60,12,1.6640958718221888,1.8353940241694358,0.17019077340025957,1.0,0.3314917127071823
3.0,Octahedron,3.333333333333333,45,16,1.920106373480205,1.967192350568695,0.04029680439830795,1.0,0.24861878453038674
3.0,Octahedron,4.666666666666667,24,11,1.654918129028123,1.8448970798019229,0.20709505929505434,1.0,0.13259668508287292
3.0,Octahedron,4.333333333333333,22,10,1.6690966410593966,1.8551963906326565,0.16653502417936444,1.0,0.12154696132596685
3.0,Octahedron,3.0,14,5,1.9171621762608655,1.965162384725602,0.034314931192402885,1.0,0.07734806629834254
3.0,Octahedron,4.25,6,3,1.7168119518998124,1.8963694644347087,0.149172489341753,1.0,0.03314917127071823
3.0,Octahedron,4.0,3,2,1.7047356309975374,1.8874510809167155,0.1431486315081013,1.0,0.016574585635359115
3.0,Octahedron,3.25,2,2,1.9096244603966799,1.9682391705612488,0.05369372201402094,1.0,0.011049723756906077
3.0,Octahedron,3.4,2,1,1.9396146203765054,1.9669194733300719,0.02441469532439803,1.0,0.011049723756906077
3.0,Octahedron,4.75,2,1,1.660139157332144,1.7982812194801607,0.10617897435742973,1.0,0.011049723756906077
3.0,Octahedron,3.5,1,1,1.9072503003478594,1.990177599966145,0.05906434727890807,1.0,0.0055248618784530384
3.0,"Single neighbor, Triangular non-coplanar",4.666666666666667,1,1,,,,,1.0
3.0,Square pyramid,5.0,3,3,,,,,1.0
3.0,Tetrahedron,5.0,2,1,1.7234725413626593,1.7242820692657628,0.0005724226698443251,0.0,1.0
3.0,"Tetrahedron, Trigonal bipyramid",5.0,4,1,1.613842312373733,1.720330610408554,0.07535399375364503,0.6666666666666666,1.0
4.0,Octahedron,3.5,123,26,1.9080751516163672,1.9502446403464413,0.03528253697265387,1.0,0.3236842105263158
4.0,Octahedron,3.0,119,39,1.986226050926008,2.016899796806367,0.02754367146763836,1.0,0.3131578947368421
4.0,Octahedron,3.333333333333333,46,20,1.9383224745389371,1.981414492534297,0.03352309573247056,1.0,0.12105263157894737
4.0,Octahedron,4.0,34,13,1.8320170397463735,1.9318632047585018,0.07709713736749117,0.9852941176470589,0.08947368421052632
4.0,Octahedron,4.666666666666667,24,11,1.654106688033304,1.8825397326115663,0.20660578444792113,1.0,0.06315789473684211
4.0,Octahedron,2.0,16,3,2.1413267144930113,2.149384768083904,0.008106246482148161,1.0,0.042105263157894736
4.0,Octahedron,3.25,8,2,1.9272315075251345,1.9691500242877527,0.03729405261924458,1.0,0.021052631578947368
4.0,Octahedron,3.6666666666666665,4,2,1.8704523674200293,1.8774336113959398,0.00706289999890272,1.0,0.010526315789473684
4.0,Octahedron,3.4,2,1,1.9051070005494257,1.948228121549496,0.031928931640075875,1.0,0.005263157894736842
4.0,Octahedron,3.6,2,1,1.8577580032163867,1.8917814030813447,0.037551880507065635,1.0,0.005263157894736842
4.0,Octahedron,4.75,2,1,1.726086924654158,1.843044670014772,0.12609256709367922,1.0,0.005263157894736842
4.0,"Octahedron, See-saw",3.0,1,1,,,,,1.0
4.0,"Single neighbor, Triangular non-coplanar",4.666666666666667,12,1,1.6683718502675984,1.7528865508990428,0.07715287219293336,1.0,1.0
4.0,Square pyramid,5.0,5,2,1.6549735274283432,1.9144873693247382,0.26604806593554214,1.0,1.0
4.0,"Square pyramid, Tetrahedron, Trigonal bipyramid",5.0,2,1,1.7055459109970101,1.7457640524281839,0.037753893816279305,1.0,1.0
4.0,Tetrahedron,5.0,2627,488,1.7015093402979513,1.7464346038100313,0.03891717223341894,0.8540209790209791,0.9511223750905141
4.0,Tetrahedron,4.5,82,12,1.7307009765079513,1.7588261724429448,0.022802852943643356,0.9875,0.029688631426502535
4.0,Tetrahedron,4.0,36,14,1.7762946404404272,1.8058651349571473,0.026013263998447334,0.8823529411764706,0.013034033309196235
4.0,Tetrahedron,4.66666667,12,2,1.735708875377477,1.7574489365148638,0.020309494540384634,0.8333333333333334,0.004344677769732078
4.0,Tetrahedron,3.0,5,2,1.91470428473162,1.9208439079238808,0.005923463622495855,1.0,0.0018102824040550326
4.0,"Tetrahedron, Octahedron",4.5,61,14,1.7006897000493442,1.7398103866892016,0.03684911613653431,0.7416666666666667,0.3765432098765432
4.0,"Tetrahedron, Octahedron",4.333333333333333,30,5,1.7034237518629987,1.7443749273704339,0.03195656848996932,0.9,0.18518518518518517
4.0,"Tetrahedron, Octahedron",3.0,21,13,1.9281867396299335,1.9441465279022054,0.01507419918744305,1.0,0.12962962962962962
4.0,"Tetrahedron, Octahedron",5.0,13,3,1.6999660036911812,1.786862037275626,0.08293184104571548,0.9166666666666666,0.08024691358024691
4.0,"Tetrahedron, Octahedron",4.666666666666667,12,1,1.7011789302410778,1.7437530750381336,0.04409814092934144,1.0,0.07407407407407407
4.0,"Tetrahedron, Octahedron",4.33333333,8,2,1.6699664856975658,1.7330684243752006,0.03643445829564702,1.0,0.04938271604938271
4.0,"Tetrahedron, Octahedron",4.0,7,3,1.711718340366416,1.7481964516349362,0.02892789737863614,0.6428571428571429,0.043209876543209874
4.0,"Tetrahedron, Octahedron",3.6666666666666665,6,2,1.7392727546714557,1.808787066950198,0.043198789102293585,0.75,0.037037037037037035
4.0,"Tetrahedron, Octahedron",3.333333333333333,3,3,1.9446802407644121,1.9507526753343742,0.010129322062269875,1.0,0.018518518518518517
4.0,"Tetrahedron, Octahedron",3.5,1,1,,,,,0.006172839506172839
4.0,"Tetrahedron, Octahedron, Square pyramid",3.6666666666666665,1,1,1.7502785468386808,1.7853325253286585,0.021009361604027606,1.0,1.0
4.0,"Tetrahedron, Octahedron, Trigonal bipyramid",4.666666666666667,2,2,,,,,1.0
4.0,"Tetrahedron, Octahedron, Trigonal prism",4.333333333333333,1,1,,,,,1.0
4.0,"Tetrahedron, Square pyramid",5.0,57,15,1.6620144106692738,1.7464046117479066,0.06261351227027702,0.75,0.4634146341463415
4.0,"Tetrahedron, Square pyramid",4.5,55,14,1.6657655117652406,1.7356849818223776,0.052424128399805224,0.7962962962962963,0.44715447154471544
4.0,"Tetrahedron, Square pyramid",4.666666666666667,11,3,1.6213555506371766,1.7574986098271812,0.0806458711267791,0.8,0.08943089430894309
4.0,"Tetrahedron, Square pyramid, Trigonal bipyramid",4.666666666666667,2,1,1.6397214027808078,1.768220225644673,0.11757265142570507,0.5,1.0
4.0,"Tetrahedron, Trigonal bipyramid",5.0,53,13,1.7064304826209293,1.745880248782216,0.02752984267203923,0.9583333333333334,0.9464285714285714
4.0,"Tetrahedron, Trigonal bipyramid",4.5,3,3,,,,,0.05357142857142857
