CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Octahedron,361,91,1.7818087119885446,1.7818087119885446,0.0,1.0,0.8395348837209302
1.0,"Octahedron, Square pyramid",60,31,1.860132176903204,1.860132176903204,0.0,1.0,0.13953488372093023
1.0,"Square-face capped trigonal prism, Octahedron",6,2,1.9713793412865088,1.9713793412865088,0.0,1.0,0.013953488372093023
1.0,Square pyramid,3,3,1.6366441451709024,1.6366441451709024,0.0,1.0,0.0069767441860465115
2.0,Octahedron,167,57,1.755157690293519,1.8509868727710053,0.09582918247748612,1.0,0.571917808219178
2.0,"Octahedron, Square pyramid",113,29,1.6507922126162153,1.9147880126025814,0.2639957999863661,1.0,0.386986301369863
2.0,Square pyramid,11,3,1.6293955662121027,2.002029200070013,0.3726336338579104,1.0,0.03767123287671233
2.0,"Square plane, T-shaped",1,1,,,,,0.003424657534246575
3.0,Octahedron,181,64,1.756188155605107,1.888116289928994,0.12647173234754597,1.0,0.9476439790575916
3.0,"Tetrahedron, Trigonal bipyramid",4,1,1.613842312373733,1.720330610408554,0.07535399375364503,0.6666666666666666,0.020942408376963352
3.0,Square pyramid,3,3,,,,,0.015706806282722512
3.0,Tetrahedron,2,1,1.7234725413626593,1.7242820692657628,0.0005724226698443251,0.0,0.010471204188481676
3.0,"Single neighbor, Triangular non-coplanar",1,1,,,,,0.005235602094240838
4.0,Tetrahedron,2762,518,1.7037804961042877,1.747855377759199,0.03814677822826688,0.8584504437869822,0.7862226017648734
4.0,Octahedron,380,119,1.921955026896275,1.9761045660582466,0.04628106204307743,0.9986842105263158,0.10816965556504413
4.0,"Tetrahedron, Octahedron",162,47,1.732436789081471,1.774885812238386,0.03688356357632801,0.8493589743589743,0.04611443210930828
4.0,"Tetrahedron, Square pyramid",123,32,1.6602853501511485,1.742439187720908,0.05947873989366299,0.7754237288135594,0.035012809564474806
4.0,"Tetrahedron, Trigonal bipyramid",56,16,1.7064304826209293,1.745880248782216,0.02752984267203923,0.9583333333333334,0.015940791346427556
4.0,"Single neighbor, Triangular non-coplanar",12,1,1.6683718502675984,1.7528865508990428,0.07715287219293336,1.0,0.0034158838599487617
4.0,Square pyramid,5,2,1.6549735274283432,1.9144873693247382,0.26604806593554214,1.0,0.0014232849416453174
4.0,no_data,4,1,1.7079414909046662,1.748974058715469,0.046422430803608195,1.0,0.001138627953316254
