CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,3.5,142,25,1.7921979331644888,1.7921979331644888,0.0,0.3302325581395349
1.0,4.333333333333333,51,16,1.8053140880270038,1.8053140880270038,0.0,0.1186046511627907
1.0,3.333333333333333,50,15,1.7846515815732729,1.7846515815732729,0.0,0.11627906976744186
1.0,3.6666666666666665,46,14,1.6807766663342363,1.6807766663342363,0.0,0.10697674418604651
1.0,4.0,40,12,1.7813727140409157,1.7813727140409157,0.0,0.09302325581395349
1.0,3.0,22,6,1.8924198713301257,1.8924198713301257,0.0,0.05116279069767442
1.0,4.5,22,11,1.8479875614177261,1.8479875614177261,0.0,0.05116279069767442
1.0,4.75,20,10,1.897542033892338,1.897542033892338,0.0,0.046511627906976744
1.0,4.666666666666667,17,9,1.8441039578098146,1.8441039578098146,0.0,0.03953488372093023
1.0,5.0,12,5,1.826845272053109,1.826845272053109,0.0,0.027906976744186046
1.0,3.75,4,2,1.6706262723661236,1.6706262723661236,0.0,0.009302325581395349
1.0,4.6,2,1,1.824150248530509,1.824150248530509,0.0,0.004651162790697674
1.0,4.8,2,1,1.8586699257820165,1.8586699257820165,0.0,0.004651162790697674
2.0,3.6666666666666665,46,14,1.7721206833921983,1.8536840170937665,0.08156333370156829,0.15753424657534246
2.0,4.5,40,10,1.7293285929500073,1.8917065170950358,0.1623779241450287,0.136986301369863
2.0,4.75,40,10,1.6371873209521304,1.9232805154774186,0.28609319452528825,0.136986301369863
2.0,4.0,35,9,1.7371769684860774,1.8739000285689127,0.13672306008283538,0.11986301369863013
2.0,4.666666666666667,33,9,1.6317756846080587,1.895680017220375,0.26390433261231616,0.11301369863013698
2.0,4.333333333333333,30,12,1.6713694946315452,1.834549584564526,0.16318008993298075,0.10273972602739725
2.0,5.0,23,6,1.6362840169517499,1.8824631299410763,0.24617911298932657,0.07876712328767123
2.0,3.0,14,7,1.953659779532082,1.9595030892808194,0.005843309748737202,0.04794520547945205
2.0,3.5,10,3,1.7493841290166792,1.8249129601259668,0.07552883110928751,0.03424657534246575
2.0,4.25,6,3,1.675449710533625,1.7858558492302963,0.11040613869667136,0.02054794520547945
2.0,3.75,4,2,1.7623949633598563,1.8348233652902421,0.0724284019303856,0.0136986301369863
2.0,4.6,4,1,1.656048963602207,1.93954328039166,0.2834943167894529,0.0136986301369863
2.0,4.8,4,1,1.6294340074232274,1.9378385446287005,0.30840453720547334,0.0136986301369863
2.0,2.0,1,1,,,,0.003424657534246575
2.0,3.25,1,1,1.959768765266724,1.9944666335123853,0.034697868245661234,0.003424657534246575
2.0,3.333333333333333,1,1,1.9215518533157003,1.9215518533157017,1.2262814116578437e-15,0.003424657534246575
3.0,4.5,60,12,1.6640958718221888,1.8353940241694358,0.17019077340025957,0.31413612565445026
3.0,3.333333333333333,45,16,1.920106373480205,1.967192350568695,0.04029680439830795,0.2356020942408377
3.0,4.666666666666667,25,12,1.654918129028123,1.8448970798019229,0.20709505929505434,0.13089005235602094
3.0,4.333333333333333,22,10,1.6690966410593966,1.8551963906326565,0.16653502417936444,0.11518324607329843
3.0,3.0,14,5,1.9171621762608655,1.965162384725602,0.034314931192402885,0.07329842931937172
3.0,5.0,9,5,1.6503857220367084,1.7216477633609568,0.05042680339237813,0.04712041884816754
3.0,4.25,6,3,1.7168119518998124,1.8963694644347087,0.149172489341753,0.031413612565445025
3.0,4.0,3,2,1.7047356309975374,1.8874510809167155,0.1431486315081013,0.015706806282722512
3.0,3.25,2,2,1.9096244603966799,1.9682391705612488,0.05369372201402094,0.010471204188481676
3.0,3.4,2,1,1.9396146203765054,1.9669194733300719,0.02441469532439803,0.010471204188481676
3.0,4.75,2,1,1.660139157332144,1.7982812194801607,0.10617897435742973,0.010471204188481676
3.0,3.5,1,1,1.9072503003478594,1.990177599966145,0.05906434727890807,0.005235602094240838
4.0,5.0,2761,523,1.700743079024645,1.7468563711813487,0.03973162909815083,0.7859379447765442
4.0,4.5,201,43,1.703344318344947,1.746503639253588,0.035392155346768095,0.05721605465414176
4.0,3.0,146,55,1.976445529944297,2.004459404801374,0.02526620101197441,0.041559920296043266
4.0,3.5,124,27,1.9080751516163672,1.9502446403464413,0.03528253697265387,0.03529746655280387
4.0,4.0,77,30,1.7955283401188815,1.857601849490355,0.04944331904123149,0.02191858810133789
4.0,4.666666666666667,63,19,1.6604361365139466,1.8042009273914141,0.12425258330561009,0.017933390264730998
4.0,3.333333333333333,49,23,1.9385873814649985,1.9801369168176333,0.032548355162878864,0.01394819242812411
4.0,4.333333333333333,31,6,1.7034237518629987,1.7443749273704339,0.03195656848996932,0.008824366638200968
4.0,2.0,16,3,2.1413267144930113,2.149384768083904,0.008106246482148161,0.004554511813265016
4.0,4.66666667,12,2,1.735708875377477,1.7574489365148638,0.020309494540384634,0.0034158838599487617
4.0,3.6666666666666665,11,5,1.7879749585952303,1.831617215692146,0.02804124511030909,0.0031312268716196983
4.0,3.25,8,2,1.9272315075251345,1.9691500242877527,0.03729405261924458,0.002277255906632508
4.0,4.33333333,8,2,1.6699664856975658,1.7330684243752006,0.03643445829564702,0.002277255906632508
4.0,3.4,2,1,1.9051070005494257,1.948228121549496,0.031928931640075875,0.000569313976658127
4.0,3.6,2,1,1.8577580032163867,1.8917814030813447,0.037551880507065635,0.000569313976658127
4.0,4.75,2,1,1.726086924654158,1.843044670014772,0.12609256709367922,0.000569313976658127
5.0,5.0,540,159,1.6544780561086394,1.8587634118984886,0.1561802341906249,0.4330392943063352
5.0,4.0,294,71,1.6589082593568099,1.922825464954279,0.1336798843044286,0.23576583801122694
5.0,4.5,137,34,1.6500547136386932,1.8924078031354017,0.17029455318128037,0.10986367281475541
5.0,4.666666666666667,82,35,1.6431051678367794,1.9070614086593076,0.2498696632333265,0.06575781876503609
5.0,3.5,66,20,1.8286662689839541,1.9364904679747483,0.059625785237740765,0.05292702485966319
5.0,3.333333333333333,50,23,1.8511097078487608,1.9752035794572178,0.11160007014412889,0.040096230954290296
5.0,3.0,32,15,1.9458312363803054,2.024536285334196,0.052181645984614444,0.02566158781074579
5.0,2.0,21,4,2.121846801669826,2.162925848768012,0.04035440638354617,0.016840417000801924
5.0,3.6666666666666665,14,8,1.775776992594116,1.9155406602043994,0.0937045604250743,0.011226944667201283
5.0,4.75,4,4,,,,0.0032076984763432237
5.0,3.4,2,1,1.9361029871290039,1.9835299885808202,0.045085179566649924,0.0016038492381716118
5.0,3.6,2,1,1.831511860107903,1.9184626172631594,0.0504595952282324,0.0016038492381716118
5.0,2.333333333333333,1,1,,,,0.0008019246190858059
5.0,3.25,1,1,2.0061924410955316,2.038154198870682,0.024536416639415658,0.0008019246190858059
5.0,4.333333333333333,1,1,,,,0.0008019246190858059
