CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Octahedron,8,1,1.9371914648344486,1.9371914648344486,0.0,1.0,1.0
2.0,Octahedron,8,1,1.9398168620548457,1.9427626760648153,0.002945814009969655,1.0,1.0
3.0,Octahedron,4,1,1.7339082929585703,1.8699288096742595,0.09618106149229559,0.6666666666666666,0.5
3.0,Tetrahedron,4,1,1.8025922269608343,1.8112012496793204,0.007962682524400695,0.6666666666666666,0.5
4.0,Tetrahedron,195,71,1.7994022441996156,1.8139107238475274,0.011456723014817477,0.8074712643678161,0.851528384279476
4.0,"Tetrahedron, Square pyramid",12,12,,,,,0.05240174672489083
4.0,"Tetrahedron, Octahedron",10,4,1.7873978947430382,1.8073600623179236,0.018327483946577745,1.0,0.043668122270742356
4.0,Octahedron,7,4,1.8130452112707616,1.8773772262155617,0.0615488910106033,0.6666666666666666,0.03056768558951965
4.0,"Trigonal bipyramid, Tetrahedron",4,1,1.8039340084674578,1.819824133489064,0.015828761978322163,0.375,0.017467248908296942
4.0,"Octahedron, Tetrahedron, Square pyramid, Pentagonal bipyramid",1,1,1.8112126471548642,1.8202863615907015,0.00704444570917853,0.0,0.004366812227074236
5.0,Trigonal bipyramid,30,13,1.8273821061964335,1.8965698015591732,0.07779126014941502,0.4782608695652174,0.3157894736842105
5.0,"Trigonal bipyramid, Square pyramid",16,2,1.7818960020591945,1.8957448315674026,0.06568354367053533,0.8,0.16842105263157894
5.0,Square pyramid,13,7,1.760624235560239,1.9058891242820841,0.07294199869058254,0.72,0.1368421052631579
5.0,"Trigonal bipyramid, Octahedron",13,5,1.8101810212793186,1.8879195159839006,0.07191466320737314,0.6307692307692307,0.1368421052631579
5.0,"Tetrahedron, Square pyramid",12,12,,,,,0.12631578947368421
5.0,"Octahedron, Square pyramid",5,5,1.7294780304906687,1.8827673619372813,0.0769810198134802,0.8,0.05263157894736842
5.0,Octahedron,2,1,1.8344965068801984,1.915889586671796,0.043036281159364136,1.0,0.021052631578947368
5.0,"Trigonal bipyramid, Tetrahedron",2,1,1.8035349198609532,1.9549036408679088,0.24163024686444437,0.6,0.021052631578947368
5.0,"Octahedron, Tetrahedron, Square pyramid, Pentagonal bipyramid",1,1,1.8284559445438417,1.9032594374510072,0.03816513074574919,0.0,0.010526315789473684
5.0,no_data,1,1,1.8480062565472979,1.9815830443810056,0.09733472902555673,0.6,0.010526315789473684
6.0,Octahedron,3735,621,1.8767219330501992,1.9698214386668849,0.07237425790137277,0.951571148009284,0.8712386284114766
6.0,no_data,313,34,1.8802180175372936,1.9473657320516213,0.050533988961823206,0.9579339723109691,0.07301142990436202
6.0,"Octahedron, Pentagonal bipyramid",147,7,1.892555129744937,1.9844510505276285,0.07628535078955566,0.6712328767123288,0.034289713086074175
6.0,"Octahedron, Square pyramid",46,6,1.7799479005320722,2.0098444984330346,0.21713674670385527,0.8840579710144929,0.01073011429904362
6.0,"Tetrahedron, Octahedron",22,4,1.7941612570556522,2.019242113090766,0.22471590375339145,1.0,0.0051317937951947746
6.0,"Trigonal bipyramid, Octahedron",13,5,1.8278595136535647,1.9689109992273086,0.12305124043597296,0.7435897435897435,0.0030324236062514577
6.0,"Octahedron, Tetrahedron, Square pyramid, Pentagonal bipyramid",5,1,1.9437229007375947,1.9720991035020028,0.020584228828196344,0.19999999999999998,0.001166316771635176
6.0,"Octahedron, Square-face capped trigonal prism",4,1,1.856823200288602,1.9803301720088897,0.10193842563185689,0.8333333333333334,0.0009330534173081409
6.0,Trigonal prism,2,1,1.8997939782488458,1.934448253774307,0.03465426946221696,1.0,0.00046652670865407047
7.0,"Octahedron, Pentagonal bipyramid",24,6,1.9188254122839743,2.036763037336627,0.08414230339124364,0.8571428571428572,0.8
7.0,Pentagonal bipyramid,4,1,1.682392456386044,2.0212922301115355,0.1494103830734135,0.8571428571428571,0.13333333333333333
7.0,"Octahedron, Square-face capped trigonal prism",1,1,1.9591342002983512,2.126921527047734,0.14594922855443007,1.0,0.03333333333333333
7.0,"Octahedron, Tetrahedron, Square pyramid, Pentagonal bipyramid",1,1,1.9596616980163102,2.0502347232117755,0.06754758778420376,0.8571428571428571,0.03333333333333333
