material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Y_wyckoff,num_Y_chemenvs,CN,element,charge_range,is_single_charge
mp-1019523,Ba3NaY3(Si3O10)2,1.7970825591768524,0.6722508025530292,"[7.0, 8.0]",3.0,3.0,3.0,"Pentagonal bipyramid, Square antiprism","2a, 4c",2,7.0,Y,0.0,True
mp-1019523,Ba3NaY3(Si3O10)2,1.7970825591768524,0.6722508025530292,"[7.0, 8.0]",3.0,3.0,3.0,"Pentagonal bipyramid, Square antiprism","2a, 4c",2,8.0,Y,0.0,True
mp-1019533,Ba9Y2(SiO4)6,1.8744438694970984,0.5490673282749077,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Y,0.0,True
mp-1019546,BaY4Si5O17,2.0068730777728687,0.4207140385206429,[6.0],3.0,3.0,3.0,Octahedron,4f,1,6.0,Y,0.0,True
mp-1019614,Cs3Y(PO4)2,1.409395950021188,1.2617146593782371,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Y,0.0,True
mp-1019725,CsY(PO3)4,1.967511213224073,0.4329606805524467,[8.0],3.0,3.0,3.0,Square antiprism,4e,1,8.0,Y,0.0,True
mp-1020598,Y4Si2S3O7,2.1830306440363194,0.2473282368588694,"[6.0, 3.0]",3.0,3.0,3.0,"Trigonal prism, Tricapped triangular prism (three square-face caps)","8g, 8h",2,6.0,Y,0.0,True
mp-1020598,Y4Si2S3O7,2.1830306440363194,0.2473282368588694,"[6.0, 3.0]",3.0,3.0,3.0,"Trigonal prism, Tricapped triangular prism (three square-face caps)","8g, 8h",2,3.0,Y,0.0,True
mp-1020615,Y2SiP4O15,1.84311744949524,0.6077250584479763,[7.0],3.0,3.0,3.0,Pentagonal bipyramid,4c,1,7.0,Y,0.0,True
mp-1020642,Sr3Y2(BO3)4,2.0572173853512874,0.4386380040050648,[7.0],3.0,3.0,3.0,Pentagonal bipyramid,8d,1,7.0,Y,0.0,True
mp-1020656,RbY(PO3)4,1.9210514552958629,0.4763993884551669,[8.0],3.0,3.0,3.0,Square antiprism,4e,1,8.0,Y,0.0,True
mp-1020671,Y(NO3)3,2.1250645827615324,0.314690110210167,[10.0],3.0,3.0,3.0,Square-face bicapped square antiprism,4e,1,10.0,Y,0.0,True
mp-1020706,SrY2Si3O10,1.930085473515924,0.5439051929195641,"[6.0, 7.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Octahedron",2i,2,6.0,Y,0.0,True
mp-1020706,SrY2Si3O10,1.930085473515924,0.5439051929195641,"[6.0, 7.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Octahedron",2i,2,7.0,Y,0.0,True
