CN,dominant_geometry,dominant_count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,dominant_fraction
1.0,"Square antiprism, Square-face capped trigonal prism",24,1,2.466797496297583,2.466797496297583,0.0,1.0,0.8571428571428571
2.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",8,2,2.276972214604061,2.2976601016348406,0.020687887030779534,1.0,0.2857142857142857
3.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",16,2,2.1984482128980587,2.268529030809198,0.06919288877164194,1.0,0.22857142857142856
4.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",48,2,2.222688038682598,2.2921463256287384,0.05070978663845457,1.0,0.2909090909090909
5.0,Pentagonal bipyramid,14,5,2.2855234092945356,2.3454041947787454,0.05473232196297834,1.0,0.3181818181818182
6.0,Octahedron,1304,241,2.1806990257344223,2.2504852346743265,0.04839876648382113,1.0,0.7970660146699267
7.0,Square-face capped trigonal prism,191,32,2.251478679505627,2.3527058439984527,0.09198513588168912,1.0,0.26021798365122617
8.0,Cube,353,90,2.3063444679839677,2.415378075953632,0.07342580240637002,1.0,0.36886102403343785
9.0,Tricapped triangular prism (three square-face caps),20,8,2.3637812104407967,2.443955526676877,0.08109869952921551,1.0,0.37037037037037035
10.0,Square-face bicapped square antiprism,15,4,2.3655311915296084,2.500617752371429,0.09642511186373831,1.0,0.7894736842105263
11.0,Cuboctahedron,1,1,,,,,1.0
12.0,Cuboctahedron,2,1,2.3891828410459284,2.663022332228081,0.16942305498281912,1.0,0.5
